dataset,problem_type,model,embedding,k,method,absolute_task_difference,coordinate_error,denominator_sensitive,disagreement_reduction,fit_seconds,general_validation_C,inference_passes,input_dimension,input_dimension_ratio,invariant_dimension_fraction,invariant_feature_fraction,maximum_method_disagreement,method_disagreement,method_loss,method_task_error,normalized_excess_risk,predict_seconds,raw_disagreement,raw_input_dimension,raw_loss,raw_task_error,relative_task_difference,safety_denominator,seed,selected_blocks,tau,trivial_loss
california_housing,regression,controlled_mlp,PLE,8,BlockGuard-Greedy-t01-transferred,4789.239630925495,1.236702366240504e-14,0.0,0.5016888168040778,0.5638483514776453,-0.014775924729135219,1.0,113.0,1.6376811594202898,0.6875,0.6875,0.08495593254923915,0.05975426199966239,66023.92069879884,66023.92069879884,0.09117815203981414,0.0027535309782251716,0.1192315479488816,69.0,61234.68106787335,61234.68106787335,0.07830856640568441,52451.01070706147,0.5,5.5,0.01,113685.69177493482
california_housing,regression,controlled_mlp,PLE,16,BlockGuard-Greedy-t01-transferred,2521.6535700938657,1.0089452281337318e-14,0.0,0.18979701171725272,0.2667248244397342,-0.014775924729135219,1.0,133.0,1.0,0.6875,0.6875,0.10690422818949656,0.09875216864754158,65500.93453198337,65500.93453198337,0.04976079676960923,0.0007353400578722358,0.12722846639895133,133.0,62979.2809618895,62979.2809618895,0.04001983169476277,50706.410813045324,0.5,5.5,0.01,113685.69177493482
california_housing,regression,controlled_mlp,RBF,8,BlockGuard-Greedy-t01-transferred,-805.2932716688774,1.2814616726948366e-15,0.0,0.42406185963604603,0.41971436550375074,-0.014775924729135219,1.0,113.0,1.6376811594202898,0.6875,0.6875,0.06641366783783484,0.0618345934967252,64099.19816283927,64099.19816283927,-0.016593458596882278,0.0027068109484389424,0.11619452951881087,69.0,64904.49143450815,64904.49143450815,-0.012360252854689138,48781.20034042667,0.5,5.5,0.01,113685.69177493482
california_housing,regression,controlled_mlp,RBF,16,BlockGuard-Greedy-t01-transferred,-148.12946919046954,2.5652874450712432e-15,0.0,0.34331176552074993,0.2559093665331602,-0.014775924729135219,1.0,133.0,1.0,0.6875,0.6875,0.10984978628460464,0.08855435841953983,68792.24199980157,68792.24199980157,-0.003235987241013401,0.000754864071495831,0.15401759089925082,133.0,68940.37146899203,68940.37146899203,-0.0021800716626599395,44745.32030594278,0.5,5.5,0.01,113685.69177493482
california_housing,regression,resnet_tabular,PLE,8,BlockGuard-Greedy-t01-transferred,3653.606739858231,1.236702366240504e-14,0.0,0.5729729815412754,0.45539616292808205,-0.014775924729135219,1.0,113.0,1.6376811594202898,0.6875,0.6875,0.11719305982783154,0.10098722585271941,67264.31484377192,67264.31484377192,0.07219430053243889,0.002374967560172081,0.22408057698246117,69.0,63610.70810391369,63610.70810391369,0.05792796390308792,50074.98367102113,0.5,5.5,0.01,113685.69177493482
california_housing,regression,resnet_tabular,PLE,16,BlockGuard-Greedy-t01-transferred,4895.7725267216265,1.0089452281337318e-14,0.0,0.5184574577618413,0.4829113990999758,-0.014775924729135219,1.0,133.0,1.0,0.6875,0.6875,0.11141147103761657,0.10129632376160765,66128.24747188762,66128.24747188762,0.09443594810174892,0.00183517683763057,0.2042707404744506,133.0,61232.474945165995,61232.474945165995,0.07921904359508772,52453.216829768826,0.5,5.5,0.01,113685.69177493482
california_housing,regression,resnet_tabular,RBF,8,BlockGuard-Greedy-t01-transferred,372.39307465677484,1.2814616726948366e-15,0.0,0.4927369663506431,0.42347204592078924,-0.014775924729135219,1.0,113.0,1.6376811594202898,0.6875,0.6875,0.13668852358296552,0.11406747151368918,65250.74788777811,65250.74788777811,0.007302050570153281,0.0019699045224115252,0.22507010594966964,69.0,64878.35481312133,64878.35481312133,0.005927576391595436,48807.33696181349,0.5,5.5,0.01,113685.69177493482
california_housing,regression,resnet_tabular,RBF,16,BlockGuard-Greedy-t01-transferred,1379.5223419194226,2.5652874450712432e-15,0.0,0.5303152714785937,0.5688750719418749,-0.014775924729135219,1.0,133.0,1.0,0.6875,0.6875,0.14334276101303545,0.131923422151921,72831.13834546332,72831.13834546332,0.03357743716963614,0.0021296340273693204,0.2764217894260461,133.0,71451.6160035439,71451.6160035439,0.018994441892724333,42234.075771390926,0.5,5.5,0.01,113685.69177493482
california_housing,regression,tabm_d,PLE,8,BlockGuard-Greedy-t01-transferred,-1462.09638978343,2.0723114544841186e-14,0.0,1.0,0.4224405785789713,-0.011363203677089408,1.0,133.0,1.9275362318840579,1.0,1.0,0.0,0.0,61535.440131486175,61535.440131486175,-0.028849131282314096,0.05658352700993419,0.21848532505861146,69.0,62997.536521269605,62997.536521269605,-0.023206359055330174,50688.155253665216,0.5,8.0,0.01,113685.69177493482
california_housing,regression,tabm_d,PLE,16,BlockGuard-Greedy-t01-transferred,1119.539233171614,1.0089452281337318e-14,0.0,1.0,0.3958839880069718,-0.011363203677089408,1.0,133.0,1.0,1.0,1.0,0.0,0.0,60295.41957941009,60295.41957941009,0.02053638381434475,0.056931149563752115,0.1907160274869485,133.0,59175.880346238475,59175.880346238475,0.018920537074967138,54509.81142869635,0.5,8.0,0.01,113685.69177493482
california_housing,regression,tabm_d,RBF,8,BlockGuard-Greedy-t01-transferred,-1055.580342817906,1.4231647576470671e-15,0.0,1.0,0.41607230610679835,-0.011363203677089408,1.0,133.0,1.9275362318840579,1.0,1.0,0.0,0.0,59930.039972847044,59930.039972847044,-0.020041978359010275,0.08094551099929959,0.17298802491261173,69.0,60985.62031566495,60985.62031566495,-0.017300223683518603,52700.07145926987,0.5,8.0,0.01,113685.69177493482
california_housing,regression,tabm_d,RBF,16,BlockGuard-Greedy-t01-transferred,-684.5115841927909,2.5652874450712432e-15,0.0,1.0,0.44273159140720963,-0.011363203677089408,1.0,133.0,1.0,1.0,1.0,0.0,0.0,62410.62251979482,62410.62251979482,-0.013546490917113931,0.062467642477713525,0.22364566039082023,133.0,63095.13410398761,63095.13410398761,-0.010838746218483575,50590.55767094721,0.5,8.0,0.01,113685.69177493482
cardiotocography,classification,controlled_mlp,PLE,8,BlockGuard-Greedy-t01-transferred,0.005256347957292505,5.135950343876899e-15,0.0,-0.38710709093125917,2.529772244510241,0.0014477848326020862,1.0,255.0,1.1643835616438356,0.23684210526315788,0.23684210526315788,0.016702553928045153,0.013118473313819028,0.015197157328268193,0.015197157328268193,0.0026098803424452954,0.0018833174835890532,0.009452522902452683,219.0,0.009940809370975688,0.009940809370975688,0.9110028360264403,2.008026876497094,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,controlled_mlp,PLE,16,BlockGuard-Greedy-t01-transferred,0.01670575631615883,2.3283108456206336e-15,0.0,0.1229639496118275,3.6307572084479034,0.0014477848326020862,1.0,371.0,1.0,0.23684210526315788,0.23684210526315788,0.020430091720459554,0.01891136004143946,0.0506066966171817,0.0506066966171817,0.008426082261766929,0.0007657139794901013,0.02202668678248882,371.0,0.03390094030102287,0.03390094030102287,0.47743845788560957,1.984066745567047,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,controlled_mlp,RBF,8,BlockGuard-Greedy-t01-transferred,0.030789778390713077,2.0888776102856057e-15,0.0,0.021818051548229023,3.030628899112344,0.0014477848326020862,1.0,255.0,1.1643835616438356,0.23684210526315788,0.23684210526315788,0.014441779425053581,0.010325055259506145,0.043962553430174786,0.043962553430174786,0.01531333380555695,0.0007617544615641236,0.01329797473953168,219.0,0.01317277503946171,0.01317277503946171,9.356583417836307,2.004794910828608,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,controlled_mlp,RBF,16,BlockGuard-Greedy-t01-transferred,0.06571052197479568,1.0711173142833653e-14,0.0,-0.09601735485774854,0.8931082945782691,0.0014477848326020862,1.0,371.0,1.0,0.23684210526315788,0.23684210526315788,0.023691107825682955,0.018154787701950406,0.14262888509809124,0.14262888509809124,0.03378424561950662,0.0005734504666179419,0.01658284674373233,371.0,0.07691836312329557,0.07691836312329557,0.9058276346713581,1.9410493227447745,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,resnet_tabular,PLE,8,BlockGuard-Greedy-t01-transferred,0.029066190080451984,5.135950343876899e-15,0.0,-2.1162440562529428,3.550854318542406,0.0014477848326020862,1.0,255.0,1.1643835616438356,0.23684210526315788,0.23684210526315788,0.03899869133787079,0.029716336000281014,0.03115917742117531,0.03115917742117531,0.014412338157831914,0.0017800130881369114,0.010754862925943543,219.0,0.002092987340723327,0.002092987340723327,55.36542316385947,2.0158746985273464,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,resnet_tabular,PLE,16,BlockGuard-Greedy-t01-transferred,0.019436046766207193,2.3283108456206336e-15,0.0,-0.08560711278921562,0.8264382224297151,0.0014477848326020862,1.0,371.0,1.0,0.23684210526315788,0.23684210526315788,0.0428367815905563,0.03685250861020524,0.045110771962540076,0.045110771962540076,0.009759256226023662,0.0020338594913482666,0.03376654753806278,371.0,0.025674725196332883,0.025674725196332883,0.7808415852287408,1.9922929606717372,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,resnet_tabular,RBF,8,BlockGuard-Greedy-t01-transferred,0.023253599279914706,2.0888776102856057e-15,0.0,-0.5920682265599104,2.9459639280103147,0.0014477848326020862,1.0,255.0,1.1643835616438356,0.23684210526315788,0.23684210526315788,0.039045037562707725,0.026301011645347754,0.03220405461502918,0.03220405461502918,0.011566613980205056,0.002026207512244582,0.016669595991144287,219.0,0.008950455335114477,0.008950455335114477,3.0929917217128553,2.0090172305329554,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,resnet_tabular,RBF,16,BlockGuard-Greedy-t01-transferred,0.10468163630893862,1.0711173142833653e-14,0.0,-0.4574012861047807,2.1777232650201768,0.0014477848326020862,1.0,371.0,1.0,0.23684210526315788,0.23684210526315788,0.04749015964494366,0.04165125564252509,0.11830723734447349,0.11830723734447349,0.05227121173389722,0.001980144064873457,0.02859086531343419,371.0,0.013625601035534864,0.013625601035534864,7.0405422702656075,2.004342084832535,0.5,4.5,0.01,2.01796768586807
cardiotocography,classification,tabm_d,PLE,8,BlockGuard-Greedy-t01-transferred,-0.002017746520949967,6.6318653688038166e-15,0.0,1.0,1.8683137700427324,0.002377192233601119,1.0,371.0,1.6940639269406392,1.0,1.0,0.0,0.0,0.00929452252570846,0.00929452252570846,-0.0010062059620279558,0.2583471735706553,0.009717361191318946,219.0,0.011312269046658427,0.011312269046658427,-0.17529673097843346,2.0066554168214115,0.5,19.0,0.01,2.01796768586807
cardiotocography,classification,tabm_d,PLE,16,BlockGuard-Greedy-t01-transferred,-0.0015883685727654433,4.230292079430439e-15,0.0,1.0,0.5216298219747841,0.002377192233601119,1.0,371.0,1.0,1.0,1.0,0.0,0.0,0.012434800340593266,0.012434800340593266,-0.0008047972173115261,0.23563083948101848,0.018223453116942616,371.0,0.01402316891335871,0.01402316891335871,0.1644066919880192,2.003944516954711,0.5,19.0,0.01,2.01796768586807
