stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,6,0.004558137890676894,0.020148427346872486,0.015590289456195592,0.047996358182138085,0.14860437507741153,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,7,0.004558137890676894,0.0018926125094997977,-0.002665525381177096,0.01718182777262837,0.23031350900419056,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,default,-1,0.005849078136784801,0.005849078136784801,0.0,0.0,0.34966162615455687,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,0,0.005849078136784801,0.026669423801174832,0.020820345664390033,0.06801288662956707,0.21541701396927238,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,1,0.005849078136784801,0.010098047720359226,0.004248969583574425,0.03201519940777656,0.17885722196660936,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,2,0.005849078136784801,0.01618769408125783,0.010338615944473028,0.05288132261255244,0.13718094886280596,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,3,0.005849078136784801,0.00505982646484081,-0.0007892516719439913,0.02650079721444633,0.1926461230032146,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,4,0.005849078136784801,0.004773795351189038,-0.0010752827855957632,0.032445744057985386,0.2131013721227646,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,5,0.005849078136784801,0.002151929126101546,-0.003697149010683255,0.024555646040256108,0.2021251660771668,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,6,0.005849078136784801,0.02256079983714705,0.016711721700362246,0.05377134224877675,0.14860437507741153,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,7,0.005849078136784801,0.0012901164989609394,-0.004558961637823862,0.024556597671191976,0.23031350900419056,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,default,-1,0.0708222088916694,0.0708222088916694,0.0,0.0,0.22143453592434525,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,0,0.0708222088916694,0.07846853540280598,0.0076463265111365725,0.05639443360470687,0.26346875401213765,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,1,0.0708222088916694,0.10569978874582696,0.034877579854157556,0.06219868899539535,0.14547402109019458,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,2,0.0708222088916694,0.07346119686915925,0.0026389879774898484,0.06440489416723054,0.2241439821664244,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,3,0.0708222088916694,0.10797915673124199,0.03715694783957259,0.06359172620714382,0.12256993912160397,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,4,0.0708222088916694,0.1077529694962256,0.036930760604556204,0.051446098247669096,0.18751300498843193,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,5,0.0708222088916694,0.10003208998639013,0.029209881094720724,0.04944111607580238,0.1463862620294094,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,6,0.0708222088916694,0.1587897934729527,0.08796758458128329,0.07637032233853544,0.12083005905151367,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,7,0.0708222088916694,0.07771152716429934,0.006889318272629938,0.044503354632297744,0.17231914191506803,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,default,-1,0.03394742035718244,0.03394742035718244,0.0,0.0,0.22143453592434525,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,0,0.03394742035718244,0.024952657771629767,-0.008994762585552676,0.07524534821678691,0.26346875401213765,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,1,0.03394742035718244,0.045163481046415745,0.011216060689233302,0.050787883660447584,0.14547402109019458,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,2,0.03394742035718244,0.04260791506505628,0.00866049470787384,0.046561669083661196,0.2241439821664244,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,3,0.03394742035718244,0.07508327614607574,0.0411358557888933,0.08537141278376892,0.12256993912160397,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,4,0.03394742035718244,0.044411162538028834,0.010463742180846392,0.060832135333848875,0.18751300498843193,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,5,0.03394742035718244,0.06980542705878855,0.035858006701606104,0.07745479042921188,0.1463862620294094,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,6,0.03394742035718244,0.06319356705221056,0.02924614669502812,0.04825440944134467,0.12083005905151367,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,7,0.03394742035718244,0.05120307382185583,0.017255653464673386,0.0440525693777672,0.17231914191506803,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,default,-1,0.26395913951306876,0.26395913951306876,0.0,0.0,0.21388641116209328,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,0,0.26395913951306876,0.2374601359576161,-0.026499003555452677,0.13365092998309208,0.22088861791417003,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
