stage,dataset,problem_type,model,seed,embedding,k,split,method,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,Raw embedding,0.0,0.02957577085532742,0.02957577085532742,0.0,2.1564628234719632e-15,0.0,0.004558137890676894,0.004558137890676894,0.6459857848778665,0.0,0.0,0.6414276469871896,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,Gram-after-embedding,1.0,0.02957577085532742,0.0,1.0,2.1564628234719632e-15,0.23803546209819615,0.004558137890676894,0.0014554836216669627,0.6459857848778665,-0.003102654269009931,-0.6806846004716149,0.6414276469871896,-0.004837107168023109,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,Raw embedding,0.0,0.03934244198531908,0.03934244198531908,0.0,2.1564628234719632e-15,0.0,0.005849078136784801,0.005849078136784801,0.6455976337440515,0.0,0.0,0.6397485556072667,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,Gram-after-embedding,1.0,0.03934244198531908,0.0,1.0,2.1564628234719632e-15,0.23803546209819615,0.005849078136784801,0.0004714425601345538,0.6455976337440515,-0.005377635576650247,-0.9193988267707255,0.6397485556072667,-0.008405858097710982,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,Raw embedding,0.0,0.05854382928359765,0.05854382928359765,0.0,3.723022678026724e-15,0.0,0.0708222088916694,0.0708222088916694,0.6459857848778665,0.0,0.0,0.575163575986197,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,Gram-after-embedding,1.0,0.05854382928359765,0.0,1.0,3.723022678026724e-15,0.1665039611980319,0.0708222088916694,0.0037509078207847517,0.6459857848778665,-0.06707130107088465,-0.947037689455264,0.575163575986197,-0.11661256705256705,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,Raw embedding,0.0,0.06107002729085466,0.06107002729085466,0.0,3.723022678026724e-15,0.0,0.03394742035718244,0.03394742035718244,0.6455976337440515,0.0,0.0,0.6116502133868691,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,Gram-after-embedding,1.0,0.06107002729085466,0.0,1.0,3.723022678026724e-15,0.1665039611980319,0.03394742035718244,0.006901589063027638,0.6455976337440515,-0.027045831294154804,-0.7966976874704581,0.6116502133868691,-0.04421780733860106,False
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,Raw embedding,0.0,0.013754002028745941,0.013754002028745941,0.0,9.3338706002943e-16,0.0,0.0009342786878791279,0.0009342786878791279,0.6459857848778665,0.0,0.0,0.6450515061899874,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,Gram-after-embedding,1.0,0.013754002028745941,0.0,1.0,9.3338706002943e-16,0.4721417420078069,0.0009342786878791279,2.3692223349889306e-05,0.6459857848778665,-0.0009105864645292385,-0.9746411604403905,0.6450515061899874,-0.001411649233884655,False
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,Raw embedding,0.0,0.01312923658077259,0.01312923658077259,0.0,9.3338706002943e-16,0.0,0.0002623554773872489,0.0002623554773872489,0.6455976337440515,0.0,0.0,0.6453352782666643,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,Gram-after-embedding,1.0,0.01312923658077259,0.0,1.0,9.3338706002943e-16,0.4721417420078069,0.0002623554773872489,0.00015360811575387338,0.6455976337440515,-0.00010874736163337553,-0.41450387358545354,0.6453352782666643,-0.0001685129657338199,False
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,Raw embedding,0.0,0.0904443567901693,0.0904443567901693,0.0,1.5550870031189595e-15,0.0,0.14986593983548407,0.14986593983548407,0.6459857848778665,0.0,0.0,0.49611984504238243,0.0,False
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,Gram-after-embedding,1.0,0.0904443567901693,0.0,1.0,1.5550870031189595e-15,0.5113879879936576,0.14986593983548407,0.05533678343497734,0.6459857848778665,-0.09452915640050674,-0.6307581062399935,0.49611984504238243,-0.19053693849402722,False
