stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,default,-1,0.008450137940612338,0.008450137940612338,0.0,0.0,2.5254512359388173,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,0,0.008450137940612338,0.008798152287971124,0.0003480143473587865,0.018554353884272613,0.2670602088328451,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,1,0.008450137940612338,0.0562041105952814,0.04775397265466906,0.07292710739005237,0.2538045321125537,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,2,0.008450137940612338,0.008370133608054933,-8.000433255740506e-05,0.01614766020009014,0.2717466549947858,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,3,0.008450137940612338,0.009043300252956639,0.000593162312344301,0.01759918620939654,0.29972284100949764,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,4,0.008450137940612338,0.007976915170986702,-0.00047322276962563636,0.014602802197269203,0.30536220991052687,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,5,0.008450137940612338,0.009323895383742332,0.0008737574431299938,0.019666182887331133,0.28371482715010643,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,6,0.008450137940612338,0.009325934168258623,0.0008757962276462854,0.02029634421705884,0.2285172902047634,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,validation,random_orthogonal,7,0.008450137940612338,0.05964869392878129,0.051198555988168956,0.07471537905641407,0.24430325999855995,guarded_embedding_fit,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,tabm_d,0,PLE,4,test,default,-1,0.006465873437997101,0.006465873437997101,0.0,0.0,2.5254512359388173,guarded_embedding_fit,between_numerical_embedding_and_backbone
