dataset,problem_type,model,embedding,k,method,seed,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
california_housing,regression,controlled_mlp,PLE,4,Gram-after-embedding,0.5,1.0,0.11969672503982957,0.0,1.0,1.806572406209866e-15,0.22714837605599314,61507.25794819856,70972.82648467517,113685.69177493482,9465.568536476618,0.15388926064146755,52178.43382673626,0.18141411284690756,0.0
california_housing,regression,controlled_mlp,PLE,4,GuardedGram-G2-after-embedding,0.5,0.5,0.11969672503982957,0.05984836251991479,0.5,1.806572406209866e-15,0.22714837605599314,61507.25794819856,63428.270101201604,113685.69177493482,1921.0121530030483,0.031234911225626175,52178.43382673626,0.036812663252115574,0.0
california_housing,regression,controlled_mlp,PLE,4,Raw embedding,0.5,0.0,0.11969672503982957,0.11969672503982957,0.0,1.806572406209866e-15,0.0,61507.25794819856,61507.25794819856,113685.69177493482,0.0,0.0,52178.43382673626,0.0,0.0
california_housing,regression,controlled_mlp,PLE,8,Gram-after-embedding,0.5,1.0,0.1192315479488816,0.0,1.0,7.546119829130262e-15,0.2655690654646605,61234.68106787335,68037.66267707988,113685.69177493482,6802.98160920653,0.11110108070867225,52451.01070706147,0.12969874613028193,0.0
california_housing,regression,controlled_mlp,PLE,8,GuardedGram-G2-after-embedding,0.5,0.5,0.1192315479488816,0.0596157739744408,0.5,7.546119829130262e-15,0.2655690654646605,61234.68106787335,62101.297972743625,113685.69177493482,866.6169048702723,0.014153338010917511,52451.01070706147,0.016521473086336856,0.0
california_housing,regression,controlled_mlp,PLE,8,Raw embedding,0.5,0.0,0.1192315479488816,0.1192315479488816,0.0,7.546119829130262e-15,0.0,61234.68106787335,61234.68106787335,113685.69177493482,0.0,0.0,52451.01070706147,0.0,0.0
california_housing,regression,controlled_mlp,PLE,16,Gram-after-embedding,0.5,1.0,0.12722846639895133,0.0,1.0,3.616353515683813e-15,0.23389833408873528,62979.2809618895,66541.44722240201,113685.69177493482,3562.166260512513,0.05655505294619825,50706.410813045324,0.07026002842985407,0.0
california_housing,regression,controlled_mlp,PLE,16,GuardedGram-G2-after-embedding,0.5,0.5,0.12722846639895133,0.06361423319947566,0.5,3.616353515683813e-15,0.23389833408873528,62979.2809618895,61599.96973623299,113685.69177493482,-1379.3112256565073,-0.021903915723681944,50706.410813045324,-0.02719752531009214,0.0
california_housing,regression,controlled_mlp,PLE,16,Raw embedding,0.5,0.0,0.12722846639895133,0.12722846639895133,0.0,3.616353515683813e-15,0.0,62979.2809618895,62979.2809618895,113685.69177493482,0.0,0.0,50706.410813045324,0.0,0.0
california_housing,regression,controlled_mlp,PLE,32,Gram-after-embedding,0.5,1.0,0.1405730211578262,0.0,1.0,2.7671621800458354e-15,0.2335852748947218,61660.835762941526,66695.10362934557,113685.69177493482,5034.267866404054,0.08164357526414884,52024.856011993295,0.09676797845657156,0.0
