dataset,problem_type,model,method,family,global_alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,fit_seconds,mean_inference_seconds,parameter_count,peak_gpu_memory_bytes,mean_gate,predictive_rank
california_housing,regression,controlled_mlp,DualViewGram-D1-a75,DualView-D1,0.75,0.6646532919876027,-0.024599933091573663,-1200.3401239530867,63704.15131055506,1.0076609584502876,0.0012667410424910485,169473.0,73758208,0.75,1.0
california_housing,regression,resnet_tabular,DualViewGram-D1-a75,DualView-D1,0.75,0.5490044756065604,-0.05301100728886642,-2570.0695938778845,62308.28521924345,0.7348471824079752,0.0015135383291635662,434689.0,79099904,0.75,1.0
california_housing,regression,tabm_d,DualViewGram-D1-a75,DualView-D1,0.75,0.7472447482049929,0.011370099961501921,600.6216557558037,61586.24197142075,0.824747739941813,0.0020515882468316706,747456.0,296438784,0.75,1.0
cardiotocography,classification,controlled_mlp,DualViewGram-D1-a75,DualView-D1,0.75,0.39478908832643306,0.057468605205549514,0.11516778774496561,0.1283405627844273,3.9104844180401415,0.0027302425005473197,237290.0,78161408,0.75,1.0
cardiotocography,classification,resnet_tabular,DualViewGram-D1-a75,DualView-D1,0.75,0.16923502601511953,0.04981301866877194,0.10006995501647786,0.10902041035159234,2.913814955041744,0.0031064591254107658,502506.0,83645952,0.75,1.0
cardiotocography,classification,tabm_d,DualViewGram-D1-a75,DualView-D1,0.75,0.8984734957445051,-0.007225672116342818,-0.014467356912323972,0.0012404356814410813,1.2355636591091752,0.0036153123306576166,1029248.0,312541184,0.75,1.0
phoneme,classification,controlled_mlp,DualViewGram-D1-a75,DualView-D1,0.75,0.36944457107354156,0.08827540354661542,0.022103753727849146,0.37672872592733686,0.7756671039387584,0.0008081250241957604,154914.0,72814080,0.75,1.0
phoneme,classification,resnet_tabular,DualViewGram-D1-a75,DualView-D1,0.75,0.31607584177061854,0.0085060539796087,0.007157967237449381,0.3645556353002022,0.44256959890481085,0.0010877298307605087,420130.0,78298624,0.75,1.0
phoneme,classification,tabm_d,DualViewGram-D1-a75,DualView-D1,0.75,0.8828357021019884,0.03784269817740248,0.01030238754558091,0.3435790366910014,0.5716540641151369,0.0016074541956186295,733792.0,293869056,0.75,1.0
steel-plates-fault,classification,controlled_mlp,DualViewGram-D1-a75,DualView-D1,0.75,-6.357656044314848,0.2033640168169962,0.13121908180080755,0.1319350289243254,1.510231206426397,0.0034229357726871966,245506.0,78504960,0.75,1.0
steel-plates-fault,classification,resnet_tabular,DualViewGram-D1-a75,DualView-D1,0.75,-1.069505830694263,0.15761513549180559,0.09628070467713574,0.13191466609282737,1.6304354110034183,0.003868029324803501,510722.0,83989504,0.75,1.0
steel-plates-fault,classification,tabm_d,DualViewGram-D1-a75,DualView-D1,0.75,-0.4346120036500227,0.04685678146671071,0.03020794888572747,0.031137385198352678,1.6571004828438163,0.00427670645294711,917408.0,310754816,0.75,1.0
