dataset,problem_type,model,seed,feature,feature_index,empirical_rank,block_dimension,spectrum_entropy,largest_nonzero_singular_value,smallest_nonzero_singular_value,condition_proxy,mean_gram_diagonal,embedding_type,raw_input_block_orbit_relative_frobenius,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,raw_one_block_orbit_disagreement,basis_disagreement_benefit,gram_one_block_validation_loss,gram_one_block_fit_seconds,raw_one_block_fit_seconds,selection_split
wall-robot-navigation,classification,catboost,1,V1,0,8,8,0.8626032056494974,39.28323581058491,0.05521648748247216,711.4403251937191,2.089638689829316,RBF,1.4733574522057025,0.0687608422782017,0.06389784974001073,1.186659531323706,-0.0048629925381909744,-0.07072328344256804,1.1178986890455043,-0.004350119188656661,False,0.008636352843498334,0.008636352843498334,0.06389784974001073,10.59296267083846,90.16987209394574,validation_only
wall-robot-navigation,classification,catboost,1,V2,1,7,8,1.1351468393978874,33.75698923675624,0.1892097602572056,178.41040119108067,1.930565146048842,RBF,1.4764676531263272,0.0687608422782017,0.06347468763233613,1.186659531323706,-0.005286154645865571,-0.07687739810513297,1.1178986890455043,-0.004728652692471667,False,0.007639380689733376,0.007639380689733376,0.06347468763233613,10.303222642978653,99.23111313511617,validation_only
wall-robot-navigation,classification,catboost,1,V3,2,8,8,1.2769796157663333,27.109756445103567,0.11112626284180688,243.95454100436635,1.473459225976427,RBF,1.4604911535984342,0.0687608422782017,0.07122938349415646,1.186659531323706,0.0024685412159547587,0.035900392347830885,1.1178986890455043,0.0022081976123099973,False,0.008524649850982276,0.008524649850982276,0.07122938349415646,13.228846457088366,105.4880048376508,validation_only
wall-robot-navigation,classification,catboost,1,V4,3,8,8,1.2656723670075465,27.333174280558385,0.0754022236945345,362.4982519254219,1.5433697043576842,RBF,1.5175383205374913,0.0687608422782017,0.06638176859651038,1.186659531323706,-0.002379073681691324,-0.03459925159243619,1.1178986890455043,-0.002128165731836262,False,0.007877096095672859,0.007877096095672859,0.06638176859651038,17.893792910967022,110.02670726599172,validation_only
wall-robot-navigation,classification,catboost,1,V5,4,7,8,1.1589908482585225,31.515483302206626,0.2504843233064503,125.8181864884598,2.0113072216170016,RBF,1.4085888024902284,0.0687608422782017,0.06481677330522484,1.186659531323706,-0.003944068972976861,-0.05735923008359068,1.1178986890455043,-0.003528109489371015,False,0.00865753431152233,0.00865753431152233,0.06481677330522484,14.29475848004222,104.57361693424173,validation_only
wall-robot-navigation,classification,catboost,1,V6,5,7,8,1.2690478440530137,28.548671544828572,0.4388950918658262,65.04668672293136,1.7719046064869897,RBF,1.4311223061260347,0.0687608422782017,0.06592528804942527,1.186659531323706,-0.0028355542287764324,-0.041237921683739305,1.1178986890455043,-0.0025365037606381972,False,0.007383337740741585,0.007383337740741585,0.06592528804942527,12.786161871859804,103.49681176198646,validation_only
wall-robot-navigation,classification,catboost,1,V7,6,7,8,1.1032253935426133,33.96170420100788,0.004659483426500809,7288.7273314141885,2.015411762823885,RBF,1.396708096805118,0.0687608422782017,0.06617590719563332,1.186659531323706,-0.0025849350825683792,-0.03759312708983272,1.1178986890455043,-0.002312316051444228,False,0.008485761704651588,0.008485761704651588,0.06617590719563332,13.370025518117473,107.39087181095965,validation_only
wall-robot-navigation,classification,catboost,1,V8,7,8,8,0.9403190462609099,38.66817328919068,0.03278412532892303,1179.4785708397897,2.1457214105615083,RBF,1.3422264489029228,0.0687608422782017,0.06357575221167262,1.186659531323706,-0.005185090066529077,-0.07540759965607394,1.1178986890455043,-0.004638246844135996,False,0.00892432289419211,0.00892432289419211,0.06357575221167262,12.744018265977502,110.54441324714571,validation_only
wall-robot-navigation,classification,catboost,1,V9,8,7,8,1.0433941385041663,35.71470424977054,0.07133438391696817,500.6660503487597,2.2316398690042547,RBF,1.4254354365267587,0.0687608422782017,0.06402043483765575,1.186659531323706,-0.004740407440545949,-0.06894050863086555,1.1178986890455043,-0.00424046247392369,False,0.009061000141941389,0.009061000141941389,0.06402043483765575,15.634425312979147,104.62910805805586,validation_only
wall-robot-navigation,classification,catboost,1,V10,9,7,8,1.1979479275556664,30.50904076589358,0.32844115259042167,92.8904326551901,1.9117778516654185,RBF,1.3676618746501377,0.0687608422782017,0.06630446893896715,1.186659531323706,-0.002456373339234555,-0.035723432957616125,1.1178986890455043,-0.0021973130153072106,False,0.008276654933549878,0.008276654933549878,0.06630446893896715,13.541561807040125,106.3081568069756,validation_only
