stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,random_orthogonal,7,0.0708222088916694,0.07771152716429934,0.006889318272629938,0.044503354632297744,0.17231914191506803,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,default,-1,0.03394742035718244,0.03394742035718244,0.0,0.0,0.22143453592434525,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,0,0.03394742035718244,0.024952657771629767,-0.008994762585552676,0.07524534821678691,0.26346875401213765,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,1,0.03394742035718244,0.045163481046415745,0.011216060689233302,0.050787883660447584,0.14547402109019458,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,2,0.03394742035718244,0.04260791506505628,0.00866049470787384,0.046561669083661196,0.2241439821664244,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,3,0.03394742035718244,0.07508327614607574,0.0411358557888933,0.08537141278376892,0.12256993912160397,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,4,0.03394742035718244,0.044411162538028834,0.010463742180846392,0.060832135333848875,0.18751300498843193,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,5,0.03394742035718244,0.06980542705878855,0.035858006701606104,0.07745479042921188,0.1463862620294094,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,6,0.03394742035718244,0.06319356705221056,0.02924614669502812,0.04825440944134467,0.12083005905151367,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,random_orthogonal,7,0.03394742035718244,0.05120307382185583,0.017255653464673386,0.0440525693777672,0.17231914191506803,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,default,-1,0.0009342786878791279,0.0009342786878791279,0.0,0.0,0.4913403650280088,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,0,0.0009342786878791279,0.00033365838129818175,-0.0006006203065809461,0.006136650108664521,0.1862922259606421,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,1,0.0009342786878791279,0.0012310663123159104,0.0002967876244367825,0.006346257260791514,0.14767712797038257,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,2,0.0009342786878791279,0.0006389525205295948,-0.00029532616734953305,0.004101669656089878,0.4894426988903433,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,3,0.0009342786878791279,0.0006488059372702204,-0.00028547275060890743,0.003148553436371051,0.3685832058545202,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,4,0.0009342786878791279,0.007694607262999203,0.006760328575120075,0.04237052287360605,0.13353685894981027,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,5,0.0009342786878791279,0.0009662821057416324,3.200341786250454e-05,0.004859671636046804,0.13842948782257736,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,6,0.0009342786878791279,0.004249615465215564,0.003315336777336436,0.03539566640742558,0.42687678011134267,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,7,0.0009342786878791279,0.00044318654226689164,-0.0004910921456122363,0.007673024850972138,0.4077563879545778,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,default,-1,0.0002623554773872489,0.0002623554773872489,0.0,0.0,0.4913403650280088,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,0,0.0002623554773872489,0.0004927123023096817,0.0002303568249224328,0.0035967331481484587,0.1862922259606421,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,1,0.0002623554773872489,0.0011639868918967425,0.0009016314145094936,0.010289926779643225,0.14767712797038257,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,2,0.0002623554773872489,0.00014013270135530392,-0.00012222277603194499,0.0025246370564015364,0.4894426988903433,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,3,0.0002623554773872489,0.0005478954511148093,0.0002855399737275604,0.005171750171996444,0.3685832058545202,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,4,0.0002623554773872489,0.00715768606329312,0.0068953305859058706,0.04406194533337319,0.13353685894981027,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,5,0.0002623554773872489,0.0023840565821454484,0.0021217011047581997,0.01910893421449529,0.13842948782257736,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,6,0.0002623554773872489,0.0009724884771999615,0.0007101329998127126,0.010197684657049537,0.42687678011134267,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,random_orthogonal,7,0.0002623554773872489,0.0008988812470889271,0.0006365257697016782,0.010082281285073038,0.4077563879545778,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,default,-1,0.14986593983548407,0.14986593983548407,0.0,0.0,0.11561320419423282,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,0,0.14986593983548407,0.1491874768515928,-0.0006784629838912648,0.09186737044377563,0.1287732538767159,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,1,0.14986593983548407,0.14404986906591555,-0.0058160707695685265,0.07514082945901794,0.1240613991394639,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,2,0.14986593983548407,0.18142488262942613,0.03155894279394206,0.11573438542904331,0.1254457279574126,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,3,0.14986593983548407,0.12046631132016146,-0.029399628515322615,0.06991644301184358,0.1523658789228648,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,4,0.14986593983548407,0.1361663365042998,-0.013699603331184279,0.1059921953183617,0.1436729698907584,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,5,0.14986593983548407,0.12392500281604846,-0.025940937019435617,0.06867392652644352,0.12344704614952207,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,6,0.14986593983548407,0.1607140465895891,0.010848106754105025,0.12521210972185648,0.13518854603171349,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,random_orthogonal,7,0.14986593983548407,0.12466820289709944,-0.025197736938384632,0.07101759441101216,0.13715342502109706,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,default,-1,0.09380930501391026,0.09380930501391026,0.0,0.0,0.11561320419423282,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,0,0.09380930501391026,0.1223975066768917,0.02858820166298144,0.11228919176488963,0.1287732538767159,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,1,0.09380930501391026,0.0657105338829832,-0.028098771130927055,0.11101829514100564,0.1240613991394639,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,2,0.09380930501391026,0.13834715025068356,0.0445378452367733,0.11306146897643303,0.1254457279574126,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,3,0.09380930501391026,0.08993866538543162,-0.0038706396284786393,0.12121748487164166,0.1523658789228648,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,4,0.09380930501391026,0.09543518303501212,0.0016258780211018675,0.10240117378183591,0.1436729698907584,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,5,0.09380930501391026,0.06693374244013418,-0.026875562573776074,0.08609629063899847,0.12344704614952207,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,6,0.09380930501391026,0.1445003920024416,0.05069108698853135,0.13999882930019208,0.13518854603171349,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,random_orthogonal,7,0.09380930501391026,0.053673007544514664,-0.04013629746939559,0.10102186347101505,0.13715342502109706,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,default,-1,0.003866928515065683,0.003866928515065683,0.0,0.0,0.13472981797531247,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,0,0.003866928515065683,0.012664830351658654,0.00879790183659297,0.03227030423961476,0.14971122099086642,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,1,0.003866928515065683,0.003944624472032207,7.76959569665234e-05,0.015803494616159562,0.23171805101446807,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,random_orthogonal,2,0.003866928515065683,0.010943044759150958,0.007076116244085275,0.04526748556282696,0.1707100800704211,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
