method,family,units,datasets,model_families,median_alpha,median_disagreement_reduction,median_C,p90_C,p95_C,max_C,fallback_rate,mean_predictive_rank
GuardedGram-G1-t0,G1,20,4,5,0.75,0.75,0.0,0.0072861046887482805,0.011354768157222018,0.028001455763596195,0.3,10.85
GuardedGram-G1-t005,G1,20,4,5,0.75,0.75,0.0,0.0072861046887482805,0.011354768157222018,0.028001455763596195,0.15,12.45
GuardedGram-G1-t01,G1,20,4,5,0.75,0.75,2.1585831365021755e-06,0.00976988668460396,0.011354768157222018,0.028001455763596195,0.1,13.5
GuardedGram-G2-g0p0-t005,G2,20,4,5,0.75,0.7499999998888329,0.0,0.004134600556378517,0.01070665174876876,0.015039127594531222,0.15,10.875
GuardedGram-G2-g0p0-t01,G2,20,4,5,0.75,0.75,0.0,0.004907325344884085,0.011354768157222018,0.028001455763596195,0.15,11.75
GuardedGram-G2-g0p0-t02,G2,20,4,5,0.75,0.75,5.223755505776372e-07,0.00976988668460396,0.011354768157222018,0.028001455763596195,0.1,12.95
GuardedGram-G2-g0p5-t005,G2,20,4,5,0.625,0.625,0.0,0.0035146951360607768,0.004354300079771284,0.0057741240749506545,0.2,9.825
GuardedGram-G2-g0p5-t01,G2,20,4,5,0.75,0.7499999951985346,0.0,0.004907325344884085,0.01070665174876876,0.015039127594531222,0.15,10.175
GuardedGram-G2-g0p5-t02,G2,20,4,5,0.75,0.75,5.223755505776372e-07,0.00976988668460396,0.011354768157222018,0.028001455763596195,0.1,12.75
GuardedGram-G2-g1p0-t005,G2,20,4,5,0.4375,0.43749999999999994,0.0,0.00045365442724699576,0.0013916883565631834,0.003429708762170014,0.35,9.725
GuardedGram-G2-g1p0-t01,G2,20,4,5,0.625,0.625,0.0,0.0035146951360607768,0.004354300079771284,0.0057741240749506545,0.15,9.375
GuardedGram-G2-g1p0-t02,G2,20,4,5,0.75,0.7499999951985346,5.223755505776372e-07,0.00976988668460396,0.01070665174876876,0.015039127594531222,0.1,11.25
GuardedGram-G2-g1p64-t005,G2,20,4,5,0.25,0.24999999999999997,0.0,0.00045365442724699576,0.0013916883565631834,0.003429708762170014,0.55,11.6
GuardedGram-G2-g1p64-t01,G2,20,4,5,0.4375,0.43749999999999994,0.0,0.002281619930186038,0.0035469295278090477,0.0057741240749506545,0.4,11.2
GuardedGram-G2-g1p64-t02,G2,20,4,5,0.625,0.625,0.0,0.0044290276584649365,0.005969974760879706,0.009691137793531628,0.1,9.925
GuardedGram-G3,G3,20,4,5,0.625,0.625,0.0,0.004820729030323039,0.009958537283581611,0.015039127594531222,0.1,10.25
PureGram,fixed,20,4,5,1.0,1.0,0.0017324124262124356,0.16734993328993167,0.19074251129806755,0.6336289967048432,0.0,20.175
Raw,fixed,20,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.225
Raw+Gram@0.5,fixed,20,4,5,0.5,0.5,1.4388930136349762e-06,0.025201571458672332,0.052908826012889584,0.08605379022142964,0.0,8.85
Raw+Gram@0.75,fixed,20,4,5,0.75,0.75,0.00016444962391524274,0.04582545782140949,0.0888923417893665,0.15975253776842413,0.0,14.45
SafeGram-t01,safety_reference,20,4,5,0.4375,0.4375,0.0,0.0034381009044251337,0.00469716370947251,0.0057741240749506545,0.3,12.8
SafeRankGram-t01,safety_reference,20,4,5,0.375,0.3750000003959214,-0.0001065106376516434,0.0027658793268929994,0.0029500409104124352,0.004884952088286707,0.25,7.05
