dataset,problem_type,model,embedding,intercept_a,log2_dimension_slope_b,r2,dimensions
california_housing,regression,controlled_mlp,PLE,0.10196340775495134,0.0070625806804059475,0.8381443120172137,"[4, 8, 16, 32]"
california_housing,regression,controlled_mlp,RBF,-0.01030777573752325,0.04115178674316165,0.9983726356647897,"[4, 8, 16, 32]"
california_housing,regression,resnet_tabular,PLE,0.21251914785211165,-0.0009513564056704832,0.015006838612587337,"[4, 8, 16, 32]"
california_housing,regression,resnet_tabular,RBF,0.1258955114014691,0.03194359914542532,0.8514326357992379,"[4, 8, 16, 32]"
california_housing,regression,tabm_d,PLE,0.23220748829062335,-0.010067172514324386,0.5546657328013492,"[4, 8, 16, 32]"
california_housing,regression,tabm_d,RBF,0.07238677729332449,0.035155588527409805,0.9737154397536154,"[4, 8, 16, 32]"
cardiotocography,classification,controlled_mlp,PLE,-0.009423128056436072,0.006972383546600115,0.9248889016187083,"[4, 8, 16, 32]"
cardiotocography,classification,controlled_mlp,RBF,-0.008341844675576658,0.00666483465632399,0.9721838724703538,"[4, 8, 16, 32]"
cardiotocography,classification,resnet_tabular,PLE,-0.03479521082518185,0.016558698995333753,0.981127827824007,"[4, 8, 16, 32]"
cardiotocography,classification,resnet_tabular,RBF,-0.029501613326618256,0.015044125721757947,0.9942798431033611,"[4, 8, 16, 32]"
cardiotocography,classification,tabm_d,PLE,0.0010748648279707924,0.003753310449593928,0.846406581121645,"[4, 8, 16, 32]"
cardiotocography,classification,tabm_d,RBF,-0.0032483603989090027,0.0046824694275764455,0.9655947047921295,"[4, 8, 16, 32]"
phoneme,classification,controlled_mlp,PLE,0.023798239975730905,0.008562668995158899,0.8778515447666674,"[4, 8, 16, 32]"
phoneme,classification,controlled_mlp,RBF,-0.04773756932202852,0.035642308205590625,0.8321731800752015,"[4, 8, 16, 32]"
phoneme,classification,resnet_tabular,PLE,0.10489691191254832,0.001987548162053199,0.20610508050518084,"[4, 8, 16, 32]"
phoneme,classification,resnet_tabular,RBF,0.0852363654185356,0.009540170839261312,0.3882290439737176,"[4, 8, 16, 32]"
phoneme,classification,tabm_d,PLE,0.12448474035112918,-0.006016763959846625,0.44289293734473223,"[4, 8, 16, 32]"
phoneme,classification,tabm_d,RBF,0.06443175309652294,0.010027283472693344,0.840323745884729,"[4, 8, 16, 32]"
steel-plates-fault,classification,controlled_mlp,PLE,-0.07477053501574335,0.037941579109298386,0.9103490562424774,"[4, 8, 16, 32]"
steel-plates-fault,classification,controlled_mlp,RBF,-0.11329506805465114,0.05087970593706351,0.9318006779805835,"[4, 8, 16, 32]"
steel-plates-fault,classification,resnet_tabular,PLE,0.005179194554252534,0.02630511824883374,0.833233291162273,"[4, 8, 16, 32]"
steel-plates-fault,classification,resnet_tabular,RBF,-0.1567650616963916,0.07844284456931919,0.9972247219574859,"[4, 8, 16, 32]"
steel-plates-fault,classification,tabm_d,PLE,0.0023266763912901355,0.017846472079161787,0.7099825079944091,"[4, 8, 16, 32]"
steel-plates-fault,classification,tabm_d,RBF,-0.013484534218737805,0.02320170390097749,0.7487959341607572,"[4, 8, 16, 32]"
