dataset,problem_type,model,seed,candidate,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds,stage
steel-plates-fault,classification,catboost,1,very_safe_gram,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10""]",BlockGuard-Grouped,n6__c4e5360b3423815d,6,48,0.25,0.25,-0.0003620407270209052,0.0014683753089049332,0.0012350337573669558,259,211,3.427464606007561,0.002785550896078348,
steel-plates-fault,classification,catboost,1,very_safe_plus_safe_gram,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10"",""V8"",""V20"",""V27"",""V6"",""V2"",""V14""]",BlockGuard-Grouped,n12__3b2e7569f10de5df,12,96,0.5,0.5,-0.00028181929854033573,0.0014683753089049332,0.0012867378646431742,307,211,3.746414480963722,0.004817408975213766,
steel-plates-fault,classification,catboost,1,all_except_dangerous_gram,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10"",""V8"",""V20"",""V27"",""V6"",""V2"",""V14"",""V9"",""V1"",""V3"",""V25"",""V23"",""V19""]",BlockGuard-Grouped,n18__ca61c0a725bdb933,18,144,0.75,0.75,0.0003560684176914657,0.0014683753089049332,0.0016978676031047556,355,211,4.669203863013536,0.0032627489417791367,
steel-plates-fault,classification,catboost,1,all_gram,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10"",""V8"",""V20"",""V27"",""V6"",""V2"",""V14"",""V9"",""V1"",""V3"",""V25"",""V23"",""V19"",""V4"",""V7"",""V17"",""V16"",""V5"",""V22""]",BlockGuard-Grouped,n24__13a3e3b0860a6402,24,192,1.0,1.0,0.00042009041040067755,0.0014683753089049332,0.0017391308920011398,403,211,0.0,0.0,
steel-plates-fault,classification,catboost,1,stage_0_raw,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.0014683753089049332,0.0014683753089049332,211,211,0.0,0.0,0.0
steel-plates-fault,classification,catboost,1,stage_1,"[""V24"",""V18"",""V8""]",BlockGuard-Greedy,n3__3196296c1640e0b4,3,24,0.125,0.125,-0.0001473790746430283,0.0014683753089049332,0.001373386929491338,235,211,3.3083794850390404,0.005921429954469204,1.0
steel-plates-fault,classification,catboost,1,stage_2,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10""]",BlockGuard-Greedy,n6__2b10bfd9821185f1,6,48,0.25,0.25,1.9954491232787997e-05,0.0014683753089049332,0.0014812363259035562,259,211,3.4191702019888908,0.0032680879812687635,2.0
steel-plates-fault,classification,catboost,1,stage_3,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10"",""V27"",""V15"",""V6""]",BlockGuard-Greedy,n9__9548d0e3c4b06bf2,9,72,0.375,0.375,0.00040538832623811087,0.0014683753089049332,0.0017296551428014175,283,211,3.6888482940848917,0.004919341998174787,3.0
steel-plates-fault,classification,catboost,1,stage_4,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10"",""V27"",""V15"",""V6"",""V2"",""V20"",""V14""]",BlockGuard-Greedy,n12__3b2e7569f10de5df,12,96,0.5,0.5,-0.00028181929854033573,0.0014683753089049332,0.0012867378646431742,307,211,3.746414480963722,0.004817408975213766,4.0
steel-plates-fault,classification,catboost,1,stage_5,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10"",""V27"",""V15"",""V6"",""V2"",""V20"",""V14"",""V1"",""V9"",""V3""]",BlockGuard-Greedy,n15__73b470bb5bb934dd,15,120,0.625,0.625,0.00013782529548299322,0.0014683753089049332,0.0015572061113227086,331,211,4.24449837487191,0.0023781380150467157,5.0
steel-plates-fault,classification,catboost,1,stage_6,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10"",""V27"",""V15"",""V6"",""V2"",""V20"",""V14"",""V1"",""V9"",""V3"",""V23"",""V4"",""V25""]",BlockGuard-Greedy,n18__569763eb16986739,18,144,0.75,0.75,-6.087317786519862e-05,0.0014683753089049332,0.0014291414859950247,355,211,4.434570095036179,0.003977183951064944,6.0
steel-plates-fault,classification,catboost,1,stage_7,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10"",""V27"",""V15"",""V6"",""V2"",""V20"",""V14"",""V1"",""V9"",""V3"",""V23"",""V4"",""V25"",""V19"",""V7"",""V5""]",BlockGuard-Greedy,n21__a6f0485f463038b5,21,168,0.875,0.875,-0.0007153394842490357,0.0014683753089049332,0.0010073265575543478,379,211,4.923350150929764,0.003596652066335082,7.0
steel-plates-fault,classification,catboost,1,stage_8,"[""V24"",""V18"",""V8"",""V26"",""V11"",""V10"",""V27"",""V15"",""V6"",""V2"",""V20"",""V14"",""V1"",""V9"",""V3"",""V23"",""V4"",""V25"",""V19"",""V7"",""V5"",""V22"",""V17"",""V16""]",BlockGuard-Greedy,n24__13a3e3b0860a6402,24,192,1.0,1.0,0.00042009041040067755,0.0014683753089049332,0.0017391308920011398,403,211,0.0,0.0,8.0
