dataset,problem_type,model,seed,embedding,k,default_task_error,mean_random_basis_error,best_random_basis_error,worst_random_basis_error,validation_selected_member,validation_selected_basis_error,oracle_best_test_member,oracle_best_test_error,default_is_best_test_basis,default_minus_best_random,validation_selected_minus_default,raw_disagreement
california_housing,regression,controlled_mlp,0,PLE,4,61571.83915083235,62126.00468903035,61290.671447174165,62745.76420405002,-1,61571.83915083235,4,61290.671447174165,False,281.1677036581823,0.0,0.11939647257183614
california_housing,regression,controlled_mlp,0,PLE,8,61054.230927608005,62335.401392502055,61743.1928208827,62921.4418630899,-1,61054.230927608005,-1,61054.230927608005,True,-688.9618932746962,0.0,0.11854954786854172
california_housing,regression,controlled_mlp,0,PLE,16,63037.35356002362,63372.73107771813,62037.22062637723,64548.830662626264,-1,63037.35356002362,5,62037.22062637723,False,1000.1329336463896,0.0,0.13257122011144348
california_housing,regression,controlled_mlp,0,PLE,32,61698.94896556439,62061.0900372434,60998.83174673755,64202.658570252155,-1,61698.94896556439,7,60998.83174673755,False,700.1172188268392,0.0,0.13497347897189627
california_housing,regression,controlled_mlp,0,RBF,4,62611.60827401567,63080.61783196367,62729.217647304446,63617.56235352548,4,63617.56235352548,-1,62611.60827401567,True,-117.6093732887748,1005.9540795098073,0.07654301571098254
california_housing,regression,controlled_mlp,0,RBF,8,65288.85728446,65514.651328643275,64213.07316655111,66475.90535040447,5,65661.75708675777,6,64213.07316655111,False,1075.7841179088864,372.89980229777575,0.1250258039185044
california_housing,regression,controlled_mlp,0,RBF,16,68804.52025444608,69361.52671370303,68667.05044459237,70288.27897656169,7,69072.36407077008,1,68667.05044459237,False,137.46980985370465,267.8438163240062,0.17318525793811312
california_housing,regression,controlled_mlp,0,RBF,32,72872.27804516842,72387.74134729058,71407.27635917993,72864.7941679794,2,71407.27635917993,2,71407.27635917993,False,1465.0016859884927,-1465.0016859884927,0.20905840241287627
california_housing,regression,controlled_mlp,1,PLE,4,61442.67674556477,62384.65356879262,61542.85114412612,63100.09726014833,1,62178.225112655986,-1,61442.67674556477,True,-100.17439856135024,735.5483670912145,0.11999697750782301
california_housing,regression,controlled_mlp,1,PLE,8,61415.1312081387,62417.86606885953,61597.59045493313,63486.26428583199,4,62621.78539943598,-1,61415.1312081387,True,-182.45924679443124,1206.6541912972825,0.11991354802922148
california_housing,regression,controlled_mlp,1,PLE,16,62921.20836375538,63196.248189240636,62459.75465236404,64348.656352937396,5,62459.75465236404,5,62459.75465236404,False,461.4537113913393,-461.4537113913393,0.12188571268645916
california_housing,regression,controlled_mlp,1,PLE,32,61622.72256031865,62125.177797864526,61220.891681014,64214.88423468353,-1,61622.72256031865,5,61220.891681014,False,401.8308793046526,0.0,0.1461725633437561
california_housing,regression,controlled_mlp,1,RBF,4,63055.52062213849,62968.220207815226,62553.860997497795,63607.778206783856,2,62632.74747472521,7,62553.860997497795,False,501.6596246406916,-422.7731474132743,0.06357383997473376
california_housing,regression,controlled_mlp,1,RBF,8,64520.1255845563,65705.57878165446,65056.96465196841,66737.77121334265,5,65568.21060960594,-1,64520.1255845563,True,-536.839067412111,1048.0850250496442,0.10736325511911735
california_housing,regression,controlled_mlp,1,RBF,16,69076.222683538,69807.30560142329,68703.89815434696,71046.26156417884,-1,69076.222683538,6,68703.89815434696,False,372.32452919104253,0.0,0.13484992386038852
california_housing,regression,controlled_mlp,1,RBF,32,72558.91325387672,73058.26262667766,71997.19354129145,74391.25427345211,7,73035.63968180706,2,71997.19354129145,False,561.719712585269,476.726427930349,0.18018832397362458
california_housing,regression,resnet_tabular,0,PLE,4,60839.47847607681,62810.74446522765,61084.68424629534,64861.286484058204,4,62896.6778905001,-1,60839.47847607681,True,-245.20577021853387,2057.1994144232885,0.20819484687862005
california_housing,regression,resnet_tabular,0,PLE,8,62932.27015741245,65613.30505511633,64352.47596090627,68508.80038080407,-1,62932.27015741245,-1,62932.27015741245,True,-1420.2058034938163,0.0,0.21167207602035992
california_housing,regression,resnet_tabular,0,PLE,16,62482.29867548172,62447.45482489874,61134.08270996959,63905.43075727684,2,61134.08270996959,2,61134.08270996959,False,1348.2159655121286,-1348.2159655121286,0.19818348580522596
california_housing,regression,resnet_tabular,0,PLE,32,62383.673703230495,61717.8015431918,60555.26613243173,63404.58506177594,2,63404.58506177594,3,60555.26613243173,False,1828.407570798765,1020.911358545447,0.1935792815129906
california_housing,regression,resnet_tabular,0,RBF,4,63815.02111979254,62958.77137902974,61715.09467458778,64526.63166620004,3,64338.92438686746,5,61715.09467458778,False,2099.9264452047573,523.903267074922,0.19139972782660433
