absolute_task_difference,coordinate_error,dataset,denominator_sensitive,disagreement_reduction,embedding,fit_seconds,general_validation_C,inference_passes,input_dimension,input_dimension_ratio,invariant_dimension_fraction,invariant_feature_fraction,k,maximum_method_disagreement,method,method_disagreement,method_loss,method_task_error,model,normalized_excess_risk,predict_seconds,problem_type,raw_disagreement,raw_input_dimension,raw_loss,raw_task_error,relative_task_difference,safety_denominator,seed,selected_blocks,selected_features,selection_key,selection_source_model,split,tau,trivial_loss
0.03971225442789207,3.0153062820330448e-15,steel-plates-fault,False,0.07058057698816178,PLE,0.31652902578935027,0.0004897287921325638,1,235,1.113744075829384,0.125,0.125,8,0.0469866608010801,BlockGuard-Greedy-t01-transferred,0.027488295883488754,0.04427039231856897,0.04427039231856897,controlled_mlp,0.06191228989648648,0.0006482729222625494,classification,0.02957577085532742,211,0.004558137890676894,0.004558137890676894,8.712385491697951,0.6414276469871896,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,validation,0.01,0.6459857848778665
0.025125940955378595,3.0153062820330448e-15,steel-plates-fault,False,0.03866246049604627,PLE,0.31652902578935027,0.0004897287921325638,1,235,1.113744075829384,0.125,0.125,8,0.0684130248682626,BlockGuard-Greedy-t01-transferred,0.03782136637624369,0.030975019092163394,0.030975019092163394,controlled_mlp,0.03927471306524228,0.0006482729222625494,classification,0.03934244198531908,211,0.005849078136784801,0.005849078136784801,4.29570957470405,0.6397485556072667,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,test,0.01,0.6455976337440515
0.01841007783875348,4.658657593704352e-15,steel-plates-fault,False,0.09420678054455223,PLE,1.4383589040953666,0.0004897287921325638,1,403,1.0,0.125,0.125,16,0.06689860302064386,BlockGuard-Greedy-t01-transferred,0.05302860360604004,0.08923228673042288,0.08923228673042288,controlled_mlp,0.03200842092127769,0.000833580968901515,classification,0.05854382928359765,403,0.0708222088916694,0.0708222088916694,0.25994780630061654,0.575163575986197,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,validation,0.01,0.6459857848778665
0.021676526477428494,4.658657593704352e-15,steel-plates-fault,False,-0.08721253498914905,PLE,1.4383589040953666,0.0004897287921325638,1,403,1.0,0.125,0.125,16,0.0828996447800154,BlockGuard-Greedy-t01-transferred,0.06639609918274661,0.055623946834610936,0.055623946834610936,controlled_mlp,0.0354394161941019,0.000833580968901515,classification,0.06107002729085466,403,0.03394742035718244,0.03394742035718244,0.6385323612031767,0.6116502133868691,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,test,0.01,0.6455976337440515
-0.0005911523171036428,1.470176907369571e-15,steel-plates-fault,False,-2.4618682886041867,RBF,0.7700424350332469,0.0004897287921325638,1,235,1.113744075829384,0.125,0.125,8,0.08039751747622279,BlockGuard-Greedy-t01-transferred,0.04761454346471322,0.00034312637077548515,0.00034312637077548515,controlled_mlp,-0.0009164420382417189,0.0010179681703448296,classification,0.013754002028745941,211,0.0009342786878791279,0.0009342786878791279,-0.6327365964491775,0.6450515061899874,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,validation,0.01,0.6459857848778665
0.003056730085850933,1.470176907369571e-15,steel-plates-fault,False,-2.7006122820632026,RBF,0.7700424350332469,0.0004897287921325638,1,235,1.113744075829384,0.125,0.125,8,0.07366313867226311,BlockGuard-Greedy-t01-transferred,0.048586214144920536,0.0033190855632381816,0.0033190855632381816,controlled_mlp,0.004736654245931115,0.0010179681703448296,classification,0.01312923658077259,211,0.0002623554773872489,0.0002623554773872489,11.651100698534519,0.6453352782666643,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,test,0.01,0.6455976337440515
0.0562370671079544,1.6722557836979342e-15,steel-plates-fault,False,-0.25256796497264045,RBF,0.28198485216125846,0.0004897287921325638,1,403,1.0,0.125,0.125,16,0.14847595635761943,BlockGuard-Greedy-t01-transferred,0.11328770392792177,0.20610300694343847,0.20610300694343847,controlled_mlp,0.11335379479357491,0.0005695840809494257,classification,0.0904443567901693,403,0.14986593983548407,0.14986593983548407,0.3752491538083227,0.49611984504238243,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,validation,0.01,0.6459857848778665
0.07903213661297064,1.6722557836979342e-15,steel-plates-fault,False,-0.004919492757631483,RBF,0.28198485216125846,0.0004897287921325638,1,403,1.0,0.125,0.125,16,0.15665196539464862,BlockGuard-Greedy-t01-transferred,0.11143358782385857,0.1728414416268809,0.1728414416268809,controlled_mlp,0.14322908350535674,0.0005695840809494257,classification,0.11088807474325144,403,0.09380930501391026,0.09380930501391026,0.8424765176679603,0.5517883287301413,0,3,"[""V15"",""V23"",""V25""]",n3__1dd20d671a38a22f,controlled_mlp,test,0.01,0.6455976337440515
0.041240188246721377,2.6676574911663877e-15,steel-plates-fault,False,-0.6614799191358782,PLE,0.7915196160320193,-0.00013525550206541328,1,235,1.113744075829384,0.125,0.125,8,0.09189136370614935,BlockGuard-Greedy-t01-transferred,0.05993267624454232,0.04510711676178706,0.04510711676178706,controlled_mlp,0.06422516304897365,0.0010164959821850061,classification,0.036071863134953086,211,0.003866928515065683,0.003866928515065683,10.664843708914768,0.6421188563628009,1,3,"[""V10"",""V17"",""V4""]",n3__32b960518acaa9ba,controlled_mlp,validation,0.01,0.6459857848778665
0.012747819031346112,2.6676574911663877e-15,steel-plates-fault,False,0.09418315858051973,PLE,0.7915196160320193,-0.00013525550206541328,1,235,1.113744075829384,0.125,0.125,8,0.08194233439988309,BlockGuard-Greedy-t01-transferred,0.04007255352481919,0.020736285756829186,0.020736285756829186,controlled_mlp,0.019993155197178758,0.0010164959821850061,classification,0.04423913499115628,211,0.007988466725483074,0.007988466725483074,1.5957779470597009,0.6376091670185685,1,3,"[""V10"",""V17"",""V4""]",n3__32b960518acaa9ba,controlled_mlp,test,0.01,0.6455976337440515
