dataset,problem_type,model,seed,embedding,k,split,method,tau,selected_features,selected_blocks,selection_key,selection_source_model,general_validation_C,invariant_feature_fraction,invariant_dimension_fraction,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,coordinate_error,raw_task_error,method_task_error,inference_passes,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.06365492914259305,0.0429520982001715,0.06524954003152889,0.32523531517952453,3.0153062820330448e-15,0.04450032804022093,0.03346291951955779,1,235,211,1.113744075829384,1.7388488790020347,0.007858723867684603,0.04450032804022093,0.03346291951955779,0.6459857848778665,-0.011037408520663136,-0.24802982375067317,0.6014854568376455,-0.018350250027146343,False
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.10381198764773787,0.12085086408113996,0.12982274988950412,-0.1641320700959854,3.0153062820330448e-15,0.06003995206852454,0.0834503139029307,1,235,211,1.113744075829384,1.7388488790020347,0.007858723867684603,0.06003995206852454,0.0834503139029307,0.6455976337440515,0.02341036183440616,0.3899130666807919,0.585557681675527,0.039979599904520526,False
steel-plates-fault,classification,resnet_tabular,0,PLE,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.058542507035990315,0.08134162201266043,0.10441330317857539,-0.3894454838200532,4.658657593704352e-15,0.05890534031143415,0.06620344615275767,1,403,403,1.0,1.15851129591465,0.0016027151141315699,0.05890534031143415,0.06620344615275767,0.6459857848778665,0.007298105841323517,0.12389548728074962,0.5870804445664324,0.012431185383313656,False
steel-plates-fault,classification,resnet_tabular,0,PLE,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.12166984386373093,0.10648933331492408,0.14800107479393687,0.12476806139250807,4.658657593704352e-15,0.0937459765416719,0.04657728744759608,1,403,403,1.0,1.15851129591465,0.0016027151141315699,0.0937459765416719,0.04657728744759608,0.6455976337440515,-0.047168689094075816,-0.5031542774863348,0.5518516572023796,-0.08547349360731868,False
steel-plates-fault,classification,resnet_tabular,0,RBF,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.0664660239136432,0.07056711867034975,0.10316776616922736,-0.06170212260680641,1.470176907369571e-15,0.02343690286548087,0.012552926821120705,1,235,211,1.113744075829384,1.9353155500721186,0.0066945787984877825,0.02343690286548087,0.012552926821120705,0.6459857848778665,-0.010883976044360165,-0.46439480962267715,0.6225488820123857,-0.017482926014062983,False
steel-plates-fault,classification,resnet_tabular,0,RBF,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.07586019214656109,0.09749744856132714,0.13615579035772352,-0.28522543645767606,1.470176907369571e-15,0.03934774325625473,0.0255476615688726,1,235,211,1.113744075829384,1.9353155500721186,0.0066945787984877825,0.03934774325625473,0.0255476615688726,0.6455976337440515,-0.01380008168738213,-0.35072104637636276,0.6062498904877969,-0.022763025451894757,False
steel-plates-fault,classification,resnet_tabular,0,RBF,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.11046838393324254,0.16150567822338063,0.18748565878324033,-0.4620081553920494,1.6722557836979342e-15,0.058881044206465914,0.1581271594920941,1,403,403,1.0,0.9791336781345308,0.0023274230770766735,0.058881044206465914,0.1581271594920941,0.6459857848778665,0.09924611528562818,1.685535924560415,0.5871047406714006,0.1690432871860861,False
steel-plates-fault,classification,resnet_tabular,0,RBF,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V15"",""V23"",""V25""]",3,n3__1dd20d671a38a22f,controlled_mlp,0.0004897287921325638,0.125,0.125,0.14566226189012568,0.17511803082290892,0.1887859075459342,-0.20221963156800338,1.6722557836979342e-15,0.057194637973992546,0.1781600541679044,1,403,403,1.0,0.9791336781345308,0.0023274230770766735,0.057194637973992546,0.1781600541679044,0.6455976337440515,0.12096541619391185,2.1149782650764752,0.588402995770059,0.20558259740945256,False
steel-plates-fault,classification,resnet_tabular,1,PLE,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.06873375367951788,0.10068281301898716,0.10974514005966136,-0.46482343287166983,2.6676574911663877e-15,0.002101481650293893,0.011956756407492308,1,235,211,1.113744075829384,1.817441012011841,0.0018209030386060476,0.002101481650293893,0.011956756407492308,0.6459857848778665,0.009855274757198416,4.689679186977508,0.6438843032275726,0.015305971442070077,False
steel-plates-fault,classification,resnet_tabular,1,PLE,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.08758400951770928,0.09803681196750139,0.11197929460477428,-0.11934601427077363,2.6676574911663877e-15,0.008369713187933392,0.019861109274649714,1,235,211,1.113744075829384,1.817441012011841,0.0018209030386060476,0.008369713187933392,0.019861109274649714,0.6455976337440515,0.011491396086716323,1.372973700375236,0.6372279205561182,0.018033415856429535,False
steel-plates-fault,classification,resnet_tabular,1,PLE,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.10405719508482256,0.09233842579479734,0.12135690612065747,0.11261853906856345,7.899528602707575e-15,0.07082294179458132,0.11659197815362352,1,403,403,1.0,1.475508589996025,0.0020511390175670385,0.07082294179458132,0.11659197815362352,0.6459857848778665,0.0457690363590422,0.6462459084486095,0.5751628430832851,0.0795757878128694,False
steel-plates-fault,classification,resnet_tabular,1,PLE,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.12835992388813292,0.15808341303481482,0.19949895668024062,-0.23156362395934615,7.899528602707575e-15,0.06630390360301439,0.1615312497084283,1,403,403,1.0,1.475508589996025,0.0020511390175670385,0.06630390360301439,0.1615312497084283,0.6455976337440515,0.09522734610541392,1.4362253341156912,0.5792937301410371,0.16438525250778996,False
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.055329692286878236,0.06895475015539448,0.08351892521479619,-0.24625218947309246,1.7355546614977508e-15,0.04465766004705936,0.022937146597346143,1,235,211,1.113744075829384,2.179670807905495,0.0015502669848501682,0.04465766004705936,0.022937146597346143,0.6459857848778665,-0.021720513449713215,-0.48637822552333837,0.6013281248308071,-0.036120900641101086,False
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.06756191935454556,0.07778186067949122,0.09192150744308722,-0.15126777662005653,1.7355546614977508e-15,0.03192017957512855,0.03019008241279092,1,235,211,1.113744075829384,2.179670807905495,0.0015502669848501682,0.03192017957512855,0.03019008241279092,0.6455976337440515,-0.0017300971623376293,-0.054200733998554324,0.6136774541689229,-0.002819228815698673,False
steel-plates-fault,classification,resnet_tabular,1,RBF,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.10403425406815395,0.15995635598868685,0.18099506984994948,-0.5375354725367449,2.8693389877908715e-15,0.08805575117104719,0.14233128748572743,1,403,403,1.0,4.136136867105961,0.001926372991874814,0.08805575117104719,0.14233128748572743,0.6459857848778665,0.05427553631468024,0.6163769611055919,0.5579300337068194,0.09728018395797797,False
steel-plates-fault,classification,resnet_tabular,1,RBF,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V10"",""V17"",""V4""]",3,n3__32b960518acaa9ba,controlled_mlp,-0.00013525550206541328,0.125,0.125,0.16536072936280416,0.1961391230556121,0.23122511769132637,-0.18612879739590182,2.8693389877908715e-15,0.1650448186425492,0.17404559360415728,1,403,403,1.0,4.136136867105961,0.001926372991874814,0.1650448186425492,0.17404559360415728,0.6455976337440515,0.009000774961608088,0.054535337950243616,0.4805528151015024,0.018730043147717163,False
cardiotocography,classification,resnet_tabular,0,PLE,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.00014258560159587265,0.017407209980486386,0.025130003504034198,-121.08252295924852,5.135950343876899e-15,0.0003236007532465958,0.013074696945322085,1,267,219,1.2191780821917808,3.441249819006771,0.001965442206710577,0.0003236007532465958,0.013074696945322085,2.018330722147358,0.01275109619207549,39.403790207987186,2.0180071213941115,0.006318657678108973,False
cardiotocography,classification,resnet_tabular,0,PLE,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.0076829618515996245,0.03344205654676521,0.03990640458124945,-3.3527557721508705,5.135950343876899e-15,0.00041434275440389276,0.044782793150740526,1,267,219,1.2191780821917808,3.441249819006771,0.001965442206710577,0.00041434275440389276,0.044782793150740526,2.01796768586807,0.044368450396336634,107.08151626826128,2.017553343113666,0.02199121552239275,False
cardiotocography,classification,resnet_tabular,0,PLE,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.006064813868112313,0.027720854691257284,0.04004210151150453,-3.5707675938759618,2.560782245803567e-15,0.0009490906954069531,0.0450891664890491,1,371,371,1.0,1.2863933630287647,0.0017709089443087578,0.0009490906954069531,0.0450891664890491,2.018330722147358,0.044140075793642146,46.5077531654819,2.017381631451951,0.02187988385810454,False
cardiotocography,classification,resnet_tabular,0,PLE,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.029226392556867646,0.03047114416755406,0.03895825938992362,-0.04258998466076247,2.560782245803567e-15,0.019498861884633765,0.03665614765278441,1,371,371,1.0,1.2863933630287647,0.0017709089443087578,0.019498861884633765,0.03665614765278441,2.01796768586807,0.017157285768150645,0.8799121646003135,1.9984688239834363,0.008585215622204196,False
cardiotocography,classification,resnet_tabular,0,RBF,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,9.400354073934326e-05,0.020219494973985522,0.028186950450958027,-214.09290836236625,2.0888776102856057e-15,0.0003621450634451759,0.004159800966554156,1,267,219,1.2191780821917808,4.464534221915528,0.0016623460687696934,0.0003621450634451759,0.004159800966554156,2.018330722147358,0.0037976559031089804,10.486559907736797,2.017968577083913,0.0018819202371311568,False
cardiotocography,classification,resnet_tabular,0,RBF,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.0208094322735707,0.03193308192123574,0.041753478797648014,-0.5345484442549058,2.0888776102856057e-15,0.007410602982176678,0.051651503394960115,1,267,219,1.2191780821917808,4.464534221915528,0.0016623460687696934,0.007410602982176678,0.051651503394960115,2.01796768586807,0.04424090041278344,5.969946105490702,2.010557082885893,0.022004299599035198,False
cardiotocography,classification,resnet_tabular,0,RBF,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.024222837990498534,0.031338611304351116,0.043679321255353856,-0.29376298997845596,3.1110220289000998e-15,0.012809501540611435,0.06080660032713879,1,371,371,1.0,2.011630353052169,0.0023113111965358257,0.012809501540611435,0.06080660032713879,2.018330722147358,0.04799709878652736,3.746991921142024,2.0055212206067465,0.02393248113924539,False
cardiotocography,classification,resnet_tabular,0,RBF,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V17"",""V2"",""V21"",""V23"",""V24"",""V9""]",6,n6__39abc3ce2da38f69,controlled_mlp,0.00247719040377839,0.3157894736842105,0.3157894736842105,0.027364611771908416,0.04026300133815482,0.04777002138801688,-0.4713529164512926,3.1110220289000998e-15,0.01645205060707396,0.18321504772819544,1,371,371,1.0,2.011630353052169,0.0023113111965358257,0.01645205060707396,0.18321504772819544,2.01796768586807,0.16676299712112147,10.136304653075749,2.001515635260996,0.08331835843959105,False
cardiotocography,classification,resnet_tabular,1,PLE,8,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.0013597164903644534,0.0029069296893680027,0.009103595347699852,-1.137893972727241,5.135950343876899e-15,0.00047900062040013257,0.00043739347270952767,1,243,219,1.1095890410958904,3.660458818078041,0.0015945839695632458,0.00047900062040013257,0.00043739347270952767,2.018330722147358,-4.16071476906049e-05,-0.08686240877067847,2.017851721526958,-2.0619526819899208e-05,False
cardiotocography,classification,resnet_tabular,1,PLE,8,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.013826764000287461,0.02599061545379682,0.03809097809449213,-0.8797323403550152,5.135950343876899e-15,0.0037716319270427612,0.017535561691610094,1,243,219,1.1095890410958904,3.660458818078041,0.0015945839695632458,0.0037716319270427612,0.017535561691610094,2.01796768586807,0.013763929764567332,3.6493300594576503,2.0141960539410273,0.00683346079327108,False
cardiotocography,classification,resnet_tabular,1,PLE,16,validation,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.015274702009530416,0.025376050800463523,0.039395251108223305,-0.661312330979061,2.0958394454377e-15,0.006723451379148992,0.03763851615080839,1,371,371,1.0,0.36648308183066547,0.0022968100383877754,0.006723451379148992,0.03763851615080839,2.018330722147358,0.0309150647716594,4.598094494671933,2.011607270768209,0.015368340143179789,False
cardiotocography,classification,resnet_tabular,1,PLE,16,test,BlockGuard-Greedy-t01-transferred,0.01,"[""V21"",""V24"",""V7""]",3,n3__2c5a11164347e346,controlled_mlp,0.00041837926142578236,0.15789473684210525,0.15789473684210525,0.03830670251925791,0.04323387305285641,0.04671530379118899,-0.12862424091766878,2.0958394454377e-15,0.031850588508032004,0.05356539627229574,1,371,371,1.0,0.36648308183066547,0.0022968100383877754,0.031850588508032004,0.05356539627229574,2.01796768586807,0.02171480776426374,0.6817710058571681,1.986117097360038,0.010933296829843129,False
