stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
full,steel-plates-fault,classification,tabm_d,0,PLE,16,validation,random_orthogonal,5,0.02497218044899431,0.08740599828608175,0.062433817837087444,0.0732826982708471,0.4395623451564461,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,validation,random_orthogonal,6,0.02497218044899431,0.0701353560244595,0.04516317557546519,0.041830957793824945,0.4625728181563318,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,validation,random_orthogonal,7,0.02497218044899431,0.06532829584445958,0.04035611539546527,0.040922531985692234,0.48702357802540064,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,default,-1,0.017500753228741697,0.017500753228741697,0.0,0.0,0.4462510938756168,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,0,0.017500753228741697,0.043196886118399766,0.02569613288965807,0.053073214685002756,0.49200502689927816,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,1,0.017500753228741697,0.051981873365896804,0.03448112013715511,0.059588476201177805,0.45805092505179346,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,2,0.017500753228741697,0.05260831081811124,0.03510755758936954,0.06033965849587735,0.5537776330020279,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,3,0.017500753228741697,0.04964973788984661,0.03214898466110491,0.06575768975568178,0.5331023330800235,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,4,0.017500753228741697,0.05182784314678433,0.03432708991804263,0.0635118943066106,0.4567712841089815,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,5,0.017500753228741697,0.07771604166180106,0.06021528843305936,0.09370074760103236,0.4395623451564461,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,6,0.017500753228741697,0.03773486109167757,0.020234107862935873,0.046922852930349875,0.4625728181563318,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,tabm_d,0,PLE,16,test,random_orthogonal,7,0.017500753228741697,0.039628305792775355,0.02212755256403366,0.05430405392183407,0.48702357802540064,guarded_embedding_fit,between_numerical_embedding_and_backbone
