candidate,family,features,fit_seconds,input_dimension,invariant_dimension_fraction,invariant_feature_fraction,predict_seconds,raw_input_dimension,selected_blocks,selected_dimensions,selection_key,stage,validation_C,validation_method_loss,validation_raw_loss,dataset,model,seed
stage_0_raw,BlockGuard-Greedy,[],0.0,608,0.0,0.0,0.0,608,0,0,n0__4f53cda18c2baa0c,0,0.0,0.5984423881833324,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_1,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22']",2.0013482680078596,688,0.13157894736842105,0.13157894736842105,0.02862515114247799,608,10,80,n10__3b4ef865ca2f8504,1,-0.11148442407130311,0.4084582952152224,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_2,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73']",2.350761384004727,768,0.2631578947368421,0.2631578947368421,0.03559298301115632,608,20,160,n20__a4a2239daf00bbf5,2,-0.06666109932028867,0.48484312446446387,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_3,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73', 'att40', 'att59', 'att57', 'att10', 'att37', 'att14', 'att70', 'att53', 'att15', 'att18']",2.1007054520305246,848,0.39473684210526316,0.39473684210526316,0.039387801894918084,608,30,240,n30__280e36a016e85653,3,-0.06873547190960665,0.4813081212732788,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_4,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73', 'att40', 'att59', 'att57', 'att10', 'att37', 'att14', 'att70', 'att53', 'att15', 'att18', 'att67', 'att65', 'att23', 'att68', 'att52', 'att25', 'att16', 'att64', 'att11', 'att33']",2.0953937489539385,928,0.5263157894736842,0.5263157894736842,0.07116399495862424,608,40,320,n40__4f848a1660872d85,4,-0.018890017401217953,0.566251318874611,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_5,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73', 'att40', 'att59', 'att57', 'att10', 'att37', 'att14', 'att70', 'att53', 'att15', 'att18', 'att67', 'att65', 'att23', 'att68', 'att52', 'att25', 'att16', 'att64', 'att11', 'att33', 'att61', 'att44', 'att31', 'att34', 'att47', 'att41', 'att56', 'att49', 'att21']",1.3344896980561316,1000,0.6447368421052632,0.6447368421052632,0.03373036184348166,608,49,392,n49__e57ea780a15a2be2,5,0.006462972019870594,0.60945614088737,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_6,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73', 'att40', 'att59', 'att57', 'att10', 'att37', 'att14', 'att70', 'att53', 'att15', 'att18', 'att67', 'att65', 'att23', 'att68', 'att52', 'att25', 'att16', 'att64', 'att11', 'att33', 'att61', 'att44', 'att31', 'att34', 'att47', 'att41', 'att56', 'att49', 'att21', 'att20', 'att43', 'att63', 'att51', 'att60', 'att58', 'att19', 'att55', 'att50']",1.835727573139593,1072,0.7631578947368421,0.7631578947368421,0.02646684506908059,608,58,464,n58__6b21ca53936a94e1,6,0.041195523439902466,0.668644967783786,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_7,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73', 'att40', 'att59', 'att57', 'att10', 'att37', 'att14', 'att70', 'att53', 'att15', 'att18', 'att67', 'att65', 'att23', 'att68', 'att52', 'att25', 'att16', 'att64', 'att11', 'att33', 'att61', 'att44', 'att31', 'att34', 'att47', 'att41', 'att56', 'att49', 'att21', 'att20', 'att43', 'att63', 'att51', 'att60', 'att58', 'att19', 'att55', 'att50', 'att54', 'att28', 'att17', 'att45', 'att42', 'att32', 'att38', 'att27', 'att48']",2.2478406748268753,1144,0.881578947368421,0.881578947368421,0.04471993399783969,608,67,536,n67__538a0a81fd270b8e,7,0.022443620736653503,0.6366892640504603,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_8,BlockGuard-Greedy,"['att5', 'att13', 'att1', 'att71', 'att8', 'att6', 'att2', 'att9', 'att3', 'att22', 'att66', 'att69', 'att7', 'att24', 'att35', 'att74', 'att26', 'att4', 'att46', 'att73', 'att40', 'att59', 'att57', 'att10', 'att37', 'att14', 'att70', 'att53', 'att15', 'att18', 'att67', 'att65', 'att23', 'att68', 'att52', 'att25', 'att16', 'att64', 'att11', 'att33', 'att61', 'att44', 'att31', 'att34', 'att47', 'att41', 'att56', 'att49', 'att21', 'att20', 'att43', 'att63', 'att51', 'att60', 'att58', 'att19', 'att55', 'att50', 'att54', 'att28', 'att17', 'att45', 'att42', 'att32', 'att38', 'att27', 'att48', 'att29', 'att39', 'att72', 'att12', 'att30', 'att76', 'att62', 'att75', 'att36']",0.0,1216,1.0,1.0,0.0,608,76,608,n76__1f2805343c762161,8,0.04563846505504299,0.6762163235125727,0.5984423881833324,mfeat-fourier,controlled_mlp,0
stage_0_raw,BlockGuard-Greedy,[],0.0,608,0.0,0.0,0.0,608,0,0,n0__4f53cda18c2baa0c,0,0.0,0.614798766808152,0.614798766808152,mfeat-fourier,controlled_mlp,1
