dataset,problem_type,model,seed,candidate,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds,stage
steel-plates-fault,classification,tabicl_v2,0,raw_only,[],BlockGuard-Grouped,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.000731848439757674,0.000731848439757674,211,211,0.0,0.0,
steel-plates-fault,classification,tabicl_v2,0,very_safe_gram,"[""V24"",""V2"",""V20"",""V6"",""V18"",""V27""]",BlockGuard-Grouped,n6__b63cf777177fc861,6,48,0.25,0.25,-0.0005837156954721076,0.000731848439757674,0.0003552035894935882,259,211,0.2603295820299536,0.11697484413161874,
steel-plates-fault,classification,tabicl_v2,0,very_safe_plus_safe_gram,"[""V24"",""V2"",""V20"",""V6"",""V18"",""V27"",""V23"",""V1"",""V7"",""V22"",""V14"",""V11""]",BlockGuard-Grouped,n12__814270e4e2d6a4a6,12,96,0.5,0.5,-7.401503413838998e-05,0.000731848439757674,0.0006840899476242768,307,211,0.2574968650005758,0.12581596500240266,
steel-plates-fault,classification,tabicl_v2,0,all_except_dangerous_gram,"[""V24"",""V2"",""V20"",""V6"",""V18"",""V27"",""V23"",""V1"",""V7"",""V22"",""V14"",""V11"",""V19"",""V4"",""V3"",""V10"",""V26"",""V5""]",BlockGuard-Grouped,n18__92642d19e4f078c9,18,144,0.75,0.75,0.0010895160313426453,0.000731848439757674,0.0014348629477939417,355,211,0.26513904286548495,0.1366516228299588,
steel-plates-fault,classification,tabicl_v2,0,all_gram,"[""V24"",""V2"",""V20"",""V6"",""V18"",""V27"",""V23"",""V1"",""V7"",""V22"",""V14"",""V11"",""V19"",""V4"",""V3"",""V10"",""V26"",""V5"",""V15"",""V8"",""V25"",""V9"",""V17"",""V16""]",BlockGuard-Grouped,n24__13a3e3b0860a6402,24,192,1.0,1.0,0.002451568247040624,0.000731848439757674,0.0023137325016073106,403,211,0.0,0.0,
steel-plates-fault,classification,tabicl_v2,0,stage_0_raw,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.000731848439757674,0.000731848439757674,211,211,0.0,0.0,0.0
steel-plates-fault,classification,tabicl_v2,0,stage_1,"[""V6"",""V23"",""V20""]",BlockGuard-Greedy,n3__e42cb7ebb0c41b85,3,24,0.125,0.125,-4.839209959865535e-05,0.000731848439757674,0.0007006232469991366,235,211,0.24576375912874937,0.10631728498265147,1.0
steel-plates-fault,classification,tabicl_v2,0,stage_2,"[""V6"",""V23"",""V20"",""V22"",""V14"",""V24""]",BlockGuard-Greedy,n6__0d4b143825d9ef14,6,48,0.25,0.25,-0.00029904615722203294,0.000731848439757674,0.0005388877296334676,259,211,0.2565268378239125,0.11225057416595519,2.0
steel-plates-fault,classification,tabicl_v2,0,stage_3,"[""V6"",""V23"",""V20"",""V22"",""V14"",""V24"",""V2"",""V1"",""V7""]",BlockGuard-Greedy,n9__8939156cb9492795,9,72,0.375,0.375,0.0006117713938077119,0.000731848439757674,0.0011265963398123286,283,211,0.32538315188139677,0.12187668401747942,3.0
steel-plates-fault,classification,tabicl_v2,0,stage_4,"[""V6"",""V23"",""V20"",""V22"",""V14"",""V24"",""V2"",""V1"",""V7"",""V18"",""V27"",""V11""]",BlockGuard-Greedy,n12__814270e4e2d6a4a6,12,96,0.5,0.5,-7.401503413838998e-05,0.000731848439757674,0.0006840899476242768,307,211,0.2574968650005758,0.12581596500240266,4.0
steel-plates-fault,classification,tabicl_v2,0,stage_5,"[""V6"",""V23"",""V20"",""V22"",""V14"",""V24"",""V2"",""V1"",""V7"",""V18"",""V27"",""V11"",""V19"",""V4"",""V3""]",BlockGuard-Greedy,n15__22c688479a49de2d,15,120,0.625,0.625,0.00020420614179397458,0.000731848439757674,0.0008636132565950747,331,211,0.3277608079370111,0.13250029413029552,5.0
steel-plates-fault,classification,tabicl_v2,0,stage_6,"[""V6"",""V23"",""V20"",""V22"",""V14"",""V24"",""V2"",""V1"",""V7"",""V18"",""V27"",""V11"",""V19"",""V4"",""V3"",""V26"",""V10"",""V8""]",BlockGuard-Greedy,n18__6b964a65b9f6e85b,18,144,0.75,0.75,0.0012180550933240004,0.000731848439757674,0.0015178032835234732,355,211,0.317533704219386,0.13589006895199418,6.0
