dataset,problem_type,model,seed,feature,feature_index,empirical_rank,block_dimension,spectrum_entropy,largest_nonzero_singular_value,smallest_nonzero_singular_value,condition_proxy,mean_gram_diagonal,embedding_type,raw_input_block_orbit_relative_frobenius,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,raw_one_block_orbit_disagreement,basis_disagreement_benefit,gram_one_block_validation_loss,gram_one_block_fit_seconds,raw_one_block_fit_seconds,selection_split
SoilKsatDB,regression,tabpfn_2_6,1,longitude_decimal_degrees,0,8,8,0.32421895000883316,47.60910522908105,0.011695764466235888,4070.627906924955,2.3911008949295884,RBF,1.3630785312671003,982.1702302520446,936.6489532085786,1105.5698899494796,-45.52127704346594,-0.04634764488003701,123.39965969743503,-0.36889305169139086,False,0.05949149241007661,0.05949149241007661,936.6489532085786,2.0404353679623455,15.286396834766492,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,latitude_decimal_degrees,1,8,8,0.6569687052945383,36.917335934982766,0.14950404127074704,246.9320268615793,1.6907004213833452,RBF,1.4224440646095151,982.1702302520446,939.4504776853919,1105.5698899494796,-42.71975256665269,-0.043495263092722676,123.39965969743503,-0.34619019753699254,False,0.022893986870803205,0.022893986870803205,939.4504776853919,1.948028963059187,16.815509968902916,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,hzn_top,2,7,8,0.8476529375891294,38.94499729657012,0.3006085448027961,129.55385989482983,2.0766135375128014,RBF,1.5048605869673055,982.1702302520446,955.9505300567273,1105.5698899494796,-26.219700195317273,-0.026695677987092697,123.39965969743503,-0.21247789709960013,False,0.006574685036679226,0.006574685036679226,955.9505300567273,1.83535097213462,15.644437150331214,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,hzn_bot,3,8,8,1.0266874528064085,33.19146268083541,0.1239452774675135,267.7912652987929,1.7342924862227904,RBF,1.4526199550618226,982.1702302520446,959.8001918063609,1105.5698899494796,-22.37003844568369,-0.022776131628366593,123.39965969743503,-0.18128120045495288,False,0.027622569723602167,0.027622569723602167,959.8001918063609,2.147726935800165,15.909439533250406,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,db_od,4,8,8,0.8840759356632695,33.94930999226901,0.3988201202962927,85.1243662607776,1.568012738761868,RBF,1.376698107733378,982.1702302520446,961.7292933469643,1105.5698899494796,-20.44093690508032,-0.02081201025593574,123.39965969743503,-0.16564824372449388,False,0.0672421079546708,0.0672421079546708,961.7292933469643,2.150873336941004,17.46558801922947,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,w10cld,5,3,8,0.0059556209258498655,83.42124563928908,0.5181772787924251,160.98977908428617,6.800780760656437,RBF,1.503092473800602,982.1702302520446,986.2791922528409,1105.5698899494796,4.108962000796282,0.004183553801810751,123.39965969743503,0.03329800107124356,False,0.018056810765130493,0.018056810765130493,986.2791922528409,1.7196545749902725,16.545323078520596,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,w3cld,6,7,8,0.657340650064949,45.109114285348554,0.0462798530602269,974.7030576489776,2.488990903556757,RBF,1.3473550410836181,982.1702302520446,979.9946483006979,1105.5698899494796,-2.1755819513466577,-0.0022150762508739035,123.39965969743503,-0.017630372374453793,False,0.04856539207511459,0.04856539207511459,979.9946483006979,2.2463191610295326,16.714310193434358,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,w15l2,7,7,8,0.4704227842098888,48.1029804657254,0.02948693920907638,1631.33176097568,2.5596323430563492,RBF,1.2975891259316006,982.1702302520446,973.8337112913564,1105.5698899494796,-8.336518960688181,-0.008487855469360808,123.39965969743503,-0.06755706604968428,False,0.037540578943631955,0.037540578943631955,973.8337112913564,2.0852525990922004,15.73546914709732,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,w15bfm,8,3,8,0.003405808354629683,83.13074526075296,0.45694848109161756,181.9258596990179,6.7512551136096715,RBF,1.4354644776875474,982.1702302520446,980.4052335939509,1105.5698899494796,-1.7649966580936507,-0.0017970374215483167,123.39965969743503,-0.014303091778545137,False,0.0013802413339167854,0.0013802413339167854,980.4052335939509,1.8105203448794782,16.680516266729683,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,clay_tot_psa,9,8,8,0.7051211182255452,35.92825032323024,0.06652195535692372,540.096125113237,1.572302915484364,RBF,1.2657128063796517,982.1702302520446,962.7709135615903,1105.5698899494796,-19.39931669045427,-0.01975148104975246,123.39965969743503,-0.15720721384499492,False,0.030569776492021927,0.030569776492021927,962.7709135615903,2.274578900076449,17.038165494101122,validation_only
SoilKsatDB,regression,tabpfn_2_6,1,silt_tot_psa,10,8,8,1.0115237215266077,28.583952774016804,0.627383802120431,45.56055269104621,1.2412458914947408,RBF,1.3782170314910687,982.1702302520446,962.2718712879955,1105.5698899494796,-19.898358964049066,-0.020259582658031437,123.39965969743503,-0.16125132770088726,False,0.03451562780991193,0.03451562780991193,962.2718712879955,2.1733181660529226,17.258728767745197,validation_only
