family,member,accuracy,auc,log_loss,brier
PLE seed,0,0.8616792580308335,0.914268967220289,0.2996808489250813,0.09551598715391882
PLE seed,1,0.860573674835698,0.9131855905518891,0.3031168455831833,0.09647821439762733
PLE seed,2,0.8583010871568085,0.9139680368075199,0.30145073342685125,0.09592524661736815
PLE seed,3,0.858731036177139,0.9136239490592893,0.30342355296091444,0.09687003368700448
schema,PAD,0.8627848412259689,0.9134365157477228,0.3014953596220267,0.096026170248278
schema,DUPLICATE,0.8622320496284012,0.9138926787469569,0.3003057787617471,0.09548036040148421
schema,POSNEG,0.8635833179780111,0.9140719364198773,0.3009586749439878,0.09559563965168515
schema,SIGNMAG,0.8597137767950371,0.9139204570997476,0.30214643500461236,0.09620927379113164
identity seed,0,0.8692954978195443,0.9249635807708143,0.28485389315145976,0.09005362829780238
identity seed,1,0.8704625023032984,0.9264111915501952,0.2794312609957775,0.08929451714989958
identity seed,2,0.8726122474049506,0.9269126655697512,0.27658558057825944,0.08828204746721323
identity seed,3,0.873042196425281,0.9271594297627956,0.2771280427248655,0.08808993862776533
