system,accuracy,auc,log_loss,brier,accuracy_gain_pp,auc_gain_pp
Single PLE,0.8616792580308335,0.914268967220289,0.2996808489250813,0.09551598715391882,0.0,0.0
Single PLE + identity,0.8692954978195443,0.9249635807708143,0.28485389315145976,0.09005362829780238,0.7616239788710844,1.0694613550525256
4 PLE seeds,0.8606965174129353,0.9155150934626044,0.29813209562657184,0.094991872882783,-0.0982740617898159,0.12461262423153485
4 PLE schemas,0.8634604754007739,0.9152450882916701,0.2981574336265079,0.09497399063635936,0.17812173699404132,0.09761210713810087
4 identity seeds,0.8724279835390947,0.9278648661024848,0.2744578902731449,0.08778243610472812,1.0748725508261225,1.35958988821957
