comparison,accuracy_difference_pp,accuracy_ci_low_pp,accuracy_ci_high_pp,auc_difference_pp,auc_ci_low_pp,auc_ci_high_pp
Single identity vs single PLE,0.7616239788710844,0.4053805048830017,1.081014679687986,1.0694613550525256,0.8517159745497234,1.2779495498276
Schema ensemble vs PLE-seed ensemble,0.2763957987838572,0.055279159756771445,0.4913703089490795,-0.027000517093433984,-0.09841346609232664,0.039386609642089725
Identity-seed ensemble vs PLE-seed ensemble,1.1731466126159384,0.9150236471961251,1.4188317670904782,1.2349772639880352,1.0666106499507344,1.3912187890812813
