dataset,seed,model,train_seconds,final_train_loss,parameters,steps,batch_size,final_stage1_loss,final_stage2_loss,stage1_steps,stage2_steps
JenaWeather,20261301,moses,67.40289121121168,-0.7036092281341553,129600,3000.0,32,,,,
JenaWeather,20261301,tactis2,80.77449210197665,,193282,,32,3.4715638160705566,-0.11921617388725281,1500.0,1500.0
JenaWeather,20261302,moses,66.94958638492972,-0.9728586673736572,129600,3000.0,32,,,,
JenaWeather,20261302,tactis2,78.22485256404616,,193282,,32,3.167445421218872,-0.028875209391117096,1500.0,1500.0
JenaWeather,20261303,moses,66.97513064206578,-0.8968510627746582,129600,3000.0,32,,,,
JenaWeather,20261303,tactis2,79.1575634421315,,193282,,32,3.8754584789276123,-0.034462958574295044,1500.0,1500.0
Electricity,20261301,moses,66.94644112186506,0.054280899465084076,129600,3000.0,32,,,,
Electricity,20261301,tactis2,77.91970909992233,,193282,,32,6.443017959594727,-5.000908851623535,1500.0,1500.0
Electricity,20261302,moses,66.91283932118677,-0.06278817355632782,129600,3000.0,32,,,,
Electricity,20261302,tactis2,79.38431518198922,,193282,,32,0.7104525566101074,-0.278481662273407,1500.0,1500.0
Electricity,20261303,moses,68.59322621114552,-0.026438964530825615,129600,3000.0,32,,,,
Electricity,20261303,tactis2,72.34688763297163,,193282,,32,0.647192656993866,-0.3496817648410797,1500.0,1500.0
Traffic,20261301,moses,56.54852072708309,-0.46771135926246643,129600,3000.0,32,,,,
Traffic,20261301,tactis2,72.42187028401531,,193282,,32,5.755008697509766,-5.943111896514893,1500.0,1500.0
Traffic,20261302,moses,56.63864753092639,-0.15640418231487274,129600,3000.0,32,,,,
Traffic,20261302,tactis2,72.27699397387914,,193282,,32,-1.5091753005981445,-1.4044839143753052,1500.0,1500.0
Traffic,20261303,moses,56.531973720062524,-0.5633619427680969,129600,3000.0,32,,,,
Traffic,20261303,tactis2,79.85555091896094,,193282,,32,-0.4373130202293396,-0.560560405254364,1500.0,1500.0
