dataset,model,seed,parameters,train_seconds,latency_ms_per_context,crps_point,coverage50_point,coverage90_point,crps_difference,coverage50_difference,coverage90_difference,crps_dense,coverage50_dense,coverage90_dense,crps_scaled_dense,coverage50_scaled_dense,coverage90_scaled_dense,macro_crps,coverage50,coverage90,coverage_error
Electricity,direct_mixture4_matched,20261302.0,137211.0,,0.003640098005538069,0.23082561790943146,0.5559895833333334,0.9169921875,0.2956455846627553,0.4462890625,0.833984375,0.22820121546586355,0.505859375,0.9114583333333334,0.346232404311498,0.474609375,0.8483072916666666,0.2752261956532796,0.4956868489583333,0.877685546875,0.023811848958333343
Electricity,moses,20261302.0,129600.0,67.48416888473245,1.1764292884587728,0.29537280400594074,0.3909505208333333,0.8291015625,0.37695377071698505,0.4345703125,0.8639322916666666,0.3055216073989868,0.4908854166666667,0.9075520833333334,0.46208783984184265,0.5,0.9111328125,0.35998404026031494,0.4541015625,0.8779296875,0.03398437500000001
Electricity,projective_mixture4,20261302.0,136580.0,,0.0038920589607490306,0.17143627007802328,0.4482421875,0.8505859375,0.22812937200069427,0.4957682291666667,0.8649088541666666,0.17932993670304617,0.4404296875,0.849609375,0.2745654284954071,0.4583333333333333,0.8509114583333334,0.2133652518192927,0.460693359375,0.85400390625,0.04265136718750001
Electricity,tactis2,20261302.0,193282.0,76.55030397162773,5.018970527620088,0.14151103297869363,0.4593098958333333,0.8587239583333334,0.19124796986579895,0.4912109375,0.8740234375,0.16346105933189392,0.4850260416666667,0.8590494791666666,0.25188567241032916,0.484375,0.8531901041666666,0.18702643116315207,0.47998046875,0.8612467447916666,0.04058430989583334
JenaWeather,direct_mixture4_matched,20261302.0,137211.0,,0.0036868834740744205,0.17211670676867166,0.5908203125,0.9293619791666666,0.2257862091064453,0.5432942708333334,0.890625,0.20603571832180023,0.4677734375,0.8720703125,0.3079345126946767,0.4306640625,0.84765625,0.22796828548113504,0.5081380208333334,0.8849283854166666,0.013313802083333345
JenaWeather,moses,20261302.0,129600.0,67.10920274606906,1.1702691464658226,0.2191134641567866,0.5029296875,0.94921875,0.3376927276452382,0.5810546875,0.9609375,0.29861583312352497,0.6126302083333334,0.9723307291666666,0.4484768509864807,0.611328125,0.9742838541666666,0.3259747127691905,0.5769856770833334,0.9641927083333334,0.07058919270833332
JenaWeather,projective_mixture4,20261302.0,136580.0,,0.005919963465809512,0.11596851050853729,0.5289713541666666,0.9156901041666666,0.17917310694853464,0.5651041666666666,0.9130859375,0.17126885056495667,0.5211588541666666,0.8912760416666666,0.25107142329216003,0.5169270833333334,0.8984375,0.17937047282854715,0.5330403645833334,0.9046223958333334,0.01927083333333333
JenaWeather,tactis2,20261302.0,193282.0,79.38563603605144,5.276460221314967,0.10425666222969691,0.482421875,0.8697916666666666,0.1672279288371404,0.5426432291666666,0.8929036458333334,0.17510652542114258,0.5634765625,0.876953125,0.25665609041849774,0.5556640625,0.8860677083333334,0.17581180731455484,0.5360514322916666,0.8814290364583334,0.02731119791666668
Traffic,direct_mixture4_matched,20261302.0,137211.0,,0.0036783492305403342,0.30769768357276917,0.4801432291666667,0.837890625,0.40892690420150757,0.3837890625,0.7483723958333334,0.35868744055430096,0.3492838541666667,0.767578125,0.5528777241706848,0.3369140625,0.7001953125,0.40704743067423504,0.3875325520833333,0.7635091145833334,0.12447916666666668
Traffic,moses,20261302.0,129600.0,56.573047326024,1.173815683690312,0.42313729723294574,0.48828125,0.8772786458333334,0.5035155216852824,0.4427083333333333,0.8697916666666666,0.46366119384765625,0.4986979166666667,0.9010416666666666,0.7089237372080485,0.4860026041666667,0.8987630208333334,0.5248094300429026,0.4789225260416667,0.88671875,0.01717936197916668
Traffic,projective_mixture4,20261302.0,136580.0,,0.003941316435884801,0.22887583573659262,0.388671875,0.7740885416666666,0.31651755174001056,0.4033203125,0.7864583333333334,0.28971466422080994,0.3404947916666667,0.71875,0.42397958040237427,0.3444010416666667,0.7229817708333334,0.3147718906402588,0.3692220052083333,0.7505696614583334,0.14010416666666667
Traffic,tactis2,20261302.0,193282.0,74.85147172561847,4.9925393138892105,0.22480477889378866,0.4928385416666667,0.8714192708333334,0.32270097732543945,0.5299479166666666,0.8857421875,0.30355527997016907,0.4833984375,0.8245442708333334,0.46123289068539935,0.4716796875,0.8134765625,0.3280734717845917,0.4944661458333333,0.8487955729166666,0.04960937500000001
