dataset,seed,model,parameters,train_seconds,latency_ms_per_context,crps_point,coverage50_point,coverage90_point,crps_difference,coverage50_difference,coverage90_difference,crps_dense,coverage50_dense,coverage90_dense,crps_scaled_dense,coverage50_scaled_dense,coverage90_scaled_dense,macro_crps,coverage50,coverage90,coverage_error
JenaWeather,20261301,projective_mixture4,136580,,0.010058096677312278,0.1167132556438446,0.53515625,0.9189453125,0.16987791657447815,0.5830078125,0.9287109375,0.17424276471138,0.5341796875,0.89453125,0.2658153474330902,0.515625,0.9033203125,0.18166232109069824,0.5419921875,0.911376953125,0.02668457031249999
JenaWeather,20261301,direct_mixture4_matched,137211,,0.0037729862469859654,0.18339888751506805,0.6064453125,0.935546875,0.21481233835220337,0.55078125,0.9052734375,0.21111652255058289,0.478515625,0.880859375,0.3251674473285675,0.447265625,0.8515625,0.23362380266189575,0.520751953125,0.893310546875,0.013720703125000011
JenaWeather,20261301,moses,129600,67.40289121121168,1.167800052826351,0.2399255633354187,0.564453125,0.96875,0.3410719931125641,0.603515625,0.978515625,0.30264756083488464,0.6552734375,0.9736328125,0.4641706347465515,0.6513671875,0.9794921875,0.33695393800735474,0.61865234375,0.97509765625,0.09687499999999999
JenaWeather,20261301,tactis2,193282,80.77449210197665,5.190451896396553,0.10954616963863373,0.498046875,0.87109375,0.16064399480819702,0.556640625,0.896484375,0.17878761887550354,0.583984375,0.8876953125,0.2749486565589905,0.564453125,0.8994140625,0.1809816211462021,0.55078125,0.888671875,0.03105468750000001
JenaWeather,20261302,projective_mixture4,136580,,0.003908952976416913,0.11656980216503143,0.5498046875,0.9130859375,0.17483985424041748,0.572265625,0.916015625,0.1653652787208557,0.5029296875,0.892578125,0.2424689531326294,0.509765625,0.8935546875,0.1748109608888626,0.53369140625,0.90380859375,0.01874999999999999
JenaWeather,20261302,direct_mixture4_matched,137211,,0.0036457538499234943,0.17269904911518097,0.5859375,0.9189453125,0.2293628603219986,0.5283203125,0.87109375,0.20121203362941742,0.4521484375,0.8642578125,0.30287060141563416,0.4130859375,0.841796875,0.22653613984584808,0.494873046875,0.8740234375,0.015551757812500011
JenaWeather,20261302,moses,129600,66.94958638492972,1.1675382793328026,0.20832088589668274,0.4873046875,0.94140625,0.32982465624809265,0.5595703125,0.94921875,0.29838845133781433,0.609375,0.9794921875,0.46347999572753906,0.6142578125,0.970703125,0.3250034749507904,0.567626953125,0.960205078125,0.06391601562499999
JenaWeather,20261302,tactis2,193282,78.22485256404616,5.306995025421202,0.10714307427406311,0.478515625,0.8701171875,0.1642267107963562,0.54296875,0.9013671875,0.1696285903453827,0.556640625,0.87890625,0.23982396721839905,0.5341796875,0.88671875,0.17020559310913086,0.528076171875,0.88427734375,0.02189941406250001
JenaWeather,20261303,projective_mixture4,136580,,0.003792840743699344,0.11462247371673584,0.501953125,0.9150390625,0.1928015500307083,0.5400390625,0.89453125,0.17419850826263428,0.5263671875,0.88671875,0.2449299693107605,0.525390625,0.8984375,0.18163813650608063,0.5234375,0.898681640625,0.012377929687500011
JenaWeather,20261303,direct_mixture4_matched,137211,,0.003641910325313802,0.160252183675766,0.580078125,0.93359375,0.23318342864513397,0.55078125,0.8955078125,0.2057785987854004,0.47265625,0.87109375,0.2957654893398285,0.431640625,0.849609375,0.22374491393566132,0.5087890625,0.887451171875,0.010668945312500011
JenaWeather,20261303,moses,129600,66.97513064206578,1.1754691072383139,0.20909394323825836,0.45703125,0.9375,0.342181533575058,0.580078125,0.955078125,0.294811487197876,0.5732421875,0.9638671875,0.41777992248535156,0.568359375,0.97265625,0.31596672534942627,0.544677734375,0.957275390625,0.05097656249999999
JenaWeather,20261303,tactis2,193282,79.1575634421315,5.331933742127148,0.09608074277639389,0.470703125,0.8681640625,0.17681308090686798,0.5283203125,0.880859375,0.1769033670425415,0.5498046875,0.8642578125,0.25519564747810364,0.568359375,0.8720703125,0.1762482076883316,0.529296875,0.871337890625,0.02897949218750001
Electricity,20261301,projective_mixture4,136580,,0.004164141728324466,0.1648164838552475,0.4619140625,0.8681640625,0.23072129487991333,0.4921875,0.8671875,0.17423978447914124,0.4658203125,0.861328125,0.2651134431362152,0.478515625,0.8759765625,0.20872275531291962,0.474609375,0.8681640625,0.02861328125000001
Electricity,20261301,direct_mixture4_matched,137211,,0.003636560450104298,0.22657926380634308,0.541015625,0.923828125,0.3033284544944763,0.4189453125,0.8193359375,0.23188650608062744,0.4873046875,0.9111328125,0.3562459349632263,0.451171875,0.841796875,0.2795100212097168,0.474609375,0.8740234375,0.02568359375000001
Electricity,20261301,moses,129600,66.94644112186506,1.177119852627584,0.315046101808548,0.453125,0.865234375,0.414213091135025,0.47265625,0.892578125,0.352582186460495,0.5126953125,0.9189453125,0.5339685678482056,0.5283203125,0.919921875,0.40395253896713257,0.49169921875,0.899169921875,0.004565429687500011
Electricity,20261301,tactis2,193282,77.91970909992233,4.37126781639563,0.14580640196800232,0.4892578125,0.8896484375,0.1996341049671173,0.529296875,0.912109375,0.16965150833129883,0.560546875,0.9091796875,0.26092174649238586,0.5439453125,0.900390625,0.19400343298912048,0.53076171875,0.90283203125,0.01679687499999999
Electricity,20261302,projective_mixture4,136580,,0.003732320237759268,0.17501918971538544,0.4384765625,0.845703125,0.22118349373340607,0.5087890625,0.8720703125,0.18625733256340027,0.4267578125,0.8359375,0.2866493761539459,0.4462890625,0.837890625,0.21727734804153442,0.455078125,0.847900390625,0.04851074218750001
Electricity,20261302,direct_mixture4_matched,137211,,0.003657324214145774,0.2263871729373932,0.591796875,0.9296875,0.2734169363975525,0.4853515625,0.8662109375,0.22328825294971466,0.5361328125,0.927734375,0.3431246280670166,0.5126953125,0.8544921875,0.26655423641204834,0.531494140625,0.89453125,0.01848144531250001
Electricity,20261302,moses,129600,66.91283932118677,1.1742227529794036,0.3018779456615448,0.3837890625,0.82421875,0.36543774604797363,0.423828125,0.87109375,0.3031329810619354,0.466796875,0.9072265625,0.4614901840686798,0.484375,0.91015625,0.3579847514629364,0.439697265625,0.878173828125,0.04106445312500001
