train_rows,model,rmse_mean,rmse_std
200,schema_only,1.211770276784883,0.02279879758534104
200,semantic_oracle,0.7689916777862654,0.015590402418543245
200,multi_view,0.7961698318522925,0.021910264374588494
500,schema_only,1.1889255428821177,0.012539465040696444
500,semantic_oracle,0.7194034013578993,0.00963910789566709
500,multi_view,0.7283830680527456,0.01100146062722065
1000,schema_only,1.1775424730533453,0.01074485904304484
1000,semantic_oracle,0.7071273407037562,0.00854689990380168
1000,multi_view,0.7124999826603242,0.009084267146040576
2500,schema_only,1.1731861244060737,0.011325247070663314
2500,semantic_oracle,0.6984395200026842,0.007516349458705913
2500,multi_view,0.7009148612383942,0.008017536738941006
