dataset,task,metric,method,bins,smoothing,seed,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members
diamond,regression,rmse,sparse_gate,32,20.0,0,267,180965,240,44,0.13309355546071,0.13650840520858765,16.333467617980205,,schema:0.5565;numeric_ple:0.4245;cat_residual:0.0091;cat_residual_ple:0.0100
diamond,regression,rmse,late_fusion,32,20.0,0,460,362979,0,0,0.1343077449322756,0.13787199556827545,14.82293319189921,,schema_ple;cat_residual
diamond,regression,rmse,schema,64,20.0,0,26,215713,321,42,0.1380438657723726,0.13957494497299194,11.350332565023564,,
diamond,regression,rmse,schema_ple,64,20.0,0,326,215553,256,37,0.13202414702695986,0.1366579234600067,13.454058991046622,,
diamond,regression,rmse,numeric_identity,64,20.0,0,326,215553,256,37,0.13202414702695986,0.1366579234600067,12.786244262009859,,
diamond,regression,rmse,cat_target,64,20.0,0,414,215521,240,26,0.13577547589680172,0.1414404660463333,10.808978113927878,,
diamond,regression,rmse,cat_residual,64,20.0,0,415,215761,240,26,0.13756288767426383,0.14247725903987885,10.518651992082596,,
diamond,regression,rmse,multi_view,64,20.0,0,414,215521,240,26,0.13577547589680172,0.1414404660463333,10.652093266020529,,
diamond,regression,rmse,multi_view_residual,64,20.0,0,415,215761,240,26,0.13756288767426383,0.14247725903987885,10.696553117013536,,
diamond,regression,rmse,diagnostic_residual,64,20.0,0,415,215761,240,26,0.13756288767426383,0.14247725903987885,10.49438886588905,,
diamond,regression,rmse,sparse_gate,64,20.0,0,415,215105,239,37,0.13251294469852493,0.1347654014825821,15.429222286096774,,schema:0.5282;numeric_ple:0.4529;cat_residual:0.0093;cat_residual_ple:0.0095
diamond,regression,rmse,late_fusion,64,20.0,0,326,215553,0,0,0.13202414702695986,0.13659769296646118,13.454058991046622,,schema_ple
diamond,regression,rmse,schema,128,20.0,0,26,272949,362,45,0.14045211600360297,0.14314930140972137,13.452801072970033,,
diamond,regression,rmse,schema_ple,128,20.0,0,553,273665,256,21,0.13634059617316652,0.14108248054981232,10.919114688062109,,
diamond,regression,rmse,numeric_identity,128,20.0,0,553,273665,256,21,0.13634059617316652,0.14108248054981232,10.000914897071198,,
diamond,regression,rmse,cat_target,128,20.0,0,647,273054,241,21,0.13807182892383896,0.14111068844795227,10.33751017099712,,
diamond,regression,rmse,cat_residual,128,20.0,0,649,273536,241,13,0.14105431235639365,0.14336979389190674,9.959505393984728,,
diamond,regression,rmse,multi_view,128,20.0,0,647,273054,241,21,0.13807182892383896,0.14111068844795227,9.525156148942187,,
diamond,regression,rmse,multi_view_residual,128,20.0,0,649,273536,241,13,0.14105431235639365,0.14336979389190674,6.770992503967136,,
diamond,regression,rmse,diagnostic_residual,128,20.0,0,649,273536,241,13,0.14105431235639365,0.14336979389190674,6.1699849729193375,,
diamond,regression,rmse,sparse_gate,128,20.0,0,649,274263,241,37,0.13603262985430575,0.13831175863742828,17.653413368039764,,schema:0.5389;numeric_ple:0.4431;cat_residual:0.0089;cat_residual_ple:0.0092
diamond,regression,rmse,late_fusion,128,20.0,0,1755,820866,0,0,0.13464232158666256,0.1386822909116745,30.879534979118034,,schema_ple;cat_residual;numeric_identity
black-friday,regression,rmse,schema,8,20.0,0,22,144101,262,35,0.6993577841137508,0.7002561092376709,28.873497165041044,,
black-friday,regression,rmse,schema_ple,8,20.0,0,47,144129,256,29,0.6937515912997085,0.6947670578956604,23.251004781923257,,
black-friday,regression,rmse,numeric_identity,8,20.0,0,109,144475,242,12,0.691995993462907,0.6932385563850403,17.6571575650014,0;1;2;3,
black-friday,regression,rmse,cat_target,8,20.0,0,81,144089,248,26,0.6961051727139491,0.6964032649993896,27.905039935023524,,
black-friday,regression,rmse,cat_residual,8,20.0,0,81,144089,248,25,0.6959711162422018,0.6978344321250916,26.41471509099938,,
black-friday,regression,rmse,multi_view,8,20.0,0,143,143911,234,6,0.6919657399366308,0.6932532787322998,13.328251112019643,0;1;2;3,
black-friday,regression,rmse,multi_view_residual,8,20.0,0,143,143911,234,6,0.6924074533311,0.6936511397361755,13.034364009974524,0;1;2;3,
black-friday,regression,rmse,diagnostic_residual,8,20.0,0,122,144357,239,10,0.6936950148234047,0.6945505738258362,15.792816575965844,1;2;3,
black-friday,regression,rmse,sparse_gate,8,20.0,0,122,144234,238,34,0.6916716613682219,0.6945571303367615,41.195930432062596,1;2;3,schema:0.4854;numeric_ple:0.4542;numeric_identity:0.0373;cat_residual:0.0072;cat_residual_ple:0.0159
black-friday,regression,rmse,late_fusion,8,20.0,0,237,432693,0,0,0.6881786892754072,0.6893883347511292,67.32287743792403,,numeric_identity;schema_ple;cat_residual
black-friday,regression,rmse,schema,16,20.0,0,22,147341,265,42,0.6997494124381447,0.7004422545433044,31.826481453957967,,
black-friday,regression,rmse,schema_ple,16,20.0,0,60,147457,256,23,0.6927243411525872,0.6928999423980713,21.337905494030565,,
black-friday,regression,rmse,numeric_identity,16,20.0,0,122,147621,242,20,0.6921885916990824,0.693691611289978,24.340784545987844,0;1;2;3,
black-friday,regression,rmse,cat_target,16,20.0,0,115,147016,243,18,0.695971652229872,0.6984783411026001,21.932362219085917,,
black-friday,regression,rmse,cat_residual,16,20.0,0,114,147865,244,21,0.6946496684183003,0.697047233581543,24.98526354401838,,
black-friday,regression,rmse,multi_view,16,20.0,0,177,147431,230,12,0.6916293183422724,0.6942198276519775,17.749450667062774,0;1;2;3,
black-friday,regression,rmse,multi_view_residual,16,20.0,0,176,147201,230,13,0.693444887243956,0.694926381111145,18.036850024946034,0;1;2;3,
black-friday,regression,rmse,diagnostic_residual,16,20.0,0,126,147493,241,21,0.6953007147750938,0.6962202191352844,23.31216965604108,1,
black-friday,regression,rmse,sparse_gate,16,20.0,0,126,147366,240,21,0.6919707424882198,0.6941861510276794,29.853024165029638,1,schema:0.4166;numeric_ple:0.5304;numeric_identity:0.0313;cat_residual:0.0083;cat_residual_ple:0.0134
black-friday,regression,rmse,late_fusion,16,20.0,0,296,442943,0,0,0.6873276599634259,0.6885664463043213,70.66395358403679,,numeric_identity;cat_residual;schema_ple
black-friday,regression,rmse,schema,32,20.0,0,22,149521,267,35,0.7006502290492733,0.7016640305519104,27.52952985104639,,
black-friday,regression,rmse,schema_ple,32,20.0,0,66,148993,256,25,0.6922165821663064,0.6954425573348999,24.706316102994606,,
black-friday,regression,rmse,numeric_identity,32,20.0,0,128,149073,242,10,0.691815603834776,0.6919981241226196,12.638353432994336,0;1;2;3,
black-friday,regression,rmse,cat_target,32,20.0,0,138,149281,240,25,0.6938913649732719,0.697143018245697,22.04284815606661,,
black-friday,regression,rmse,cat_residual,32,20.0,0,138,149281,240,24,0.6949791817271311,0.6984764337539673,21.67631370096933,,
black-friday,regression,rmse,multi_view,32,20.0,0,200,149367,227,10,0.6931785609260288,0.6943222284317017,12.929517540964298,0;1;2;3,
black-friday,regression,rmse,multi_view_residual,32,20.0,0,200,149367,227,10,0.6922193216588433,0.6936869025230408,12.887747728964314,0;1;2;3,
