dataset,task,metric,method,seed,input_features,parameters,best_epoch,val_score,test_score,train_seconds
adult,binclass,accuracy,schema,0,107,159489,11,0.8567480423767849,0.8531416989128432,5.8064551840070635
adult,binclass,accuracy,schema_ple,0,159,172801,8,0.8569015814524796,0.8570112400958172,5.72945228300523
adult,binclass,accuracy,multi_view,0,263,199425,14,0.8552126516198373,0.8558442356120631,7.517496162909083
adult,binclass,accuracy,schema,1,107,159489,5,0.8561338860740059,0.8575026104047663,4.152553417952731
adult,binclass,accuracy,schema_ple,1,159,172801,9,0.8562874251497006,0.8566427123641054,5.54892656498123
adult,binclass,accuracy,multi_view,1,264,199681,13,0.8541378780899739,0.8546158098396904,6.4585679119918495
adult,binclass,accuracy,schema,2,107,159489,12,0.8581298940580377,0.8541244395307414,5.431786327972077
adult,binclass,accuracy,schema_ple,2,159,172801,9,0.8565945033010901,0.8565812910754868,6.09073589509353
adult,binclass,accuracy,multi_view,2,263,199425,10,0.8538307999385844,0.8568883975185799,6.130632643937133
adult,binclass,accuracy,schema,3,107,159489,13,0.8572086596038692,0.8537559117990295,5.946320464950986
adult,binclass,accuracy,schema_ple,3,159,172801,9,0.8544449562413634,0.8555985504575886,6.506215960020199
adult,binclass,accuracy,multi_view,3,263,199425,15,0.8538307999385844,0.8537559117990295,7.838051685015671
adult,binclass,accuracy,schema,4,107,159489,9,0.855980346998311,0.8576254529820035,5.017434534034692
adult,binclass,accuracy,schema_ple,4,159,172801,13,0.855980346998311,0.8545543885510718,7.027983980020508
adult,binclass,accuracy,multi_view,4,262,199169,12,0.8533701827115001,0.8552914440144954,6.0355998140294105
diamond,regression,rmse,schema,0,26,138753,76,0.1378482723732004,0.14208145439624786,17.117726442986168
diamond,regression,rmse,schema_ple,0,115,161537,37,0.1334425968393802,0.1369420886039734,12.232253134949133
diamond,regression,rmse,multi_view,0,164,174081,38,0.13581393452138624,0.1416061669588089,10.955947951995768
diamond,regression,rmse,schema,1,26,138753,60,0.13900148106469423,0.14323991537094116,14.763708175974898
diamond,regression,rmse,schema_ple,1,115,161537,25,0.13486773640095517,0.14113502204418182,10.12671310605947
diamond,regression,rmse,multi_view,1,164,174081,28,0.13958186883524082,0.14470864832401276,10.273258522967808
diamond,regression,rmse,schema,2,26,138753,39,0.14095921385563326,0.14346405863761902,9.87824009207543
diamond,regression,rmse,schema_ple,2,115,161537,28,0.13510086672593946,0.14069898426532745,10.032845922978595
