git_commit,git_dirty,task_id,task_seed,seed,depth,model,split,training_seconds,functional_recovery,exact_program,operator_accuracy,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,0,2,OracleExact,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,0,2,BeamCompiled,iid,0.04865344590507448,1.0,0.0,1.0,0.0006268209683071291,0.0006896732794484015,0.9999998041663912,0.0004425309127663918,0.0012084822283456123
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,0,2,MLP,iid,2.021738547133282,-1.0,-1.0,-1.0,0.027723043253615742,0.046965445572303526,0.9990918505574361,0.0301355179574515,0.03387225456455552
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,0,2,OracleExact,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,0,2,BeamCompiled,ood,0.04865344590507448,1.0,0.0,1.0,0.02728644385933876,0.031429551509638186,0.9999999572911257,0.00020666125499805947,0.0002049543168208471
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,0,2,MLP,ood,2.021738547133282,-1.0,-1.0,-1.0,105.2472475473769,125.458233262652,0.31948125566551544,0.8249356001134177,0.7811098186837573
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,1,2,OracleExact,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,1,2,BeamCompiled,iid,0.04843308380804956,0.0,1.0,1.0,0.0012840290222584372,0.0017855351453100233,0.9999986873853932,0.001145693941140477,0.0018025697949911438
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,1,2,MLP,iid,0.9644051932264119,-1.0,-1.0,-1.0,0.024976698392777053,0.040595879300789214,0.9993214773774468,0.026048466798511923,0.031037358953325205
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,1,2,OracleExact,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,1,2,BeamCompiled,ood,0.04843308380804956,0.0,1.0,1.0,0.137839213013649,0.15878514374537744,0.9999989099121721,0.0010440727119953974,0.0010418476653451516
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,1,2,MLP,ood,0.9644051932264119,-1.0,-1.0,-1.0,105.32951917499304,125.6395280164754,0.3175130529128338,0.8261276820729143,0.7818666527924638
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,2,2,OracleExact,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,2,2,BeamCompiled,iid,0.046706792898476124,1.0,0.0,1.0,0.00046992699122938575,0.0007041463774966942,0.999999795860839,0.0004518176192123642,0.0005501540944956736
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,2,2,MLP,iid,0.7108163109514862,-1.0,-1.0,-1.0,0.022868841110096128,0.03721396704699239,0.9994298194950473,0.023878452733641187,0.02569482719314907
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,2,2,OracleExact,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,2,2,BeamCompiled,ood,0.046706792898476124,1.0,0.0,1.0,0.057860326021909714,0.06665455971965134,0.9999998079114468,0.0004382790813538028,0.000437675163609725
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,2,2,MLP,ood,0.7108163109514862,-1.0,-1.0,-1.0,102.21506032347679,122.5683293340169,0.3504713827381096,0.8059333826451728,0.7548088948323236
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,3,2,OracleExact,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,3,2,BeamCompiled,iid,0.04644047189503908,1.0,0.0,1.0,0.000755989433571358,0.001121655673122176,0.9999994820121878,0.0007197137015854103,0.0009037706610894328
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,3,2,MLP,iid,0.6979720208328217,-1.0,-1.0,-1.0,0.019052867054313083,0.033222170536381046,0.9995455810506246,0.021317104619891777,0.024030734641161178
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,3,2,OracleExact,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,3,2,BeamCompiled,ood,0.04644047189503908,1.0,0.0,1.0,0.09157037734985352,0.10548808571589918,0.9999995188853518,0.0006936242846069667,0.0006925241910795083
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,3,2,MLP,ood,0.6979720208328217,-1.0,-1.0,-1.0,104.77167809661478,125.06584246212387,0.32373146227848737,0.8223554813591947,0.7780689552454182
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,4,2,OracleExact,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202612200,202612200,4,2,BeamCompiled,iid,0.04653925006277859,1.0,0.0,1.0,0.0012970090083967989,0.0013555887065131945,0.9999992434174665,0.0008698175288288483,0.002594814946543055
