depth,model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,functional_recovery_rate,exact_program_rate,operator_accuracy_mean,training_seconds_mean
2,BeamCompiled,iid,6,30,0.0005630392794468219,0.0001258052993345967,0.00047602522085128776,0.0006552365011138675,0.9333333333333332,0.5333333333333333,1.0,0.046899286548917486
2,BeamCompiled,ood,6,30,0.00044414342127315013,0.0002457090978567188,0.0002840957035648752,0.0006271823519795956,0.9333333333333332,0.5333333333333333,1.0,0.046899286548917486
2,MLP,iid,6,30,0.02542452596767089,0.019673511582703963,0.013113689076599851,0.04124075742207395,-1.0,-1.0,-1.0,0.8907252401656782
2,MLP,ood,6,30,0.7205298708252296,0.2416876958379909,0.5699619153227605,0.9070787801102744,-1.0,-1.0,-1.0,0.8907252401656782
2,OracleExact,iid,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2,OracleExact,ood,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
4,BeamCompiled,iid,6,30,0.288106508992163,0.23782819233939573,0.11472405122421118,0.4614889667601147,0.3333333333333333,0.03333333333333333,0.5833333333333334,0.2336382411653176
4,BeamCompiled,ood,6,30,0.5980022645060193,0.5481472650415847,0.2051695471453762,1.0089870437635449,0.26666666666666666,0.03333333333333333,0.5833333333333334,0.2336382411653176
4,MLP,iid,6,30,0.03571545441263272,0.01996481402958166,0.021586603981901768,0.05067072014046653,-1.0,-1.0,-1.0,0.8907850368724516
4,MLP,ood,6,30,0.8688456058661981,0.3300295895002646,0.6429928124593342,1.1102115188979513,-1.0,-1.0,-1.0,0.8907850368724516
4,OracleExact,iid,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
4,OracleExact,ood,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
6,BeamCompiled,iid,6,30,0.25454543581458094,0.277689631153569,0.0573945595300528,0.4763084394141046,0.3333333333333333,0.0,0.688888888888889,0.4191323484837388
6,BeamCompiled,ood,6,30,0.7464611237935629,0.6092226051270248,0.2716995338187383,1.1747524869096895,0.3,0.0,0.688888888888889,0.4191323484837388
6,MLP,iid,6,30,0.05572847043587257,0.027038558938068984,0.03745648994683548,0.07697650542789476,-1.0,-1.0,-1.0,0.8947979026163618
6,MLP,ood,6,30,0.786883865965383,0.3692232848309643,0.5116940012057768,1.0382971041169686,-1.0,-1.0,-1.0,0.8947979026163618
6,OracleExact,iid,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
6,OracleExact,ood,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
8,BeamCompiled,iid,6,30,0.41461245311038514,0.20712519470765248,0.24122212590498524,0.5235216738024463,0.09999999999999999,0.0,0.7916666666666666,0.6139745881470541
8,BeamCompiled,ood,6,30,1.0269116965995304,0.5716501804887548,0.5725933726407603,1.3872271340548152,0.06666666666666667,0.0,0.7916666666666666,0.6139745881470541
8,MLP,iid,6,30,0.09058582107560727,0.04846203666124041,0.059049890609190366,0.1295260994300514,-1.0,-1.0,-1.0,0.8957428328615302
8,MLP,ood,6,30,1.0374823059837162,0.4851724204124244,0.6692010511751388,1.3641743685367311,-1.0,-1.0,-1.0,0.8957428328615302
8,OracleExact,iid,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
8,OracleExact,ood,6,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
