split_seed,numeric_seed,condition,method,auroc,log_loss
7,0,clean,structure_only,0.6203158237034334,0.6699031096814486
7,0,opaque_informative,structure_only,0.6269885738275518,0.6681215932594959
7,0,opaque_paraphrase,structure_only,0.6286782659605288,0.6668262578744123
7,0,negated_description,structure_only,0.6319458974631346,0.6656086432794026
7,0,ambiguous,structure_only,0.6207209666159461,0.6699873921858489
7,0,shuffled_description,structure_only,0.6201778895878312,0.6701820860732368
7,0,clean,tfidf,0.7711490007333222,0.6383363069987995
7,0,opaque_informative,tfidf,0.770893904239337,0.6391517682440716
7,0,opaque_paraphrase,tfidf,0.7732966732162924,0.6351759696489679
7,0,negated_description,tfidf,0.3666298953323241,1.3904776058432535
7,0,ambiguous,tfidf,0.5840720996623892,0.9914605546684927
7,0,shuffled_description,tfidf,0.3303999055074465,1.4565461942203266
7,0,clean,bge,0.809043395052294,0.5450055191481906
7,0,opaque_informative,bge,0.7395403333221896,0.643881074708947
7,0,opaque_paraphrase,bge,0.7747801126861183,0.5941563868211576
7,0,negated_description,bge,0.6319927894242534,0.7981473422427886
7,0,ambiguous,bge,0.5879582658065245,0.8630950358508003
7,0,shuffled_description,bge,0.37530266127933826,1.16138101758189
7,0,clean,e5,0.8059091233552502,0.547624470766988
7,0,opaque_informative,e5,0.7020064432317561,0.6974402944638227
7,0,opaque_paraphrase,e5,0.8471693919355654,0.4904990462788842
7,0,negated_description,e5,0.8445562613033398,0.4930589663577426
7,0,ambiguous,e5,0.5879582658065245,0.8630950358508003
7,0,shuffled_description,e5,0.4088646731192168,1.1121585235948843
7,0,clean,gte,0.7708055718766125,0.5989518555231613
7,0,opaque_informative,gte,0.7714675566361489,0.5991118146757841
7,0,opaque_paraphrase,gte,0.8130330430080505,0.5393817976759372
7,0,negated_description,gte,0.4187856484259225,1.1031141047756865
7,0,ambiguous,gte,0.5879582658065245,0.8630950358508003
7,0,shuffled_description,gte,0.34017014026566333,1.2116021460418334
7,0,clean,oracle,0.8805173511828652,0.43250504998804956
7,0,opaque_informative,oracle,0.8830167020013416,0.42908154336791293
7,0,opaque_paraphrase,oracle,0.8854984026713912,0.4251101731404631
7,0,negated_description,oracle,0.8807431452402659,0.43198147474895776
7,0,ambiguous,oracle,0.8792793977662514,0.43458037997788423
7,0,shuffled_description,oracle,0.8772659649278272,0.43815619799826283
7,1,clean,structure_only,0.6201407163013941,0.6791847088684605
7,1,opaque_informative,structure_only,0.6211328924837116,0.6795742030794311
7,1,opaque_paraphrase,structure_only,0.6479388966100257,0.6639667556755873
7,1,negated_description,structure_only,0.5268349032727722,0.7310675681550499
7,1,ambiguous,structure_only,0.6557800305457975,0.6594049408329543
7,1,shuffled_description,structure_only,0.6795226928067843,0.6453767699430728
7,1,clean,tfidf,0.7675684223153406,0.6572697339246256
7,1,opaque_informative,tfidf,0.7731548268081565,0.6454363207306453
7,1,opaque_paraphrase,tfidf,0.7719460265391809,0.6481597069019418
7,1,negated_description,tfidf,0.363598665071431,1.452264510834373
7,1,ambiguous,tfidf,0.4781558007140876,1.235814739225691
7,1,shuffled_description,tfidf,0.32941163781921046,1.5192811206293333
7,1,clean,bge,0.8050179506915492,0.5542409919591594
7,1,opaque_informative,bge,0.7357291083736139,0.6639407004191645
7,1,opaque_paraphrase,bge,0.7702436487815418,0.6106682748889187
7,1,negated_description,bge,0.6264417120261105,0.8279748437438105
7,1,ambiguous,bge,0.4843464683668998,1.0541490554588913
7,1,shuffled_description,bge,0.37586237926433097,1.2165657832558667
7,1,clean,e5,0.8046993876378725,0.5532996429248837
7,1,opaque_informative,e5,0.6970139036381604,0.7248965645956107
7,1,opaque_paraphrase,e5,0.8435749787156697,0.49382187494535446
7,1,negated_description,e5,0.8445428974607117,0.4934723622102394
7,1,ambiguous,e5,0.4843464683668998,1.0541490554588913
7,1,shuffled_description,e5,0.4109196320739191,1.162546186619544
7,1,clean,gte,0.7691613404704604,0.6093537142044557
7,1,opaque_informative,gte,0.7735555230698877,0.6032479643489316
7,1,opaque_paraphrase,gte,0.8047311829800806,0.5570158029212329
7,1,negated_description,gte,0.4095144649540955,1.1617210313790245
7,1,ambiguous,gte,0.4843464683668998,1.0541490554588913
7,1,shuffled_description,gte,0.33867519649172756,1.2719836499551016
7,1,clean,oracle,0.879217129002072,0.43498593780042827
7,1,opaque_informative,oracle,0.8781202205555271,0.43621762406585984
7,1,opaque_paraphrase,oracle,0.8783666323430941,0.4358615905053253
7,1,negated_description,oracle,0.8821483461273318,0.4303984714516403
7,1,ambiguous,oracle,0.884163292348656,0.42765566019389745
7,1,shuffled_description,oracle,0.8822101936705568,0.43056111548952786
7,2,clean,structure_only,0.6287532988813815,0.6667759569101442
7,2,opaque_informative,structure_only,0.6300115029347715,0.6666089823412128
7,2,opaque_paraphrase,structure_only,0.6308609860841489,0.66675173447803
7,2,negated_description,structure_only,0.6188815957376095,0.6707687845906127
7,2,ambiguous,structure_only,0.6231367009883843,0.6687563327493559
7,2,shuffled_description,structure_only,0.6274605039318706,0.6681964383780741
7,2,clean,tfidf,0.7716254024088086,0.6440759979972053
7,2,opaque_informative,tfidf,0.7649049264226536,0.6533769705399168
7,2,opaque_paraphrase,tfidf,0.7685290847085318,0.6479495194675958
7,2,negated_description,tfidf,0.36473116966050745,1.4293045017186734
7,2,ambiguous,tfidf,0.5484351839841919,1.0752924126771375
7,2,shuffled_description,tfidf,0.3271295919423713,1.4987546411475328
7,2,clean,bge,0.8112188806162431,0.5439091558522191
7,2,opaque_informative,bge,0.7295647149115585,0.6628881194136828
7,2,opaque_paraphrase,bge,0.7708621587313778,0.6040049503503994
7,2,negated_description,bge,0.6259844140238787,0.8215072220173018
7,2,ambiguous,bge,0.553335322538385,0.9320202576545206
7,2,shuffled_description,bge,0.3726630302570457,1.2001126366539359
7,2,clean,e5,0.8093498856588978,0.5470191640906122
7,2,opaque_informative,e5,0.6952250161785875,0.7138382820272963
7,2,opaque_paraphrase,e5,0.8429779565904245,0.49542980406722564
7,2,negated_description,e5,0.8394273580815628,0.5001758935585792
7,2,ambiguous,e5,0.553335322538385,0.9320202576545206
7,2,shuffled_description,e5,0.40962199215490597,1.1456621880251658
7,2,clean,gte,0.7717921817320375,0.6033802403872593
7,2,opaque_informative,gte,0.76949492036378,0.6040623061029938
7,2,opaque_paraphrase,gte,0.8089958679407123,0.545640264177988
7,2,negated_description,gte,0.4096025448084575,1.1463262300279218
7,2,ambiguous,gte,0.553335322538385,0.9320202576545206
7,2,shuffled_description,gte,0.336553075483899,1.2548893246488855
7,2,clean,oracle,0.8832326714564189,0.4289223236925079
7,2,opaque_informative,oracle,0.8756749894636953,0.4412350322315022
7,2,opaque_paraphrase,oracle,0.8810600998513318,0.43025991198538366
7,2,negated_description,oracle,0.8777030545638967,0.43683232513996534
7,2,ambiguous,oracle,0.8797913493482944,0.43346857659694293
7,2,shuffled_description,oracle,0.8837259159664874,0.4274326238977498
7,3,clean,structure_only,0.6524024019389725,0.6581071024552635
7,3,opaque_informative,structure_only,0.6069895673416636,0.6772990367660918
7,3,opaque_paraphrase,structure_only,0.6081024569300432,0.6757605981817087
7,3,negated_description,structure_only,0.6411912460169698,0.6629222556334452
7,3,ambiguous,structure_only,0.6236763214853445,0.6696376141314783
7,3,shuffled_description,structure_only,0.6432487415363143,0.6610104759888532
7,3,clean,tfidf,0.7701223431936632,0.6408616608321758
7,3,opaque_informative,tfidf,0.769311738932075,0.6421171055380333
7,3,opaque_paraphrase,tfidf,0.7691375805803393,0.6408298287376659
7,3,negated_description,tfidf,0.3619148676841056,1.4089722105047675
7,3,ambiguous,tfidf,0.5523773536025469,1.0464799138206011
7,3,shuffled_description,tfidf,0.32414433312846586,1.478560865369599
7,3,clean,bge,0.8070191385221593,0.5475916422391363
7,3,opaque_informative,bge,0.7343015479223803,0.6513846997974712
7,3,opaque_paraphrase,bge,0.7708257707043914,0.5990344540403615
7,3,negated_description,bge,0.6281520262354596,0.8044720555443616
7,3,ambiguous,bge,0.5571504995558101,0.9032186255203962
7,3,shuffled_description,bge,0.36820072805609416,1.1749463455454492
7,3,clean,e5,0.8113601956805222,0.5408256868959344
