domain,source_coefficient,destination_coefficient,absolute_asymmetry,within_domain_r2
aviation,0.5631837055761197,0.11279360881148268,0.45039009676463704,0.0010988261582824954
taxi,0.8245426957390023,0.827727003531766,0.0031843077927636854,0.2730030633265874
bike_share,0.5691106593682238,0.6989641416819006,0.12985348231367677,0.03967635057842911
