numeric_seed,condition,method,auroc,accuracy,log_loss
0,name_only,structure_only,0.594182243557231,0.5741975308641976,0.6864032922386302
0,name_only,tfidf,0.6942156167022958,0.6557098765432099,0.7884086227483816
0,name_only,bge,0.6991781497227869,0.659753086419753,0.671801803357741
0,name_only,e5,0.8100023763276613,0.7451543209876543,0.5459341676931381
0,name_only,gte,0.6601406616488166,0.6292901234567901,0.8524637477703088
0,name_only,bge_zero_shot,0.6802357234430142,0.6410802469135802,0.6462519612488522
0,name_only,e5_zero_shot,0.7046090704751476,0.658425925925926,0.63265136925177
0,name_only,gte_zero_shot,0.7098499772266693,0.6654938271604939,0.6313989533646637
0,name_only,oracle,0.8825612155860209,0.798641975308642,0.4295280525664085
0,clean,structure_only,0.631901386640811,0.5972839506172839,0.6682959685237485
0,clean,tfidf,0.8074469181848675,0.7411728395061729,0.5713300266369731
0,clean,bge,0.7743567237061098,0.7153395061728395,0.5803373266261821
0,clean,e5,0.8459704194598218,0.7696913580246914,0.4901132640497382
0,clean,gte,0.6948155300646198,0.6541666666666667,0.7853643691801178
0,clean,bge_zero_shot,0.7578401634944198,0.6939506172839506,0.6031956370392562
0,clean,e5_zero_shot,0.7308794703064301,0.6717901234567901,0.6173022426816155
0,clean,gte_zero_shot,0.8027250975232629,0.7344753086419753,0.5564624519697566
0,clean,oracle,0.8814243021426871,0.7970061728395061,0.4305230807128017
0,paraphrase,structure_only,0.5506877158791399,0.5385802469135802,0.706148070814511
0,paraphrase,tfidf,0.731710662696258,0.6842592592592592,0.7158621023548679
0,paraphrase,bge,0.7355674878460429,0.6862345679012346,0.6279475358260749
0,paraphrase,e5,0.7733549707505472,0.7145061728395061,0.599419086535515
0,paraphrase,gte,0.658119575167903,0.6287345679012346,0.8551456035727476
0,paraphrase,bge_zero_shot,0.7015639122742418,0.6516975308641976,0.6338477630380472
0,paraphrase,e5_zero_shot,0.72773661880227,0.6710185185185186,0.6195426897382211
0,paraphrase,gte_zero_shot,0.7713573898951537,0.7107407407407408,0.5817720233864021
0,paraphrase,oracle,0.8788011646319733,0.7943518518518519,0.43512419822044635
0,opaque_informative,structure_only,0.5925761441000397,0.5693518518518519,0.6862129320301414
0,opaque_informative,tfidf,0.7704810015550227,0.7113888888888888,0.6433862765900831
0,opaque_informative,bge,0.7360510196810774,0.684537037037037,0.6269199971396684
0,opaque_informative,e5,0.7719422046723842,0.7124382716049382,0.6020324242686583
0,opaque_informative,gte,0.7326867065564344,0.6826234567901235,0.7151877253064941
0,opaque_informative,bge_zero_shot,0.7297645022727108,0.6751851851851852,0.6185203780735088
0,opaque_informative,e5_zero_shot,0.6766730058958261,0.6365123456790124,0.6470292418001448
0,opaque_informative,gte_zero_shot,0.7718506027475243,0.7122222222222222,0.580822574073422
0,opaque_informative,oracle,0.8798509373003114,0.7937962962962963,0.43362892703398737
0,opaque_paraphrase,structure_only,0.5895011421270112,0.5658950617283951,0.6874639495041249
0,opaque_paraphrase,tfidf,0.658153272216035,0.6246604938271605,0.8568715479041107
0,opaque_paraphrase,bge,0.7706533781934568,0.7114197530864198,0.5850856028274568
0,opaque_paraphrase,e5,0.6978523630202527,0.6551851851851852,0.7118207171222727
0,opaque_paraphrase,gte,0.6965744001034911,0.6531481481481481,0.7828984753600658
0,opaque_paraphrase,bge_zero_shot,0.7556105742699775,0.693179012345679,0.6039652130128114
0,opaque_paraphrase,e5_zero_shot,0.7043310214537359,0.6554012345679012,0.6318059408725755
0,opaque_paraphrase,gte_zero_shot,0.8353569753005448,0.7570987654320988,0.5299713819100025
0,opaque_paraphrase,oracle,0.878660822619135,0.7939814814814815,0.4355796562952265
0,negated_description,structure_only,0.5296428561996719,0.5235493827160493,0.7156216421844915
0,negated_description,tfidf,0.4762490527609128,0.48907407407407405,1.2059672453909476
0,negated_description,bge,0.811782317208565,0.7456172839506173,0.5370012204257285
0,negated_description,e5,0.7011035546153884,0.6589814814814815,0.7089386031457464
0,negated_description,gte,0.5495835615889385,0.546604938271605,1.067853443972895
0,negated_description,bge_zero_shot,0.3608717259194533,0.40253086419753087,0.8192557711029025
0,negated_description,e5_zero_shot,0.3599514819386437,0.4014814814814815,0.8215787421860035
0,negated_description,gte_zero_shot,0.27772110091590685,0.338858024691358,0.9779006951849603
0,negated_description,oracle,0.8850866364854232,0.801358024691358,0.424635451803441
