condition,method,role_id,domain,source_name,destination_name,source_score,destination_score,correct_orientation,abstained_tie,margin
name_only,tfidf,6,aviation,origin_airport,destination_airport,0.4864338340052653,0.4726284233211128,1.0,False,0.013805410684152475
name_only,tfidf,7,taxi,pickup_zone,dropoff_zone,0.4615988882191893,0.47305020157519195,0.0,False,-0.011451313356002635
name_only,tfidf,8,bike_share,start_station,end_station,0.47694235223137205,0.5049926358432343,0.0,False,-0.028050283611862237
name_only,bge,6,aviation,origin_airport,destination_airport,0.5151005963880808,0.525086100963833,0.0,False,-0.009985504575752202
name_only,bge,7,taxi,pickup_zone,dropoff_zone,0.5022613958647721,0.5183592344407784,0.0,False,-0.016097838576006218
name_only,bge,8,bike_share,start_station,end_station,0.49616195744604535,0.50286068861634,0.0,False,-0.006698731170294681
name_only,bge_zero_shot,6,aviation,origin_airport,destination_airport,-0.023182392120361328,-0.05771762132644653,1.0,False,0.034535229206085205
name_only,bge_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.008827030658721924,0.0010778307914733887,0.0,False,-0.009904861450195312
name_only,bge_zero_shot,8,bike_share,start_station,end_station,0.04466259479522705,-0.0053972601890563965,1.0,False,0.05005985498428345
name_only,e5,6,aviation,origin_airport,destination_airport,0.5182133663402113,0.5202942535383681,0.0,False,-0.0020808871981568
name_only,e5,7,taxi,pickup_zone,dropoff_zone,0.5069041699701916,0.5169609654741391,0.0,False,-0.010056795503947447
name_only,e5,8,bike_share,start_station,end_station,0.5121837377518168,0.5081465405991661,1.0,False,0.004037197152650718
name_only,e5_zero_shot,6,aviation,origin_airport,destination_airport,-0.01622462272644043,-0.03316855430603027,1.0,False,0.016943931579589844
name_only,e5_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.015046775341033936,-0.018066883087158203,1.0,False,0.0030201077461242676
name_only,e5_zero_shot,8,bike_share,start_station,end_station,0.015594840049743652,-0.001987755298614502,1.0,False,0.017582595348358154
name_only,gte,6,aviation,origin_airport,destination_airport,0.5099563358505671,0.5179289368086484,0.0,False,-0.007972600958081277
name_only,gte,7,taxi,pickup_zone,dropoff_zone,0.49459119163912885,0.5032313088469254,0.0,False,-0.008640117207796505
name_only,gte,8,bike_share,start_station,end_station,0.5000623279339099,0.5045731617519139,0.0,False,-0.00451083381800399
name_only,gte_zero_shot,6,aviation,origin_airport,destination_airport,0.006079435348510742,-0.05630919337272644,1.0,False,0.06238862872123718
name_only,gte_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.03169810771942139,-0.03708586096763611,1.0,False,0.005387753248214722
name_only,gte_zero_shot,8,bike_share,start_station,end_station,0.02096003293991089,0.0041512250900268555,1.0,False,0.016808807849884033
name_only,oracle,6,aviation,origin_airport,destination_airport,1.0,0.0,1.0,False,1.0
name_only,oracle,7,taxi,pickup_zone,dropoff_zone,1.0,0.0,1.0,False,1.0
name_only,oracle,8,bike_share,start_station,end_station,1.0,0.0,1.0,False,1.0
clean,tfidf,6,aviation,origin_airport,destination_airport,0.3685932713613025,0.3005169656962974,1.0,False,0.06807630566500511
clean,tfidf,7,taxi,pickup_zone,dropoff_zone,0.25125329092562804,0.27699198078567266,0.0,False,-0.025738689860044628
clean,tfidf,8,bike_share,start_station,end_station,0.32766305696377984,0.30126196860427273,1.0,False,0.026401088359507108
clean,bge,6,aviation,origin_airport,destination_airport,0.5028834516341626,0.48763282521945295,1.0,False,0.015250626414709645
clean,bge,7,taxi,pickup_zone,dropoff_zone,0.45663758616267985,0.49126854194985387,0.0,False,-0.03463095578717401
clean,bge,8,bike_share,start_station,end_station,0.4636149942587279,0.4781507878686534,0.0,False,-0.014535793609925518
clean,bge_zero_shot,6,aviation,origin_airport,destination_airport,-0.05606269836425781,-0.07853013277053833,1.0,False,0.022467434406280518
clean,bge_zero_shot,7,taxi,pickup_zone,dropoff_zone,-0.019627511501312256,-0.030198633670806885,1.0,False,0.010571122169494629
clean,bge_zero_shot,8,bike_share,start_station,end_station,0.011925339698791504,-0.031624794006347656,1.0,False,0.04355013370513916
