layout_seed,held_domain,method,rmse,r2
0,aviation,structure_only,0.992475051866784,-0.001252657902191201
0,aviation,tfidf,0.9924947158592358,-0.001292334103051962
0,aviation,bge,0.9925070998545552,-0.0013173217966730988
0,aviation,e5,0.9924947158592358,-0.001292334103051962
0,aviation,gte,0.9925070998545552,-0.0013173217966730988
0,aviation,oracle,0.9925101270716006,-0.0013234299836826224
0,taxi,structure_only,0.850522030390034,0.2574987180997439
0,taxi,tfidf,0.8505775843575939,0.25740171828600356
0,taxi,bge,0.8539509928067451,0.25149971715569175
0,taxi,e5,0.8505775843575939,0.25740171828600356
0,taxi,gte,0.8539509928067451,0.25149971715569175
0,taxi,oracle,0.8516802630297798,0.2554750790839774
0,bike_share,structure_only,0.9817171686180373,0.037532796457213524
0,bike_share,tfidf,0.9818483271560804,0.037275605836554315
0,bike_share,bge,0.9818058544290412,0.03735889496559397
0,bike_share,e5,0.9818483271560804,0.037275605836554315
0,bike_share,gte,0.9818058544290412,0.03735889496559397
0,bike_share,oracle,0.9818539539929134,0.037264571324494455
1,aviation,structure_only,0.9925101270716006,-0.0013234299836826224
1,aviation,tfidf,0.9924947158592358,-0.001292334103051962
1,aviation,bge,0.9925070998545552,-0.0013173217966730988
1,aviation,e5,0.9924947158592358,-0.001292334103051962
1,aviation,gte,0.9925070998545552,-0.0013173217966730988
1,aviation,oracle,0.9925101270716006,-0.0013234299836826224
1,taxi,structure_only,0.8516802630297798,0.2554750790839774
1,taxi,tfidf,0.8505775843575939,0.25740171828600356
1,taxi,bge,0.8539509928067451,0.25149971715569175
1,taxi,e5,0.8505775843575939,0.25740171828600356
1,taxi,gte,0.8539509928067451,0.25149971715569175
1,taxi,oracle,0.8516802630297798,0.2554750790839774
1,bike_share,structure_only,0.9818539539929134,0.037264571324494455
1,bike_share,tfidf,0.9818483271560804,0.037275605836554315
1,bike_share,bge,0.9818058544290412,0.03735889496559397
1,bike_share,e5,0.9818483271560804,0.037275605836554315
1,bike_share,gte,0.9818058544290412,0.03735889496559397
1,bike_share,oracle,0.9818539539929134,0.037264571324494455
2,aviation,structure_only,0.9925070998545552,-0.0013173217966730988
2,aviation,tfidf,0.9924947158592358,-0.001292334103051962
2,aviation,bge,0.9925070998545552,-0.0013173217966730988
2,aviation,e5,0.9924947158592358,-0.001292334103051962
2,aviation,gte,0.9925070998545552,-0.0013173217966730988
2,aviation,oracle,0.9925101270716006,-0.0013234299836826224
2,taxi,structure_only,0.8539509928067451,0.25149971715569175
2,taxi,tfidf,0.8505775843575939,0.25740171828600356
2,taxi,bge,0.8539509928067451,0.25149971715569175
2,taxi,e5,0.8505775843575939,0.25740171828600356
2,taxi,gte,0.8539509928067451,0.25149971715569175
2,taxi,oracle,0.8516802630297798,0.2554750790839774
2,bike_share,structure_only,0.9818058544290412,0.03735889496559397
2,bike_share,tfidf,0.9818483271560804,0.037275605836554315
2,bike_share,bge,0.9818058544290412,0.03735889496559397
2,bike_share,e5,0.9818483271560804,0.037275605836554315
2,bike_share,gte,0.9818058544290412,0.03735889496559397
2,bike_share,oracle,0.9818539539929134,0.037264571324494455
3,aviation,structure_only,0.9925101270716006,-0.0013234299836826224
3,aviation,tfidf,0.9924947158592358,-0.001292334103051962
3,aviation,bge,0.9925070998545552,-0.0013173217966730988
3,aviation,e5,0.9924947158592358,-0.001292334103051962
3,aviation,gte,0.9925070998545552,-0.0013173217966730988
3,aviation,oracle,0.9925101270716006,-0.0013234299836826224
3,taxi,structure_only,0.8516802630297798,0.2554750790839774
3,taxi,tfidf,0.8505775843575939,0.25740171828600356
3,taxi,bge,0.8539509928067451,0.25149971715569175
3,taxi,e5,0.8505775843575939,0.25740171828600356
3,taxi,gte,0.8539509928067451,0.25149971715569175
3,taxi,oracle,0.8516802630297798,0.2554750790839774
3,bike_share,structure_only,0.9818539539929134,0.037264571324494455
3,bike_share,tfidf,0.9818483271560804,0.037275605836554315
3,bike_share,bge,0.9818058544290412,0.03735889496559397
3,bike_share,e5,0.9818483271560804,0.037275605836554315
3,bike_share,gte,0.9818058544290412,0.03735889496559397
3,bike_share,oracle,0.9818539539929134,0.037264571324494455
4,aviation,structure_only,0.9925070998545552,-0.0013173217966730988
4,aviation,tfidf,0.9924947158592358,-0.001292334103051962
4,aviation,bge,0.9925070998545552,-0.0013173217966730988
4,aviation,e5,0.9924947158592358,-0.001292334103051962
4,aviation,gte,0.9925070998545552,-0.0013173217966730988
4,aviation,oracle,0.9925101270716006,-0.0013234299836826224
4,taxi,structure_only,0.8539509928067451,0.25149971715569175
4,taxi,tfidf,0.8505775843575939,0.25740171828600356
4,taxi,bge,0.8539509928067451,0.25149971715569175
4,taxi,e5,0.8505775843575939,0.25740171828600356
4,taxi,gte,0.8539509928067451,0.25149971715569175
4,taxi,oracle,0.8516802630297798,0.2554750790839774
4,bike_share,structure_only,0.9818058544290412,0.03735889496559397
4,bike_share,tfidf,0.9818483271560804,0.037275605836554315
4,bike_share,bge,0.9818058544290412,0.03735889496559397
4,bike_share,e5,0.9818483271560804,0.037275605836554315
4,bike_share,gte,0.9818058544290412,0.03735889496559397
4,bike_share,oracle,0.9818539539929134,0.037264571324494455
5,aviation,structure_only,0.992475051866784,-0.001252657902191201
5,aviation,tfidf,0.9924947158592358,-0.001292334103051962
5,aviation,bge,0.9925070998545552,-0.0013173217966730988
5,aviation,e5,0.9924947158592358,-0.001292334103051962
5,aviation,gte,0.9925070998545552,-0.0013173217966730988
5,aviation,oracle,0.9925101270716006,-0.0013234299836826224
5,taxi,structure_only,0.850522030390034,0.2574987180997439
5,taxi,tfidf,0.8505775843575939,0.25740171828600356
5,taxi,bge,0.8539509928067451,0.25149971715569175
5,taxi,e5,0.8505775843575939,0.25740171828600356
5,taxi,gte,0.8539509928067451,0.25149971715569175
5,taxi,oracle,0.8516802630297798,0.2554750790839774
5,bike_share,structure_only,0.9817171686180373,0.037532796457213524
5,bike_share,tfidf,0.9818483271560804,0.037275605836554315
5,bike_share,bge,0.9818058544290412,0.03735889496559397
5,bike_share,e5,0.9818483271560804,0.037275605836554315
5,bike_share,gte,0.9818058544290412,0.03735889496559397
5,bike_share,oracle,0.9818539539929134,0.037264571324494455
6,aviation,structure_only,0.9925101270716006,-0.0013234299836826224
