condition,method,role_id,domain,source_name,destination_name,source_score,destination_score,correct_orientation,abstained_tie,margin
name_only,tfidf,0,medicine,doctor,patient,0.5456232866931482,0.4911390599574755,1.0,False,0.054484226735672714
name_only,tfidf,1,lending,lender,borrower,0.5732038752049017,0.5107028213263818,1.0,False,0.0625010538785199
name_only,tfidf,2,education,teacher,student,0.5078348579142468,0.4581403074207399,1.0,False,0.04969455049350685
name_only,tfidf,3,employment,employer,employee,0.5603528448359573,0.43287279387317157,1.0,False,0.1274800509627857
name_only,tfidf,4,family,parent,child,0.4772885816356728,0.5257805922722566,0.0,False,-0.048492010636583815
name_only,tfidf,5,mentoring,mentor,mentee,0.5322117677589684,0.45382907586309557,1.0,False,0.07838269189587282
name_only,tfidf,6,aviation,origin_airport,destination_airport,0.4864338340052653,0.4726284233211128,1.0,False,0.013805410684152475
name_only,tfidf,7,taxi,pickup_zone,dropoff_zone,0.4615988882191893,0.47305020157519195,0.0,False,-0.011451313356002635
name_only,tfidf,8,bike_share,start_station,end_station,0.47694235223137205,0.5049926358432343,0.0,False,-0.028050283611862237
name_only,tfidf,9,cybersecurity,attacker,target,0.5232413217624671,0.4953502666635827,1.0,False,0.0278910550988844
name_only,tfidf,10,sports,coach,athlete,0.5374662616875978,0.5068176435423171,1.0,False,0.030648618145280748
name_only,tfidf,11,research,investigator,participant,0.5240743287657199,0.46263707834021117,1.0,False,0.06143725042550874
name_only,tfidf,12,law,prosecutor,defendant,0.5726686400823228,0.47478810518366626,1.0,False,0.0978805348986565
name_only,tfidf,13,prescriptions,prescriber,recipient,0.4155764316832298,0.43206751859060133,0.0,False,-0.016491086907371555
name_only,tfidf,14,supply_chain,manufacturer,retailer,0.5571589852602963,0.5336229942363915,1.0,False,0.0235359910239048
name_only,tfidf,15,networking,server,client,0.4858099694470989,0.48281531439550474,1.0,False,0.002994655051594186
name_only,tfidf,16,navigation,departure_port,arrival_port,0.48868916587210526,0.49521549442655594,0.0,False,-0.006526328554450678
name_only,tfidf,17,legal_transfer,grantor,grantee,0.5403855662788541,0.4710801502544723,1.0,False,0.06930541602438184
name_only,bge,0,medicine,doctor,patient,0.527293697819873,0.4909501983183909,1.0,False,0.036343499501482135
name_only,bge,1,lending,lender,borrower,0.5191142480020604,0.5027690498211649,1.0,False,0.016345198180895526
