condition,method,auroc_mean,log_loss_mean,auroc_std,log_loss_std,n
ambiguous,bge,0.5509406696182226,0.9621810521704341,0.07041407849683394,0.13579648040138492,40
ambiguous,e5,0.5509238883551857,0.9629825773995915,0.0701961863401991,0.1320277227150863,40
ambiguous,gte,0.5483888080995761,1.0341090953637715,0.07083961240541936,0.1451898296552895,40
ambiguous,oracle,0.8811902004544043,0.43145822520768257,0.0020778599564553156,0.0034326099201078646,40
ambiguous,structure_only,0.619004694834061,0.678402321860244,0.04245804831364323,0.0408456638380252,40
ambiguous,tfidf,0.547062543016213,1.0715403337736003,0.07111678849056267,0.1403028484775692,40
clean,bge,0.7729824369925485,0.6044502223686454,0.040492547573761244,0.05487832680508459,40
clean,e5,0.795386392171298,0.5737856116965283,0.04070101676588585,0.06325244442416214,40
clean,gte,0.7948788064058678,0.5866649736369973,0.017517243032860473,0.024725323382825157,40
clean,oracle,0.8816830575454601,0.43077471789360766,0.002572067859991813,0.004139246151681501,40
clean,structure_only,0.6149037773965873,0.6791909424910876,0.03471757678190237,0.02822983474350767,40
clean,tfidf,0.8081679862603103,0.5710670446982121,0.04180856694611985,0.07960716746328066,40
negated_description,bge,0.7813973452786265,0.5942653502533182,0.07276798414340241,0.11192128500723232,40
negated_description,e5,0.7125858351094008,0.7063047418950249,0.08554364077008579,0.13517059004309362,40
negated_description,gte,0.5068658835570293,1.095509162238305,0.14476303356112286,0.2443151567827533,40
negated_description,oracle,0.8812928651548292,0.43131087781247796,0.0019924672895668006,0.0033552750830383696,40
negated_description,structure_only,0.6154045949985877,0.6796071217106475,0.0459789227027133,0.032626680202899855,40
negated_description,tfidf,0.3902799874220753,1.369453022592121,0.07236237583178823,0.13894325548733594,40
opaque_informative,bge,0.7586474285869667,0.6271130743831678,0.044991871576780564,0.06575900968478036,40
opaque_informative,e5,0.7630771468840937,0.6244167204293806,0.05135707280412513,0.0799316681854345,40
opaque_informative,gte,0.7674942110032729,0.6397579828775845,0.03950253524373774,0.08065569065482957,40
opaque_informative,oracle,0.8813174048836532,0.4313613980141434,0.002047176514683089,0.0033000502016403348,40
opaque_informative,structure_only,0.6121890482490286,0.680765099778087,0.04230915684429008,0.030104104216571597,40
opaque_informative,tfidf,0.7851148243959145,0.6153062726191602,0.026267745864593992,0.05021894970020758,40
opaque_paraphrase,bge,0.7353459154436124,0.6675639800193727,0.049974830421673534,0.08623682003061175,40
opaque_paraphrase,e5,0.8035498045542043,0.5639947352872048,0.034565958920742434,0.06304559914660099,40
opaque_paraphrase,gte,0.7485141116078338,0.671898455202031,0.06136261299646306,0.10852433406972861,40
opaque_paraphrase,oracle,0.8811723109363025,0.43160639645860155,0.0022667079552844984,0.0037057187359840916,40
opaque_paraphrase,structure_only,0.6162558974705441,0.6786014897971638,0.03905239181639611,0.03162809471628076,40
opaque_paraphrase,tfidf,0.7982936624983249,0.5907205472442176,0.04043400351313505,0.07872089812800621,40
shuffled_description,bge,0.34912405914332495,1.285444826367125,0.047308833817623304,0.15902488223460437,40
shuffled_description,e5,0.3447564427256445,1.2914286499072032,0.0514536773004138,0.1453005845501449,40
shuffled_description,gte,0.33606878281040603,1.4146691463570213,0.038806440476310024,0.11738897650750682,40
shuffled_description,oracle,0.8809646974516767,0.43188904434298775,0.0021595652637650667,0.0036028400640186163,40
shuffled_description,structure_only,0.6088889180566365,0.6814703220484916,0.03848780264400775,0.026636269140733023,40
shuffled_description,tfidf,0.31541549155813037,1.5121473332210582,0.02626560230907906,0.055740493251191986,40
