condition,method,correct_orientation_mean,margin_mean,correct_orientation_std,margin_std,n
ambiguous,bge,0.5,0.0,0.0,0.0,144
ambiguous,e5,0.5,0.0,0.0,0.0,144
ambiguous,gte,0.5,0.0,0.0,0.0,144
ambiguous,tfidf,0.5,0.0,0.0,0.0,144
clean,bge,0.8333333333333334,0.023096953227826268,0.37397879600338296,0.021759787795307853,144
clean,e5,0.8680555555555556,0.0160286813139364,0.33961162058453304,0.014395787021247644,144
clean,gte,0.8680555555555556,0.02669214764201635,0.3396116205845331,0.028881075076880577,144
clean,tfidf,0.8888888888888888,0.11325138158374272,0.3153666111941774,0.09730310068869234,144
name_only,bge,0.7847222222222222,0.010098940069604127,0.4124495212927366,0.01194219123654247,144
name_only,e5,0.8680555555555556,0.009365740590010253,0.3396116205845331,0.008383532995599921,144
name_only,gte,0.8125,0.010658299580611855,0.39167472590032026,0.01423369651935784,144
name_only,tfidf,0.7708333333333334,0.0424066094020094,0.4217636961434867,0.05559061369543259,144
negated_description,bge,0.8472222222222222,0.01072545254116375,0.3610289189827879,0.010857481209918859,144
negated_description,e5,0.7430555555555556,0.004191383673160363,0.4384736363330522,0.008214513307768822,144
negated_description,gte,0.4305555555555556,-0.0063727879264956645,0.49688227669338003,0.020763925345740532,144
negated_description,tfidf,0.2569444444444444,-0.05398756775605006,0.43847363633305236,0.06770245442575547,144
opaque_informative,bge,0.8125,0.010975568762311327,0.3916747259003201,0.012324873925377374,144
opaque_informative,e5,0.8194444444444444,0.008078348198423308,0.38599209705627263,0.009726477811852423,144
opaque_informative,gte,0.8263888888888888,0.01748853493586238,0.3800968060554863,0.023916240162486654,144
opaque_informative,tfidf,0.8541666666666666,0.1069655671599303,0.35417095157150164,0.0905014070708881,144
opaque_paraphrase,bge,0.7777777777777778,0.012456058141927198,0.417190812516496,0.015522927419130386,144
opaque_paraphrase,e5,0.8819444444444444,0.010406369663258325,0.3238001580397118,0.009789423634249762,144
opaque_paraphrase,gte,0.7986111111111112,0.018381193900659825,0.4024376963656604,0.020286286983721057,144
opaque_paraphrase,tfidf,0.875,0.09500770954826301,0.3318732591515323,0.08035814569609932,144
paraphrase,bge,0.9236111111111112,0.021239745950761446,0.26654644726015114,0.014999779698842674,144
paraphrase,e5,0.9375,0.015302975980762364,0.24290635336173597,0.01020228210068278,144
paraphrase,gte,0.8958333333333334,0.026570327363992563,0.3065428705230827,0.01985234301638678,144
paraphrase,tfidf,0.9166666666666666,0.12239637378789395,0.2773500981126146,0.09099599389618694,144
shuffled_description,bge,0.1875,-0.010975568762311327,0.39167472590032015,0.012324873925377374,144
shuffled_description,e5,0.18055555555555555,-0.008078348198423308,0.3859920970562726,0.009726477811852423,144
shuffled_description,gte,0.1736111111111111,-0.01748853493586238,0.38009680605548624,0.023916240162486654,144
shuffled_description,tfidf,0.14583333333333334,-0.1069655671599303,0.35417095157150164,0.0905014070708881,144
