model,world,cell,rho,effect_gap,n_train,predictive_rmse_mean,predictive_r2_mean,causal_absolute_error_mean,plugin_ate_mean,mean_80_interval_width_mean,predictive_rmse_std,predictive_r2_std,causal_absolute_error_std,plugin_ate_std,mean_80_interval_width_std,n
ridge,high_effect,0,0.25,0.6,128,0.9860345513333333,0.0290403256045661,0.3136054452508688,0.23639455474913118,,0.0178552325542396,0.023754891154235066,0.08603394845605195,0.08603394845605196,,30
ridge,high_effect,0,0.25,0.6,512,0.9762247143333334,0.05183083373548826,0.3134332795937856,0.23656672040621438,,0.017213263712079426,0.01343572421790305,0.03607789788179429,0.03607789788179428,,30
ridge,high_effect,0,0.25,0.6,2048,0.974608563,0.05877772396799281,0.29656498283147814,0.25343501716852185,,0.014471097170196272,0.007149290329326942,0.024025389123840172,0.024025389123840172,,30
ridge,high_effect,1,0.25,1.0,128,0.9939249223333333,0.013365300942787962,0.5001437394569318,0.24985626054306823,,0.016362252880096916,0.024493599723751553,0.08844154551664424,0.08844154551664422,,30
ridge,high_effect,1,0.25,1.0,512,0.9717853813333334,0.04751256450476141,0.49630460093418755,0.2536953990658124,,0.01758856500515541,0.012466586666777899,0.05066383912068782,0.05066383912068783,,30
ridge,high_effect,1,0.25,1.0,2048,0.9653616073333333,0.05967548758371458,0.5031713803609212,0.24682861963907873,,0.013921722796027314,0.009119074170970354,0.02278125279421123,0.022781252794211216,,30
ridge,high_effect,2,0.35,0.8,128,0.953286304,0.08933554352750847,0.40673922598361967,0.34326077401638033,,0.016423182324938203,0.02580917396701612,0.06956203066152042,0.06956203066152042,,30
ridge,high_effect,2,0.35,0.8,512,0.9432673076666667,0.1155717955363847,0.39768126904964446,0.35231873095035554,,0.014017525492908118,0.01649455120401294,0.03391325923983504,0.03391325923983503,,30
ridge,high_effect,2,0.35,0.8,2048,0.936750538,0.11836244407579209,0.39119866391023,0.35880133608977,,0.01484020450653994,0.016119618275999406,0.019888602073847086,0.019888602073847104,,30
ridge,high_effect,3,0.35,1.2,128,0.957197807,0.08368777627018219,0.5936356281240781,0.3563643718759219,,0.020388293269038425,0.02749713562944848,0.07740803358338665,0.07740803358338665,,30
ridge,high_effect,3,0.35,1.2,512,0.9441086783333332,0.11142645766992584,0.6081095943848293,0.3418904056151708,,0.013237994596258662,0.013613716729434924,0.0394303560081176,0.039430356008117576,,30
