held_domain,method,rmse_mean,r2_mean,rmse_std,r2_std,n
aviation,bge,0.9925070998545552,-0.0013173217966729997,0.0,0.0,30
aviation,e5,0.9924947158592358,-0.0012923341030519,0.0,0.0,30
aviation,gte,0.9925070998545552,-0.0013173217966729997,0.0,0.0,30
aviation,oracle,0.9925101270716006,-0.0013234299836826,0.0,0.0,30
aviation,structure_only,0.9924989106376764,-0.0013007982245019033,1.355053222318286e-05,2.7341244352794615e-05,30
aviation,tfidf,0.9924947158592358,-0.0012923341030519,0.0,0.0,30
bike_share,bge,0.9818058544290412,0.0373588949655939,0.0,0.0,30
bike_share,e5,0.9818483271560804,0.0372756058365543,0.0,0.0,30
bike_share,gte,0.9818058544290412,0.0373588949655939,0.0,0.0,30
bike_share,oracle,0.9818539539929134,0.03726457132449441,0.0,0.0,30
bike_share,structure_only,0.9818156640765693,0.03733965579873876,5.329842437619507e-05,0.00010451398216521693,30
bike_share,tfidf,0.9818483271560804,0.0372756058365543,0.0,0.0,30
taxi,bge,0.8539509928067451,0.2514997171556917,0.0,0.0,30
taxi,e5,0.8505775843575939,0.2574017182860035,0.0,0.0,30
taxi,gte,0.8539509928067451,0.2514997171556917,0.0,0.0,30
taxi,oracle,0.8516802630297798,0.2554750790839774,0.0,0.0,30
taxi,structure_only,0.851645470767047,0.25553428364861297,0.0012792951472411986,0.0022381497812136272,30
taxi,tfidf,0.8505775843575939,0.2574017182860035,0.0,0.0,30
