model,world,predictive_rmse_mean,predictive_r2_mean,causal_absolute_error_mean,plugin_ate_mean,mean_80_interval_width_mean,runtime_seconds_mean,predictive_rmse_std,predictive_r2_std,causal_absolute_error_std,plugin_ate_std,mean_80_interval_width_std,runtime_seconds_std,n
ridge,high_effect,0.9320707540185185,0.12896963185048266,0.43449651019440755,0.36550348980559244,,0.005845644738939024,0.047144498818822884,0.08422387527053475,0.12025133878375821,0.1167875545592823,,0.005354577020534448,540
ridge,low_effect,0.9333781365740741,0.12602927639117378,0.4331002876852398,0.3664336210185731,,0.005451511453699133,0.04786182210841719,0.0831654258708876,0.12469072298966874,0.11217244798773926,,0.005071118330474151,540
tabpfn,high_effect,0.9296247527962963,0.13357699274127993,0.44388083175307624,0.35654927452474283,2.2657665890676,1.0886646813816494,0.04722215926427058,0.08352654837307917,0.1415972568791421,0.1489880134653675,0.15312304819011288,0.27815906011391345,540
tabpfn,low_effect,0.9306581193888889,0.13112896751198086,0.41962715176934445,0.3529604851026778,2.264910230813203,1.0978604868606285,0.047894165386052526,0.0826159879108219,0.1405672368873247,0.1399276249641602,0.1358823086330256,0.26907151121250855,540
