model,world,cell_id,q,p,n_train,auroc_mean,mean_confidence_mean,causal_absolute_error_mean,plugin_ate_mean,paired_observational_summary_distance_mean,auroc_std,mean_confidence_std,causal_absolute_error_std,plugin_ate_std,paired_observational_summary_distance_std,n
logistic,hidden_confounding,0,0.0,0.05,128,0.9489261214261127,0.928638478577898,0.858270742626504,0.858270742626504,0.31971342458328056,0.005085035815219055,0.017368131903083794,0.0345335921261943,0.0345335921261943,0.09478096364949458,45
logistic,hidden_confounding,0,0.0,0.05,512,0.9496317617158432,0.9449687260696562,0.8912512814341944,0.8912512814341944,0.1527449686341427,0.005135542660273871,0.008112264310729067,0.016162475342745848,0.016162475342745848,0.03844697759158305,45
logistic,hidden_confounding,0,0.0,0.05,2048,0.9497218368178025,0.9479396604611194,0.897218959506553,0.897218959506553,0.07786726083084973,0.004960478124302575,0.004116135948163191,0.008115177815223867,0.008115177815223867,0.016923192263056632,45
logistic,hidden_confounding,1,0.05,0.05,128,0.9046789279309083,0.8862746531327299,0.7738394698785426,0.7738394698785426,0.353862438387714,0.007989210689712681,0.023093309631733394,0.04661678406395573,0.04661678406395573,0.08347777959791498,45
logistic,hidden_confounding,1,0.05,0.05,512,0.9039788912812761,0.8983338590389639,0.7980676456865399,0.7980676456865399,0.15594917898796132,0.008223867164423295,0.011775152611877272,0.023535722971177907,0.023535722971177907,0.03539699368719709,45
logistic,hidden_confounding,1,0.05,0.05,2048,0.9044522737092465,0.9034969896904187,0.8083512632470341,0.8083512632470341,0.07718181975461627,0.007490180780809436,0.006142319528982578,0.01237117114393416,0.01237117114393416,0.016152799130723226,45
logistic,hidden_confounding,2,0.1,0.1,128,0.8197846570391463,0.8059289734671817,0.6119847818666838,0.6119847818666838,0.3259495319548191,0.010514753040623477,0.028665672682718,0.05747590767683842,0.05747590767683842,0.07115725239623133,45
logistic,hidden_confounding,2,0.1,0.1,512,0.8200390082141222,0.8190649467937825,0.6389918730943503,0.6389918730943503,0.16045613340793513,0.009192639269069432,0.01700798994813947,0.0337790835378022,0.0337790835378022,0.039718296893161135,45
logistic,hidden_confounding,2,0.1,0.1,2048,0.8185144053711486,0.8184796507517422,0.6376082165590586,0.6376082165590586,0.08033233867335655,0.010282482621717486,0.009107872309847706,0.018224191649187715,0.018224191649187715,0.018933820161569918,45
logistic,hidden_confounding,3,0.15,0.05,128,0.8152492678082914,0.8033489189198603,0.6060110767290544,0.6060110767290544,0.3097097982187879,0.010207326687197194,0.02868254389565293,0.05800762763755189,0.05800762763755189,0.08408228105432196,45
logistic,hidden_confounding,3,0.15,0.05,512,0.8149020805893272,0.808968135974512,0.6187883407744726,0.6187883407744726,0.16757628949609463,0.009597529974919677,0.016367129971094203,0.03256950696910124,0.03256950696910124,0.040374894905469694,45
logistic,hidden_confounding,3,0.15,0.05,2048,0.815272043494487,0.8152787849750811,0.631218629109079,0.631218629109079,0.08112504314667722,0.008019669087292956,0.00951907179867917,0.019006518478613826,0.019006518478613826,0.018370802588676943,45
logistic,hidden_confounding,4,0.2,0.15,128,0.705331868845218,0.6993201657732075,0.39211590410355884,0.39211590410355884,0.32204015700172506,0.011410237635631457,0.03723929433174075,0.07748736056189535,0.07748736056189535,0.07716915578947874,45
logistic,hidden_confounding,4,0.2,0.15,512,0.7089822644044024,0.7066668922125484,0.41352757823770947,0.41352757823770947,0.17726590132543424,0.009453206682260495,0.018887610802718852,0.03859659742331866,0.03859659742331866,0.04317877464578446,45
logistic,hidden_confounding,4,0.2,0.15,2048,0.7092224674714388,0.7112358266643329,0.42266642543427374,0.42266642543427374,0.08648058169524013,0.01090260964704322,0.008862023326101033,0.017739091983238527,0.017739091983238527,0.021632088914434636,45
logistic,hidden_confounding,5,0.25,0.25,128,0.6170106415332731,0.6399601562392583,0.2560035702149324,0.2560035702149324,0.32040817435456576,0.017470893286708235,0.034017225626742975,0.07590162902038336,0.07590162902038336,0.08197007763766367,45
logistic,hidden_confounding,5,0.25,0.25,512,0.623356914352799,0.6272669183163697,0.25226529022637817,0.25226529022637817,0.16475695158001394,0.010843673497404165,0.021594085331006038,0.044685894538127637,0.044685894538127637,0.04314405275574148,45
logistic,hidden_confounding,5,0.25,0.25,2048,0.625241190617749,0.6239293008586582,0.24774441537004702,0.24774441537004702,0.08173466305831935,0.012932974519911778,0.01045020432877863,0.020825798270161896,0.020825798270161896,0.01930119042215715,45
logistic,randomized_causal,0,0.0,0.05,128,0.9494169045990026,0.928907334208821,0.041565075598177285,0.8593148110886002,0.31971342458328056,0.005410344478693948,0.015087710058744867,0.028697212738667925,0.029959067494922435,0.09478096364949458,45
logistic,randomized_causal,0,0.0,0.05,512,0.9493173927745078,0.9446066775481725,0.01838548960407646,0.8905529473360563,0.1527449686341427,0.005708758582879798,0.010416705069614849,0.013541109245200234,0.02092355470166782,0.03844697759158305,45
