git_commit,git_dirty,task_id,task_seed,seed,variant,split,noise_strength,train_noise_strength,training_seconds,validation_nrmse,normalized_correction_rms,observed_confidence,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,iid,0,0.1,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,iid,0.05,0.1,0.0,0.0,0.0,-1.0,0.09515961992974553,0.1335750393150378,0.9948860881800284,0.07151162017442733,0.08415447673078355
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,iid,0.1,0.1,0.0,0.0,0.0,-1.0,0.1860115568549645,0.2588421689949652,0.9807968411456957,0.13857546267035992,0.1636117387323043
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,iid,0.2,0.1,0.0,0.0,0.0,-1.0,0.3721686783668474,0.5085878165675133,0.9258630836036699,0.2722809512182776,0.3426556248812502
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,iid,0.4,0.1,0.0,0.0,0.0,-1.0,0.7406170560765304,1.0126376904221945,0.7060924182722164,0.5421324392874711,0.6210218132173573
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,ood,0,0.1,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,ood,0.05,0.1,0.0,0.0,0.0,-1.0,0.8883557161898352,1.1910944335681426,0.9999319899906027,0.00824681813775795,0.00856893917659306
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,ood,0.1,0.1,0.0,0.0,0.0,-1.0,1.82358293264042,2.5221239702556617,0.9996950607665953,0.01746250936734694,0.018004183640029106
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,ood,0.2,0.1,0.0,0.0,0.0,-1.0,3.621412042881275,4.741630952394362,0.9989222055491486,0.03282977993912623,0.03977369997265669
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,raw,ood,0.4,0.1,0.0,0.0,0.0,-1.0,7.117413389845751,9.440059271457315,0.9957280133481426,0.06536043644175965,0.07102013428337714
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,iid,0,0.1,0.6400242489762604,0.13406744599342346,0.006335148122161627,-1.0,0.022500889152070158,0.03343950937286102,0.9996795041521734,0.01790239782337857,0.017755256451295148
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,iid,0.05,0.1,0.6400242489762604,0.13406744599342346,0.006361437030136585,-1.0,0.09834602335001819,0.13580501367458414,0.9947139140420407,0.07270547405773017,0.08780333480168549
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,iid,0.1,0.1,0.6400242489762604,0.13406744599342346,0.006368177942931652,-1.0,0.18717783146115607,0.258382963310247,0.9808649164339405,0.13832961926521553,0.17060081612542774
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,iid,0.2,0.1,0.6400242489762604,0.13406744599342346,0.006481211166828871,-1.0,0.36834248877323716,0.5020978381286795,0.9277431014387632,0.2688064332586497,0.3381213741609266
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,iid,0.4,0.1,0.6400242489762604,0.13406744599342346,0.006752099841833115,-1.0,0.7326041400239092,0.998424067935463,0.7142852266624338,0.5345229399544665,0.6146923591868128
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,ood,0,0.1,0.6400242489762604,0.13406744599342346,0.06500244140625,-1.0,2.136019316210877,2.8961361431343913,0.999597914518476,0.020052069257907965,0.0192873326392646
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,ood,0.05,0.1,0.6400242489762604,0.13406744599342346,0.06501780450344086,-1.0,2.2743435131706065,3.127301920905271,0.9995311649542771,0.021652599052375137,0.022220730692546382
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,ood,0.1,0.1,0.6400242489762604,0.13406744599342346,0.06502733379602432,-1.0,2.699960298166843,3.701155998549633,0.9993433178285895,0.025625810648845202,0.026121179020505873
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,ood,0.2,0.1,0.6400242489762604,0.13406744599342346,0.0650659054517746,-1.0,4.112340643958305,5.545293806797796,0.9985258911025708,0.03839412581931156,0.04650973774478942
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,bounded_correction,ood,0.4,0.1,0.6400242489762604,0.13406744599342346,0.06532488018274307,-1.0,7.174145898257848,9.644466408277891,0.9955410063450549,0.06677569658899184,0.07323994762303664
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609100,202609100,0,confidence_gated,iid,0,0.1,0.48245759797282517,0.1338656097650528,0.03704093024134636,0.9387224316596985,0.022469631668855072,0.033463800020759625,0.999679038363082,0.017915402225961743,0.017496810786659194
