variant,split,noise_strength,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,correction_rms_mean,observed_confidence_mean,training_seconds_mean
bounded_correction,iid,0.0,12,60,0.11312522759230124,0.15174280908666757,0.035008998388861255,0.19925954470629734,0.02589219488048305,-1.0,0.5699532015404354
bounded_correction,iid,0.05,12,60,0.1856844019660243,0.17332838688892663,0.09999622488182977,0.2867428180027899,0.025905265546559048,-1.0,0.5699532015404354
bounded_correction,iid,0.1,12,60,0.2910065158024912,0.21829207133798548,0.18063379382112768,0.41921390480501997,0.025966775956718872,-1.0,0.5699532015404354
bounded_correction,iid,0.2,12,60,0.46992967477906683,0.24149340573275896,0.34936734465160546,0.6054462201647098,0.026268497392690427,-1.0,0.5699532015404354
bounded_correction,iid,0.4,12,60,0.823330841505101,0.26541907568730383,0.6824673604040388,0.9694115008632463,0.027183177694678304,-1.0,0.5699532015404354
bounded_correction,ood,0.0,12,60,0.038176266960760964,0.01920473131128512,0.028102359319567956,0.04822646513716018,0.09384554471665373,-1.0,0.5699532015404354
bounded_correction,ood,0.05,12,60,0.04049855847457905,0.01901294841520364,0.030398452339463578,0.05081199947770719,0.0938425965451946,-1.0,0.5699532015404354
bounded_correction,ood,0.1,12,60,0.04763254832481401,0.021403508272179073,0.03593644409827303,0.0592412980841122,0.09385194709369292,-1.0,0.5699532015404354
bounded_correction,ood,0.2,12,60,0.06589427389987618,0.0262734761261452,0.05141429469085061,0.07979035841985585,0.09386697627293568,-1.0,0.5699532015404354
bounded_correction,ood,0.4,12,60,0.11229138811624771,0.04205058479351822,0.08891776364616633,0.13473538151578762,0.09387735251802952,-1.0,0.5699532015404354
confidence_gated,iid,0.0,12,60,0.1125758382442415,0.15114366511005783,0.03322672236183515,0.20036387964613347,0.0647859161409239,0.9137300262848539,0.8012340855008612
confidence_gated,iid,0.05,12,60,0.18137388820038916,0.16566639753568083,0.09804607794368198,0.27715302045135537,0.06486816016646722,0.9137331177790959,0.8012340855008612
confidence_gated,iid,0.1,12,60,0.2852130446094068,0.2107180156067987,0.17450605588661006,0.41682129840749516,0.06522513202702004,0.9137489646673203,0.8012340855008612
confidence_gated,iid,0.2,12,60,0.4608076210568212,0.2293018258064959,0.3485771287950267,0.5929840015491237,0.0665507105179131,0.9137689749399822,0.8012340855008612
confidence_gated,iid,0.4,12,60,0.8064396673392166,0.25091139561964626,0.6711606193552918,0.9476218899154804,0.07123134134647748,0.9137820690870285,0.8012340855008612
confidence_gated,ood,0.0,12,60,0.5823242215861194,0.8644935877187189,0.1890896576663981,1.0848806639537076,1.2982697444347042,0.902554902434349,0.8012340855008612
confidence_gated,ood,0.05,12,60,0.5843280590748228,0.8651506077207666,0.19265635162600445,1.137379794609617,1.298125386548539,0.9025523513555527,0.8012340855008612
confidence_gated,ood,0.1,12,60,0.5984945659052364,0.881095690323615,0.20007541481185911,1.113144343532292,1.2982254041979708,0.9025758971770603,0.8012340855008612
confidence_gated,ood,0.2,12,60,0.5992194741562384,0.8552643067290012,0.20435642354925967,1.133286191935385,1.2998763012699783,0.902540613214175,0.8012340855008612
confidence_gated,ood,0.4,12,60,0.6342649036240087,0.8746124188012045,0.24034408660211995,1.1513899478795326,1.3003371284343304,0.9025582869847616,0.8012340855008612
raw,iid,0.0,12,60,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
raw,iid,0.05,12,60,0.1728385793303199,0.16745449571431348,0.09326830272893707,0.2722666644246501,0.0,-1.0,0.0
raw,iid,0.1,12,60,0.3018540679093292,0.2330102414474836,0.18654717414353045,0.43712290523794595,0.0,-1.0,0.0
raw,iid,0.2,12,60,0.4952987124372008,0.2684898905833925,0.3627344222785547,0.646110558907286,0.0,-1.0,0.0
raw,iid,0.4,12,60,0.8711745776605149,0.3102603040702604,0.7010215870915217,1.0401833350528649,0.0,-1.0,0.0
raw,ood,0.0,12,60,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
raw,ood,0.05,12,60,0.012543363492726797,0.0039419120080910015,0.010346871309208583,0.014610810353141383,0.0,-1.0,0.0
raw,ood,0.1,12,60,0.025903365495894993,0.008909045158354233,0.02088589873734742,0.030626066507866503,0.0,-1.0,0.0
raw,ood,0.2,12,60,0.05142816675033523,0.017567779978961515,0.042241715176694825,0.06092584391837584,0.0,-1.0,0.0
raw,ood,0.4,12,60,0.1065465611688563,0.038657631695759406,0.08592485879136748,0.12760970791799436,0.0,-1.0,0.0
unrestricted_encoder,iid,0.0,12,60,0.11383811891738897,0.15546938158217932,0.03493811081976615,0.2043406524445686,0.033264985987140484,-1.0,0.5327942274898911
unrestricted_encoder,iid,0.05,12,60,0.18567961445860312,0.17390523488243823,0.09777699228997526,0.2838910764034429,0.03331005490617826,-1.0,0.5327942274898911
unrestricted_encoder,iid,0.1,12,60,0.2913875774908759,0.21795997981686716,0.17863131057708295,0.41279937289646573,0.03342096927032496,-1.0,0.5327942274898911
unrestricted_encoder,iid,0.2,12,60,0.470162660069998,0.24179152509765625,0.3500780614488789,0.6190144895951364,0.03407197298171619,-1.0,0.5327942274898911
unrestricted_encoder,iid,0.4,12,60,0.8180155041407251,0.25812652059677677,0.6829210108563254,0.9551919753483026,0.03597269204522794,-1.0,0.5327942274898911
unrestricted_encoder,ood,0.0,12,60,0.10391814351334128,0.12193519957660243,0.045151744032541116,0.17259161242510476,0.3187815555992226,-1.0,0.5327942274898911
unrestricted_encoder,ood,0.05,12,60,0.10534185088589722,0.12110715799139984,0.04347675770679702,0.1761194325530093,0.3187742459898194,-1.0,0.5327942274898911
unrestricted_encoder,ood,0.1,12,60,0.11197232700425823,0.12438194054214537,0.04606616482549454,0.1827052178187182,0.31877687672773997,-1.0,0.5327942274898911
unrestricted_encoder,ood,0.2,12,60,0.12705818031435526,0.12375077192326013,0.06407296071138772,0.1973919789040194,0.31895954546829064,-1.0,0.5327942274898911
unrestricted_encoder,ood,0.4,12,60,0.161799324812165,0.11763522676227957,0.1045281602263735,0.2288454489274564,0.31916787835458915,-1.0,0.5327942274898911
