git_commit,git_dirty,dataset,task,seed,model,training_seconds,operation_count,primary_error,score,accuracy,log_loss,brier,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,0,TabALU-SparseExact,0.0064782879780977964,24,0.8957496587729141,0.1976325488082078,-1.0,-1.0,-1.0,51.69420184963222,64.38379107697055,0.1976325488082078,0.8957496587729141,0.3330289571157804
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,0,Linear,0.0009168810211122036,-1,0.8122864768083323,0.3401906795943066,-1.0,-1.0,-1.0,46.364968002812084,58.38470861280506,0.3401906795943066,0.8122864768083323,0.2487458809308196
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,0,RandomForest,0.6167322711553425,-1,0.8524123022316721,0.2733932670041004,-1.0,-1.0,-1.0,48.92889502975178,61.26883224661852,0.2733932670041004,0.8524123022316721,0.26831775693442383
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,0,XGBoost,2.066955401096493,-1,0.9239244605717001,0.14636359115729303,-1.0,-1.0,-1.0,51.00664198800419,66.40891108107202,0.14636359115729303,0.9239244605717001,0.3005140541243727
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,0,MLP,0.18924853997305036,-1,0.9252122744700606,0.14398224716993713,-1.0,-1.0,-1.0,51.850129898653044,66.50147527036978,0.14398224716993713,0.9252122744700606,0.3192470315877426
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,0,CatBoost,0.22805210622027516,-1,0.8288644010369467,0.3129838046936634,-1.0,-1.0,-1.0,46.92048190920359,59.57627994031985,0.3129838046936634,0.8288644010369467,0.2855872963786886
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,1,TabALU-SparseExact,0.009295320138335228,12,0.7758130893921189,0.3981140503278561,-1.0,-1.0,-1.0,45.6312374377543,57.07673396591433,0.3981140503278561,0.7758130893921189,0.2940303488842106
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,1,Linear,0.0011827819980680943,-1,0.760478223971431,0.42167287086525784,-1.0,-1.0,-1.0,44.18654203446557,55.94854465590217,0.42167287086525784,0.760478223971431,0.25090409088275867
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,1,RandomForest,0.630904340185225,-1,0.874708591578394,0.23488487981894224,-1.0,-1.0,-1.0,50.54616716036772,64.3524970922291,0.23488487981894224,0.874708591578394,0.31723567059851476
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,1,XGBoost,1.2892458359710872,-1,0.8598016659276664,0.26074109526800926,-1.0,-1.0,-1.0,48.76700026265691,63.25579140209579,0.26074109526800926,0.8598016659276664,0.2663748867540474
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,1,MLP,0.26968347979709506,-1,0.7856624840456669,0.3827344611631922,-1.0,-1.0,-1.0,46.261256468742154,57.801356025083685,0.3827344611631922,0.7856624840456669,0.2703042423940315
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,1,CatBoost,0.14705204614438117,-1,0.7970383046441049,0.36472994093005096,-1.0,-1.0,-1.0,47.405027609486304,58.63827756561836,0.36472994093005096,0.7970383046441049,0.3275587364098158
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,2,TabALU-SparseExact,0.005832043942064047,8,0.7351422818555899,0.4595658254281565,-1.0,-1.0,-1.0,48.27921455136567,56.94697346051707,0.4595658254281565,0.7351422818555899,0.2755965129295883
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,2,Linear,0.000759002985432744,-1,0.7452259423693374,0.44463829481973305,-1.0,-1.0,-1.0,46.81064357575211,57.72809292791025,0.44463829481973305,0.7452259423693374,0.2586748350596004
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,2,RandomForest,0.6204120481852442,-1,0.7864872544354192,0.3814377986106361,-1.0,-1.0,-1.0,49.25375996400602,60.92435425196622,0.3814377986106361,0.7864872544354192,0.2808825500570602
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,2,XGBoost,1.2934847159776837,-1,0.8014044192854589,0.3577509567497362,-1.0,-1.0,-1.0,49.97886794872498,62.079895718955655,0.3577509567497362,0.8014044192854589,0.2636016845703125
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,2,MLP,0.23127590212970972,-1,0.8228433541587278,0.32292881451681454,-1.0,-1.0,-1.0,52.2171745068452,63.74063879602114,0.32292881451681454,0.8228433541587278,0.3354688850293879
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,2,CatBoost,0.2849003199953586,-1,0.7700545227205219,0.40701603203766923,-1.0,-1.0,-1.0,47.51066556704325,59.651411095316334,0.40701603203766923,0.7700545227205219,0.29241436860614
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,3,TabALU-SparseExact,0.005861368961632252,8,0.6517363251469035,0.5752397624840097,-1.0,-1.0,-1.0,37.44769979175689,49.16880401228809,0.5752397624840097,0.6517363251469035,0.20841289503341315
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,3,Linear,0.0007287079934030771,-1,0.6635848090251729,0.5596552012310247,-1.0,-1.0,-1.0,39.606618257463786,50.06268664422834,0.5596552012310247,0.6635848090251729,0.241906293469931
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,3,RandomForest,0.7028320701792836,-1,0.7262944778490301,0.47249633144600467,-1.0,-1.0,-1.0,42.201502228545486,54.79367876037398,0.47249633144600467,0.7262944778490301,0.240375530025529
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,3,XGBoost,1.5933029011357576,-1,0.7774646530547649,0.39554871325043406,-1.0,-1.0,-1.0,44.53900489378511,58.654099330607046,0.39554871325043406,0.7774646530547649,0.24639218352561773
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,3,MLP,0.3080662530846894,-1,0.7347256146849923,0.46017827112576015,-1.0,-1.0,-1.0,41.65749776747131,55.42974721120763,0.46017827112576015,0.7347256146849923,0.26542844852936814
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,3,CatBoost,0.15398173406720161,-1,0.7456314147751842,0.44403379330035697,-1.0,-1.0,-1.0,46.16708126295249,56.25251115199453,0.44403379330035697,0.7456314147751842,0.2921401416060933
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,diabetes,regression,4,TabALU-SparseExact,0.005841437028720975,8,0.6500330250910867,0.5774570662909305,-1.0,-1.0,-1.0,38.91703179939342,49.323109149746486,0.5774570662909305,0.6500330250910867,0.2611672635444201
