dataset,seed,relative_psd_correction,reconstruction_seconds,scalar_queries_per_history
JenaWeather,20261301,0.5087260007858276,0.10889022517949343,528
JenaWeather,20261302,0.5019848942756653,0.030671986052766442,528
JenaWeather,20261303,0.4506574869155884,0.030282055027782917,528
Electricity,20261301,0.7654008269309998,0.029981069965288043,528
Electricity,20261302,0.6957800388336182,0.030115383211523294,528
Electricity,20261303,0.7206571698188782,0.03021068684756756,528
Traffic,20261301,0.7758827209472656,0.030184938805177808,528
Traffic,20261302,0.7907205820083618,0.029686143854632974,528
Traffic,20261303,0.7887334823608398,0.029942983062937856,528
