dataset,seed,model,nll,coverage_50,coverage_90,mean_coverage_error
JenaWeather,20261301,direct_broad,-0.23348067700862885,0.54296875,0.869140625,0.03691406250000001
JenaWeather,20261301,reconciled,-0.15721361339092255,0.6572265625,0.921875,0.08955078124999999
JenaWeather,20261301,trained_projective,-0.6481490731239319,0.6005859375,0.9140625,0.05732421874999999
JenaWeather,20261302,direct_broad,-0.3532329201698303,0.5654296875,0.9033203125,0.03437499999999999
JenaWeather,20261302,reconciled,-0.2855296730995178,0.7109375,0.9501953125,0.13056640625
JenaWeather,20261302,trained_projective,-0.6951773166656494,0.625,0.912109375,0.06855468749999999
JenaWeather,20261303,direct_broad,-0.44634708762168884,0.6083984375,0.9189453125,0.06367187499999999
JenaWeather,20261303,reconciled,-0.3245621621608734,0.7314453125,0.951171875,0.14130859375
JenaWeather,20261303,trained_projective,-0.6859643459320068,0.6259765625,0.9208984375,0.07343749999999999
Electricity,20261301,direct_broad,-0.10035259276628494,0.5185546875,0.876953125,0.02080078125000001
Electricity,20261301,reconciled,-0.15593315660953522,0.63671875,0.9541015625,0.09541015624999999
Electricity,20261301,trained_projective,-0.4851457476615906,0.533203125,0.890625,0.02128906250000001
Electricity,20261302,direct_broad,-0.1741674691438675,0.51171875,0.884765625,0.013476562500000011
Electricity,20261302,reconciled,-0.220906063914299,0.6220703125,0.94140625,0.08173828124999999
Electricity,20261302,trained_projective,-0.4397585690021515,0.5087890625,0.8818359375,0.013476562500000011
Electricity,20261303,direct_broad,-0.18494457006454468,0.564453125,0.9140625,0.03925781249999999
Electricity,20261303,reconciled,-0.21097078919410706,0.6669921875,0.966796875,0.11689453124999999
Electricity,20261303,trained_projective,-0.31035280227661133,0.4951171875,0.8671875,0.01884765625000001
Traffic,20261301,direct_broad,0.8424590229988098,0.470703125,0.8134765625,0.05791015625000001
Traffic,20261301,reconciled,0.6075699329376221,0.5947265625,0.90234375,0.04853515624999999
Traffic,20261301,trained_projective,1.5453370809555054,0.4423828125,0.7880859375,0.08476562500000001
Traffic,20261302,direct_broad,15.685531616210938,0.50390625,0.814453125,0.04472656250000001
Traffic,20261302,reconciled,6.305075645446777,0.6513671875,0.916015625,0.08369140624999999
Traffic,20261302,trained_projective,2.786426067352295,0.462890625,0.783203125,0.07695312500000001
Traffic,20261303,direct_broad,1.2861783504486084,0.4677734375,0.794921875,0.06865234375000001
Traffic,20261303,reconciled,0.6389355659484863,0.583984375,0.89453125,0.04472656250000001
Traffic,20261303,trained_projective,1.5367438793182373,0.4326171875,0.7568359375,0.10527343750000001
