dataset,model,seed,nll,coverage_50,coverage_90,mean_coverage_error
Electricity,direct_broad,20261302.0,-0.15315487732489905,0.5315755208333334,0.8919270833333334,0.024511718750000005
Electricity,reconciled,20261302.0,-0.19593666990598044,0.6419270833333334,0.9541015625,0.09801432291666666
Electricity,trained_projective,20261302.0,-0.4117523729801178,0.5123697916666666,0.8798828125,0.01787109375000001
JenaWeather,direct_broad,20261302.0,-0.3443535616000493,0.572265625,0.8971354166666666,0.04498697916666666
JenaWeather,reconciled,20261302.0,-0.25576848288377124,0.6998697916666666,0.9410807291666666,0.12047526041666666
JenaWeather,trained_projective,20261302.0,-0.6764302452405294,0.6171875,0.9156901041666666,0.06643880208333332
Traffic,direct_broad,20261302.0,5.938056329886119,0.4807942708333333,0.8076171875,0.057096354166666675
Traffic,reconciled,20261302.0,2.5171937147776284,0.6100260416666666,0.904296875,0.058984375
Traffic,trained_projective,20261302.0,1.9561690092086792,0.4459635416666667,0.7760416666666666,0.08899739583333334
