stem,dataset,model,seed,action,fp32_final_mse,iea64_final_mse,final_ratio,eligible_fp32_material,iea64_final_win,material_rescue,twofold_worsening,iea64_exact_final
credit_card_default__mlp__seed8404,credit_card_default,mlp,8404,1,4.094942664003536e-13,0.0,2.4420366340912866e-18,False,True,False,False,True
credit_card_default__mlp__seed8404,credit_card_default,mlp,8404,2,8.55393580838352e-13,0.0,1.1690524951332023e-18,False,True,False,False,True
credit_card_default__mlp__seed8404,credit_card_default,mlp,8404,3,6.572243220884749e-13,0.0,1.5215505062598416e-18,False,True,False,False,True
credit_card_default__resnet__seed8303,credit_card_default,resnet,8303,1,0.024962514288541474,0.015119994804507255,0.6057080080049378,True,True,False,False,False
credit_card_default__resnet__seed8303,credit_card_default,resnet,8303,2,0.027385077919558427,0.020437274523218852,0.746292363426965,True,True,False,False,False
credit_card_default__resnet__seed8303,credit_card_default,resnet,8303,3,0.026185782765038672,0.020437274523218852,0.7804721633338071,True,True,False,False,False
credit_card_default__resnet__seed8404,credit_card_default,resnet,8404,1,0.024118787463403044,0.0,4.146145412647145e-29,True,True,True,False,True
credit_card_default__resnet__seed8404,credit_card_default,resnet,8404,2,0.025775137598101735,0.0,3.8797077074523446e-29,True,True,True,False,True
credit_card_default__resnet__seed8404,credit_card_default,resnet,8404,3,0.02300880649613262,0.0,4.346161980057865e-29,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8101,fremtpl_claim_count,ft_transformer,8101,1,0.27159665782900644,0.0,3.6819304331409946e-30,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8101,fremtpl_claim_count,ft_transformer,8101,2,0.31559873537136324,0.0,3.1685805040482996e-30,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8101,fremtpl_claim_count,ft_transformer,8101,3,0.24951771370778153,0.19330068369576642,0.7746972382175129,True,True,False,False,False
fremtpl_claim_count__ft_transformer__seed8202,fremtpl_claim_count,ft_transformer,8202,1,0.356493459837604,0.21612880892697828,0.6062630406331521,True,True,False,False,False
fremtpl_claim_count__ft_transformer__seed8202,fremtpl_claim_count,ft_transformer,8202,2,0.36228551690623423,0.21612880892697828,0.5965703812082451,True,True,False,False,False
fremtpl_claim_count__ft_transformer__seed8202,fremtpl_claim_count,ft_transformer,8202,3,0.3236088741230825,0.21612880892697828,0.6678704640367036,True,True,False,False,False
fremtpl_claim_count__ft_transformer__seed8303,fremtpl_claim_count,ft_transformer,8303,1,0.21755462290564118,0.0,4.5965467736060234e-30,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8303,fremtpl_claim_count,ft_transformer,8303,2,0.23138075059194063,0.0,4.32188069855294e-30,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8303,fremtpl_claim_count,ft_transformer,8303,3,0.2841361106780675,0.0,3.519440023352126e-30,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8404,fremtpl_claim_count,ft_transformer,8404,1,0.3741909582936705,0.15924859525752635,0.4255810882863336,True,True,False,False,False
fremtpl_claim_count__ft_transformer__seed8404,fremtpl_claim_count,ft_transformer,8404,2,0.3151150062217802,0.0,3.173444552799853e-30,True,True,True,False,True
fremtpl_claim_count__ft_transformer__seed8404,fremtpl_claim_count,ft_transformer,8404,3,0.35798378730765185,0.0,2.7934225946958835e-30,True,True,True,False,True
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,1,1.2503511443764011e-09,0.0,7.997753307121889e-22,False,True,False,False,True
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,2,2.118969665271716e-09,0.0,4.719274732381645e-22,False,True,False,False,True
