stem,dataset,model,seed,action,fp32_hitting_epoch,iea64_hitting_epoch,fp32_final_mse,iea64_final_mse,fp32_exact_through_20,iea64_exact_through_20,paired_delay,fp32_material,iea64_material,iea64_later,iea64_final_win
fremtpl_claim_count__mlp__seed8101,fremtpl_claim_count,mlp,8101,1,201,201,1.3973393634287661e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8101,fremtpl_claim_count,mlp,8101,2,201,201,1.2820213815984786e-09,7.347419892408021e-12,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8101,fremtpl_claim_count,mlp,8101,3,201,201,3.0917300155031134e-09,7.383488653811553e-12,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,1,201,201,1.2503511443764011e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,2,201,201,2.118969665271716e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8202,fremtpl_claim_count,mlp,8202,3,201,201,7.789911880713244e-10,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,1,201,201,1.5951118905640123e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,2,201,201,6.160396905643036e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8303,fremtpl_claim_count,mlp,8303,3,201,201,1.859337140741139e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,1,201,201,2.2989724481961572e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,2,201,201,3.5506242015819386e-09,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__mlp__seed8404,fremtpl_claim_count,mlp,8404,3,201,201,9.405080285014116e-10,0.0,False,True,0,False,False,False,True
fremtpl_claim_count__resnet__seed8101,fremtpl_claim_count,resnet,8101,1,20,201,0.14675772312906848,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8101,fremtpl_claim_count,resnet,8101,2,20,201,0.1652606208234559,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8101,fremtpl_claim_count,resnet,8101,3,20,201,0.16446349613684116,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,1,20,201,0.20322455192626182,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,2,20,201,0.19540263094643165,1.2109197788009082e-12,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8202,fremtpl_claim_count,resnet,8202,3,20,201,0.18781293923284686,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,1,20,201,0.14728222879468872,2.4086609790030522e-12,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,2,20,201,0.1502128418347343,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8303,fremtpl_claim_count,resnet,8303,3,20,201,0.1614290907721025,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,1,20,201,0.15637149409110018,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,2,20,201,0.15885547734359196,0.0,False,True,181,True,False,True,True
fremtpl_claim_count__resnet__seed8404,fremtpl_claim_count,resnet,8404,3,20,201,0.16475422276978713,0.0,False,True,181,True,False,True,True
