dataset,model,seed,precision,mean_mse_epoch_20,mean_mse_epoch_200,median_first_material_checkpoint,material_paths_epoch_20,material_paths_epoch_200,delayed_paths,exact_paths,paths
fremtpl_claim_count,ft_transformer,8303,iea64,0.0,0.0,201.0,0,0,0,3,3
fremtpl_claim_count,ft_transformer,8404,fp32,0.07290276529358998,0.3490965839410342,1.0,3,3,0,0,3
fremtpl_claim_count,ft_transformer,8404,iea64,0.0,0.05308286508584212,201.0,0,1,1,2,3
fremtpl_claim_count,mlp,8101,fp32,2.425277956858491e-15,1.923696920176786e-09,201.0,0,0,0,0,3
fremtpl_claim_count,mlp,8101,iea64,0.0,4.9103028487398584e-12,201.0,0,0,0,1,3
fremtpl_claim_count,mlp,8202,fp32,1.785960268563258e-15,1.3827706659064803e-09,201.0,0,0,0,0,3
fremtpl_claim_count,mlp,8202,iea64,0.0,0.0,201.0,0,0,0,3,3
fremtpl_claim_count,mlp,8303,fp32,2.0038238044170795e-15,3.2049486456493958e-09,201.0,0,0,0,0,3
fremtpl_claim_count,mlp,8303,iea64,0.0,0.0,201.0,0,0,0,3,3
fremtpl_claim_count,mlp,8404,fp32,1.9502328957002016e-15,2.2633682260931693e-09,201.0,0,0,0,0,3
fremtpl_claim_count,mlp,8404,iea64,0.0,0.0,201.0,0,0,0,3,3
fremtpl_claim_count,resnet,8101,fp32,0.002246360616285888,0.15882728002978852,20.0,3,3,0,0,3
fremtpl_claim_count,resnet,8101,iea64,0.0,0.0,201.0,0,0,0,3,3
fremtpl_claim_count,resnet,8202,fp32,0.014773769362632144,0.19548004070184677,20.0,3,3,0,0,3
fremtpl_claim_count,resnet,8202,iea64,0.0,4.0363992626696937e-13,201.0,0,0,0,2,3
fremtpl_claim_count,resnet,8303,fp32,0.008103407398854451,0.15297472046717517,20.0,3,3,0,0,3
fremtpl_claim_count,resnet,8303,iea64,0.0,8.028869930010174e-13,201.0,0,0,0,2,3
fremtpl_claim_count,resnet,8404,fp32,0.009279587851365149,0.1599937314014931,20.0,3,3,0,0,3
fremtpl_claim_count,resnet,8404,iea64,0.0,0.0,201.0,0,0,0,3,3
