dataset,model,seed,precision,seconds
credit_card_default,mlp,8404,fp32,23.957042128080502
credit_card_default,mlp,8404,fp32,22.740861505968496
credit_card_default,mlp,8404,fp32,21.313014067942277
credit_card_default,mlp,8404,fp32,24.513834023149684
credit_card_default,mlp,8404,iea64,28.028508241055533
credit_card_default,mlp,8404,iea64,27.885821510106325
credit_card_default,mlp,8404,iea64,27.904977986123413
credit_card_default,mlp,8404,iea64,27.811288768891245
credit_card_default,resnet,8101,fp32,52.86474472982809
credit_card_default,resnet,8101,fp32,53.2673788908869
credit_card_default,resnet,8101,fp32,54.894015649100766
credit_card_default,resnet,8101,fp32,55.11293363198638
credit_card_default,resnet,8101,iea64,54.213634251151234
credit_card_default,resnet,8101,iea64,50.25760928215459
credit_card_default,resnet,8101,iea64,53.00393719901331
credit_card_default,resnet,8101,iea64,53.51392532605678
credit_card_default,resnet,8202,fp32,49.70942374691367
credit_card_default,resnet,8202,fp32,54.645606465870515
credit_card_default,resnet,8202,fp32,53.23350874101743
credit_card_default,resnet,8202,fp32,54.77045522700064
credit_card_default,resnet,8202,iea64,56.68750417698175
credit_card_default,resnet,8202,iea64,56.693398877047
credit_card_default,resnet,8202,iea64,54.02334930608049
credit_card_default,resnet,8202,iea64,53.303907262859866
credit_card_default,resnet,8303,fp32,47.22095061605796
credit_card_default,resnet,8303,fp32,46.46433409792371
credit_card_default,resnet,8303,fp32,51.086215334013104
credit_card_default,resnet,8303,fp32,51.175781453959644
credit_card_default,resnet,8303,iea64,53.30387928080745
credit_card_default,resnet,8303,iea64,53.253965706098825
credit_card_default,resnet,8303,iea64,53.29488247190602
credit_card_default,resnet,8303,iea64,51.07217228598893
credit_card_default,resnet,8404,fp32,54.03936297283508
credit_card_default,resnet,8404,fp32,49.78053422598168
credit_card_default,resnet,8404,fp32,51.48456217092462
credit_card_default,resnet,8404,fp32,51.63917573611252
credit_card_default,resnet,8404,iea64,53.68139148596674
credit_card_default,resnet,8404,iea64,53.61061045201495
credit_card_default,resnet,8404,iea64,53.64209005306475
credit_card_default,resnet,8404,iea64,53.64105870993808
fremtpl_claim_count,ft_transformer,8101,fp32,576.0732635790482
fremtpl_claim_count,ft_transformer,8101,fp32,521.6965151431505
fremtpl_claim_count,ft_transformer,8101,fp32,529.3212703559548
fremtpl_claim_count,ft_transformer,8101,fp32,534.8694008728489
fremtpl_claim_count,ft_transformer,8101,iea64,534.6497822981328
fremtpl_claim_count,ft_transformer,8101,iea64,544.9471121609677
fremtpl_claim_count,ft_transformer,8101,iea64,547.1597136131022
fremtpl_claim_count,ft_transformer,8101,iea64,545.2222229850013
fremtpl_claim_count,ft_transformer,8202,fp32,531.7408901699819
fremtpl_claim_count,ft_transformer,8202,fp32,543.1687041081022
fremtpl_claim_count,ft_transformer,8202,fp32,535.8078846549615
fremtpl_claim_count,ft_transformer,8202,fp32,542.3481271159835
fremtpl_claim_count,ft_transformer,8202,iea64,546.8399009029381
fremtpl_claim_count,ft_transformer,8202,iea64,549.2007596429903
fremtpl_claim_count,ft_transformer,8202,iea64,552.0258126528934
fremtpl_claim_count,ft_transformer,8202,iea64,550.1093703689985
fremtpl_claim_count,ft_transformer,8303,fp32,535.8051893210504
fremtpl_claim_count,ft_transformer,8303,fp32,539.2774838760961
fremtpl_claim_count,ft_transformer,8303,fp32,534.4819630519487
fremtpl_claim_count,ft_transformer,8303,fp32,541.0985249869991
fremtpl_claim_count,ft_transformer,8303,iea64,550.8609439409338
fremtpl_claim_count,ft_transformer,8303,iea64,536.0238464698195
fremtpl_claim_count,ft_transformer,8303,iea64,547.1732381738257
fremtpl_claim_count,ft_transformer,8303,iea64,546.0628711811733
fremtpl_claim_count,ft_transformer,8404,fp32,521.8788859210908
fremtpl_claim_count,ft_transformer,8404,fp32,562.1012772489339
fremtpl_claim_count,ft_transformer,8404,fp32,556.5272660639603
fremtpl_claim_count,ft_transformer,8404,fp32,534.1690248330124
fremtpl_claim_count,ft_transformer,8404,iea64,542.5606243829243
fremtpl_claim_count,ft_transformer,8404,iea64,542.1152189280838
fremtpl_claim_count,ft_transformer,8404,iea64,542.8850886810105
fremtpl_claim_count,ft_transformer,8404,iea64,542.6236664340831
fremtpl_claim_count,mlp,8101,fp32,109.58834430691786
fremtpl_claim_count,mlp,8101,fp32,111.87853490491398
fremtpl_claim_count,mlp,8101,fp32,96.4136133310385
fremtpl_claim_count,mlp,8101,fp32,97.44331632507965
fremtpl_claim_count,mlp,8101,iea64,111.20336367096752
fremtpl_claim_count,mlp,8101,iea64,112.92192408698611
fremtpl_claim_count,mlp,8101,iea64,111.35941595118493
fremtpl_claim_count,mlp,8101,iea64,112.92842175904661
fremtpl_claim_count,mlp,8202,fp32,92.24341051001102
fremtpl_claim_count,mlp,8202,fp32,93.3632647069171
fremtpl_claim_count,mlp,8202,fp32,98.76120430510491
fremtpl_claim_count,mlp,8202,fp32,97.21477508591488
fremtpl_claim_count,mlp,8202,iea64,111.5442807469517
fremtpl_claim_count,mlp,8202,iea64,111.99662769795395
fremtpl_claim_count,mlp,8202,iea64,112.60535837197676
fremtpl_claim_count,mlp,8202,iea64,112.5956801821012
fremtpl_claim_count,mlp,8303,fp32,87.80325056496076
fremtpl_claim_count,mlp,8303,fp32,97.05478850705549
fremtpl_claim_count,mlp,8303,fp32,97.06178383599035
fremtpl_claim_count,mlp,8303,fp32,97.24489002581686
fremtpl_claim_count,mlp,8303,iea64,111.96675564884208
fremtpl_claim_count,mlp,8303,iea64,112.12360755214468
fremtpl_claim_count,mlp,8303,iea64,112.24194328999147
fremtpl_claim_count,mlp,8303,iea64,112.39513415307738
