dataset,model,seed,precision,action,mse_epoch_20,mse_epoch_200,first_material_checkpoint,material_epoch_20,material_epoch_200,delayed_after_epoch_20,exact_all_checkpoints
bank_marketing_subscription,ft_transformer,8101,fp32,1,0.00993395885095918,0.04855668968530496,2,True,True,False,False
bank_marketing_subscription,ft_transformer,8101,fp32,2,0.009608740756028487,0.04954407285434134,2,True,True,False,False
bank_marketing_subscription,ft_transformer,8101,fp32,3,0.011294320353101616,0.04906140225541028,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8101,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,ft_transformer,8101,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,ft_transformer,8101,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,ft_transformer,8202,fp32,1,0.010133025550249973,0.04501455042067279,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8202,fp32,2,0.010476404516969816,0.04520008353665636,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8202,fp32,3,0.009725832072779937,0.04428824631605162,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8202,iea64,1,0.0,0.0,201,False,False,False,False
bank_marketing_subscription,ft_transformer,8202,iea64,2,0.0,0.0,201,False,False,False,False
bank_marketing_subscription,ft_transformer,8202,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,ft_transformer,8303,fp32,1,0.01091132931464729,0.04549134074322211,1,True,True,False,False
bank_marketing_subscription,ft_transformer,8303,fp32,2,0.011121660297694447,0.044425379334495634,1,True,True,False,False
bank_marketing_subscription,ft_transformer,8303,fp32,3,0.009970456660420653,0.04358912305465689,1,True,True,False,False
bank_marketing_subscription,ft_transformer,8303,iea64,1,0.0,0.026506552381047096,100,False,True,True,False
bank_marketing_subscription,ft_transformer,8303,iea64,2,0.0,0.02750912292526488,100,False,True,True,False
bank_marketing_subscription,ft_transformer,8303,iea64,3,0.0,0.02750912292526488,100,False,True,True,False
bank_marketing_subscription,ft_transformer,8404,fp32,1,0.011142628090573179,0.05190656920189081,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8404,fp32,2,0.011055700897964118,0.048820453959481314,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8404,fp32,3,0.01138948705269629,0.050126446512337844,5,True,True,False,False
bank_marketing_subscription,ft_transformer,8404,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,ft_transformer,8404,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,ft_transformer,8404,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8101,fp32,1,8.349049792566273e-16,4.810811756546466e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8101,fp32,2,1.2312871142014147e-15,1.1422339752453601e-11,201,False,False,False,False
bank_marketing_subscription,mlp,8101,fp32,3,6.918004606310121e-16,2.1628248096530396e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8101,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8101,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8101,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8202,fp32,1,8.052962778490344e-16,1.8160162067839647e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8202,fp32,2,1.1647017168863783e-15,4.305514693589346e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8202,fp32,3,9.100817431366451e-16,1.5748492446397398e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8202,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8202,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8202,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8303,fp32,1,5.849224592299097e-16,1.7061453071879636e-11,201,False,False,False,False
bank_marketing_subscription,mlp,8303,fp32,2,5.850191764907288e-16,8.714733651799878e-11,201,False,False,False,False
bank_marketing_subscription,mlp,8303,fp32,3,5.603606581572037e-16,2.3143893190823357e-11,201,False,False,False,False
bank_marketing_subscription,mlp,8303,iea64,1,0.0,1.0537958862573823e-14,201,False,False,False,False
bank_marketing_subscription,mlp,8303,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8303,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8404,fp32,1,6.366133455446242e-16,2.7493852410585144e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8404,fp32,2,6.967844434883204e-16,2.1739252160466244e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8404,fp32,3,6.691906578752758e-16,3.344573221000717e-12,201,False,False,False,False
bank_marketing_subscription,mlp,8404,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8404,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,mlp,8404,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8101,fp32,1,3.0496451748476114e-13,0.023088173961822587,50,False,True,True,False
bank_marketing_subscription,resnet,8101,fp32,2,2.818763266914193e-13,0.023026303236429985,50,False,True,True,False
bank_marketing_subscription,resnet,8101,fp32,3,3.9487491542272195e-13,0.023390273762921833,50,False,True,True,False
bank_marketing_subscription,resnet,8101,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8101,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8101,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8202,fp32,1,1.5016532408358116e-12,0.027204831505437427,50,False,True,True,False
bank_marketing_subscription,resnet,8202,fp32,2,1.0266458297751146e-12,0.0263919814221153,50,False,True,True,False
bank_marketing_subscription,resnet,8202,fp32,3,1.3438561321553608e-12,0.027995406101721097,50,False,True,True,False
bank_marketing_subscription,resnet,8202,iea64,1,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8202,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8202,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8303,fp32,1,9.040705718046475e-13,0.02200778418421132,50,False,True,True,False
bank_marketing_subscription,resnet,8303,fp32,2,4.1080752565910465e-13,0.02309141893963129,50,False,True,True,False
bank_marketing_subscription,resnet,8303,fp32,3,1.3319539617522514e-12,0.023031564196466923,50,False,True,True,False
bank_marketing_subscription,resnet,8303,iea64,1,0.0,0.013834747111040857,200,False,True,True,False
bank_marketing_subscription,resnet,8303,iea64,2,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8303,iea64,3,0.0,0.0,201,False,False,False,True
bank_marketing_subscription,resnet,8404,fp32,1,4.785678134451023e-13,0.025970861781197625,50,False,True,True,False
bank_marketing_subscription,resnet,8404,fp32,2,3.486339732178685e-13,0.022173513612481925,50,False,True,True,False
bank_marketing_subscription,resnet,8404,fp32,3,7.591442668428785e-13,0.023597755433443824,50,False,True,True,False
