dataset,model,seed,precision,action,initial_mse,final_mse,hitting_epoch,exact_all_checkpoints
bank_marketing_subscription,ft_transformer,7101,bfloat16,1,0.0,0.018741494661038367,12,False
bank_marketing_subscription,ft_transformer,7101,bfloat16,2,0.0,0.0204868189562387,12,False
bank_marketing_subscription,ft_transformer,7101,float16,1,4.6645846907278354e-14,0.018106867702325544,10,False
bank_marketing_subscription,ft_transformer,7101,float16,2,3.6584450746612873e-14,0.014544695058933426,11,False
bank_marketing_subscription,ft_transformer,7101,float32,1,1.4129322711831094e-15,0.017967065000462794,16,False
bank_marketing_subscription,ft_transformer,7101,float32,2,1.3695641842836892e-15,0.015198881292583113,15,False
bank_marketing_subscription,ft_transformer,7101,float64,1,0.0,0.0,31,True
bank_marketing_subscription,ft_transformer,7101,float64,2,0.0,0.0,31,True
bank_marketing_subscription,ft_transformer,7202,bfloat16,1,0.0,0.021254308872973735,10,False
bank_marketing_subscription,ft_transformer,7202,bfloat16,2,0.0,0.01836674166246562,10,False
bank_marketing_subscription,ft_transformer,7202,float16,1,4.193347058478736e-14,0.025036577582824585,9,False
bank_marketing_subscription,ft_transformer,7202,float16,2,2.3815151239947596e-14,0.021281806520340524,9,False
bank_marketing_subscription,ft_transformer,7202,float32,1,2.9954337621429517e-15,0.016011578207085687,11,False
bank_marketing_subscription,ft_transformer,7202,float32,2,2.540719371002531e-15,0.01175837569887777,13,False
bank_marketing_subscription,ft_transformer,7202,float64,1,0.0,0.0,31,True
bank_marketing_subscription,ft_transformer,7202,float64,2,0.0,0.0,31,True
bank_marketing_subscription,mlp,7101,bfloat16,1,0.0,1.7607949045092515e-08,31,False
bank_marketing_subscription,mlp,7101,bfloat16,2,0.0,1.6078605875968514e-08,31,False
bank_marketing_subscription,mlp,7101,float16,1,6.158268339717665e-17,2.7094107778321174e-10,31,False
bank_marketing_subscription,mlp,7101,float16,2,1.9081958235744878e-17,4.0660216135970127e-10,31,False
bank_marketing_subscription,mlp,7101,float32,1,1.3270634591222574e-16,5.346683795752212e-16,31,False
bank_marketing_subscription,mlp,7101,float32,2,1.214306433183765e-16,5.926607020672237e-16,31,False
bank_marketing_subscription,mlp,7101,float64,1,0.0,0.0,31,True
bank_marketing_subscription,mlp,7101,float64,2,0.0,0.0,31,True
bank_marketing_subscription,mlp,7202,bfloat16,1,0.0,1.3225726012398432e-08,31,False
bank_marketing_subscription,mlp,7202,bfloat16,2,0.0,1.6489775999143566e-08,31,False
bank_marketing_subscription,mlp,7202,float16,1,5.698566618583811e-16,3.1161682215159904e-10,31,False
bank_marketing_subscription,mlp,7202,float16,2,2.0469737016526324e-16,2.7347569813425075e-10,31,False
bank_marketing_subscription,mlp,7202,float32,1,9.194034422677078e-17,4.685155754060677e-16,31,False
bank_marketing_subscription,mlp,7202,float32,2,9.540979117872439e-17,4.3991063750257954e-16,31,False
bank_marketing_subscription,mlp,7202,float64,1,0.0,0.0,31,True
bank_marketing_subscription,mlp,7202,float64,2,0.0,0.0,31,True
bank_marketing_subscription,resnet,7101,bfloat16,1,0.0,1.3653311697161206e-05,30,False
bank_marketing_subscription,resnet,7101,bfloat16,2,0.0,1.1356662667335336e-05,30,False
bank_marketing_subscription,resnet,7101,float16,1,5.350320880781467e-14,2.550138662726005e-07,31,False
