dataset,model,config_id,mse_epoch_0,mse_epoch_1,mse_epoch_2,mse_epoch_5,mse_epoch_10,mse_epoch_20
bank_marketing_subscription,ft_transformer,lr0.0003__wd0.0001__b128,1.6495413252918627e-15,8.078480737370534e-16,7.889558508814935e-16,1.0955117563972439e-15,3.495666574491555e-15,7.454977042068128e-06
bank_marketing_subscription,ft_transformer,lr0.0003__wd0.0001__b256,1.6495413252918627e-15,9.343292921755915e-16,8.572425177118722e-16,7.118853758614843e-11,1.380179388459133e-07,7.2731145585825015e-06
bank_marketing_subscription,ft_transformer,lr0.0003__wd0__b128,1.6495413252918627e-15,6.1639061819795714e-12,4.758862317340469e-10,4.336200341627102e-07,1.276785221836249e-05,9.574331431193669e-05
bank_marketing_subscription,ft_transformer,lr0.0003__wd0__b256,1.6495413252918627e-15,9.706500649538559e-16,8.91485236326206e-16,5.744021794665266e-15,1.297896582021451e-07,4.099445061298277e-06
bank_marketing_subscription,ft_transformer,lr0.001__wd0.0001__b128,1.6495413252918627e-15,7.580470539475526e-16,8.512884407813059e-16,7.204247529300824e-13,6.869824358859641e-05,0.010474430392141786
bank_marketing_subscription,ft_transformer,lr0.001__wd0.0001__b256,1.6495413252918627e-15,1.2312199870745388e-15,4.7295338218705796e-15,3.2558871314910653e-10,2.2685384198479556e-05,0.002017566017729302
bank_marketing_subscription,ft_transformer,lr0.001__wd0__b128,1.6495413252918627e-15,7.779150587583494e-16,2.0681497512094426e-14,1.7934992485225946e-06,8.871212436293561e-05,0.013129128317516739
bank_marketing_subscription,ft_transformer,lr0.001__wd0__b256,1.6495413252918627e-15,1.3177664254931942e-15,3.924477568727676e-15,1.0340721716925944e-09,7.347567656432363e-06,0.0032377057614546407
bank_marketing_subscription,ft_transformer,lr0.003__wd0.0001__b128,1.6495413252918627e-15,9.805627716580494e-09,5.891539980782524e-07,0.00010320598431910593,0.008488843244468204,0.027831463760012803
bank_marketing_subscription,ft_transformer,lr0.003__wd0.0001__b256,1.6495413252918627e-15,9.342841170850713e-16,1.2410500867717407e-15,5.28859485682207e-13,0.00013371043053130981,0.018475545988319825
