dataset,model,precision,mean_final_mse,maximum_final_mse,paths,maximum_any_checkpoint_mse
bank_marketing_subscription,ft_transformer,fp32,0.0471686964895435,0.05190656920189081,12,0.05190656920189081
bank_marketing_subscription,ft_transformer,iea64,0.006793733185964737,0.02750912292526488,12,0.02750912292526488
bank_marketing_subscription,mlp,fp32,1.3476076910206149e-11,8.714733651799878e-11,12,8.714733651799878e-11
bank_marketing_subscription,mlp,iea64,8.781632385478186e-16,1.0537958862573823e-14,12,1.0537958862573823e-14
bank_marketing_subscription,resnet,fp32,0.024247489011490094,0.027995406101721097,12,0.027995406101721097
bank_marketing_subscription,resnet,iea64,0.001152895592586738,0.013834747111040857,12,0.013834747111040857
credit_card_default,ft_transformer,fp32,0.05954051163088701,0.06646502850068184,12,0.06646502850068184
credit_card_default,ft_transformer,iea64,0.012485331855845274,0.04339287649827394,12,0.04339287649827394
credit_card_default,mlp,fp32,3.525423057602569e-12,1.0641806801894181e-11,12,1.0641806801894181e-11
credit_card_default,mlp,iea64,1.3270960053689644e-15,1.5925152064427573e-14,12,1.5925152064427573e-14
credit_card_default,resnet,fp32,0.025869944212211383,0.028950527713492078,12,0.028950527713492078
credit_card_default,resnet,iea64,0.012660698324459553,0.025996091502858566,12,0.025996091502858566
fremtpl_claim_count,ft_transformer,fp32,0.3049551828144853,0.3741909582936705,12,0.3741909582936705
fremtpl_claim_count,ft_transformer,iea64,0.08341130881118564,0.21612880892697828,12,0.21612880892697828
fremtpl_claim_count,mlp,fp32,2.1936961144564577e-09,6.160396905643036e-09,12,6.160396905643036e-09
fremtpl_claim_count,mlp,iea64,1.2275757121849646e-12,7.383488653811553e-12,12,7.383488653811553e-12
fremtpl_claim_count,resnet,fp32,0.16681894315007587,0.20322455192626182,12,0.20322455192626182
fremtpl_claim_count,resnet,iea64,3.0163172981699667e-13,2.4086609790030522e-12,12,2.4086609790030522e-12
