stem,dataset,model,seed,log_mse_5,log_mse_10,log_mse_20,early_slope,late_slope,acceleration,level_branch,acceleration_branch,predicted_material,h6_predicted_material,h6_score,final_mse,material,delayed_material
bank_marketing_subscription__ft_transformer__seed8202,bank_marketing_subscription,ft_transformer,8202,-4.060424254209309,-2.6137897167113775,-1.9951735024986534,0.2893269074995863,0.061861621421272404,-0.22746528607831387,True,False,True,True,21.000608270271087,0.04483429342446025,True,False
bank_marketing_subscription__ft_transformer__seed8303,bank_marketing_subscription,ft_transformer,8303,-3.7194252186499015,-2.691257568009252,-1.9719245071292735,0.20563353012812993,0.07193330608799783,-0.1337002240401321,True,False,True,True,17.947582270802965,0.044501947710791544,True,False
bank_marketing_subscription__ft_transformer__seed8404,bank_marketing_subscription,ft_transformer,8404,-4.058925561330495,-2.680383708547722,-1.9509394888082312,0.2757083705565547,0.07294442197394906,-0.20276394858260566,True,False,True,True,21.75174807116711,0.050284489891236656,True,False
bank_marketing_subscription__mlp__seed8202,bank_marketing_subscription,mlp,8202,-15.30489519496273,-15.224180015764492,-15.017264600802163,0.016143035839647622,0.02069154149623298,0.004548505656585357,False,False,False,False,-11.525327183254904,2.5654600483376835e-12,False,False
bank_marketing_subscription__mlp__seed8303,bank_marketing_subscription,mlp,8303,-15.32059820188913,-15.272447861872147,-15.238246942949683,0.00963006800339663,0.0034200918922463685,-0.006209976111150262,False,False,False,False,-14.297791568401971,4.245089426023392e-11,False,False
bank_marketing_subscription__mlp__seed8404,bank_marketing_subscription,mlp,8404,-15.319783694065183,-15.240511102916884,-15.174879435493905,0.01585451822965993,0.006563166742297888,-0.009291351487362043,False,False,False,False,-13.506743708548653,2.7559612260352854e-12,False,False
bank_marketing_subscription__resnet__seed8202,bank_marketing_subscription,resnet,8202,-14.83113916583384,-14.263298341574233,-11.88916816197565,0.11356816485192134,0.23741301795985822,0.12384485310793689,False,True,True,True,24.39080477897363,0.027197406343091274,True,True
bank_marketing_subscription__resnet__seed8303,bank_marketing_subscription,resnet,8303,-14.696065789960715,-13.99836664692989,-12.054394376170196,0.13953982860616493,0.19439722707596943,0.0548573984698045,False,True,True,True,20.07903021159299,0.02271025577343651,True,True
bank_marketing_subscription__resnet__seed8404,bank_marketing_subscription,resnet,8404,-14.819157186163286,-14.36626130840806,-12.276722500910571,0.0905791755510453,0.20895388074974885,0.11837470519870355,False,True,True,True,19.16579482838902,0.023914043609041123,True,True
credit_card_default__ft_transformer__seed8202,credit_card_default,ft_transformer,8202,-3.8327035040411457,-3.1161071791669603,-2.2321747677410393,0.14331926497483707,0.0883932411425921,-0.05492602383224497,True,False,True,True,16.54260845203549,0.06305626683545167,True,False
credit_card_default__ft_transformer__seed8303,credit_card_default,ft_transformer,8303,-3.607225912020727,-3.1171622516244692,-2.1786544602819786,0.09801273207925157,0.09385077913424907,-0.004161952945002503,True,False,True,True,14.93150190172945,0.058412362943503944,True,False
credit_card_default__ft_transformer__seed8404,credit_card_default,ft_transformer,8404,-4.2582387305291,-3.5259821187652642,-2.332100769129958,0.14645132235276712,0.11938813496353062,-0.027063187389236493,True,False,True,True,20.568915438172976,0.05293513704383398,True,False
credit_card_default__mlp__seed8202,credit_card_default,mlp,8202,-15.132178499598137,-15.106873403402405,-15.030217438540559,0.005061019239146347,0.007665596486184612,0.002604577247038265,False,False,False,False,-13.785187486158431,1.762141359435809e-12,False,False
credit_card_default__mlp__seed8303,credit_card_default,mlp,8303,-15.118250917353986,-15.044770721440315,-14.939123778769018,0.01469603918273421,0.010564694267129759,-0.004131344915604452,False,False,False,False,-12.820179072520403,4.958957442262074e-12,False,False
credit_card_default__mlp__seed8404,credit_card_default,mlp,8404,-15.141573196035578,-15.106551047169194,-15.034563284026296,0.007004429773276755,0.007198776314289823,0.0001943465410130683,False,False,False,False,-13.747815781198712,6.407040564423935e-13,False,False
credit_card_default__resnet__seed8202,credit_card_default,resnet,8202,-14.55739662768138,-14.252410695740709,-13.054903024115578,0.06099718638813414,0.11975076716251305,0.058753580774378915,False,True,True,True,5.438405501729436,0.028613702547487185,True,True
credit_card_default__resnet__seed8303,credit_card_default,resnet,8303,-14.871444621731335,-14.745947062781708,-14.006788358631919,0.025099511789925442,0.0739158704149789,0.04881635862505345,False,True,True,True,-3.2440239025738595,0.02617779165771286,True,True
