dataset,task,model,seed,precision,action,feature_view,category_view,checkpoint,validation_prediction_mse,validation_max_gap,test_prediction_mse,test_max_gap,initial_validation_mse,amplification,validation_loss,reference_validation_loss,test_loss,reference_test_loss
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,0,2.3080163944353013e-15,2.384185791015625e-07,2.3167480442205632e-15,2.384185791015625e-07,2.3080163944353013e-15,1.0,0.8393413988229235,0.8393413990133411,0.8389098837219482,0.8389098820809049
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,1,8.112159579003792e-06,0.024337053298950195,8.19972229322382e-06,0.01986825466156006,2.3080163944353013e-15,3514775544.2996244,0.29166899428306214,0.2919760720408908,0.2983387573557212,0.29860897126082264
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,2,2.0590855826321928e-05,0.0338461697101593,1.9963020151988353e-05,0.03472122550010681,2.3080163944353013e-15,8921451284.300716,0.28967248468728,0.2896872156573757,0.2963534401778327,0.2964867736953016
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,5,9.046624972979064e-05,0.08788168430328369,9.424573963601653e-05,0.08067989349365234,2.3080163944353013e-15,39196536882.4535,0.28349631334577224,0.2838418444039158,0.29312520651618834,0.29356766517849914
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,10,0.002416396942524535,0.4950738251209259,0.0025816872689748455,0.46097058057785034,2.3080163944353013e-15,1046958309460.2545,0.29449412422781407,0.2979992244430711,0.3030728639913792,0.30391474932280366
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,20,0.00993395885095918,0.9271060228347778,0.009685276963390494,0.9330359101295471,2.3080163944353013e-15,4304111043106.219,0.33258674983860365,0.33247368355834306,0.33635109231191485,0.33308789068300204
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,50,0.024914920337041943,0.9939762949943542,0.026337741163559168,0.9928420186042786,2.3080163944353013e-15,10794949462712.91,0.4469521680965903,0.4305696558752577,0.45524583428275667,0.4487981278182882
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,100,0.037127736286207316,0.998926043510437,0.037767005734776704,0.9975070357322693,2.3080163944353013e-15,16086426585063.88,0.6121503417515983,0.6019769894890088,0.62056062226475,0.5986063810823447
bank_marketing_subscription,classification,ft_transformer,8101,fp32,1,1,1,200,0.04855668968530496,0.9997004866600037,0.05012594932170078,0.9998593926429749,2.3080163944353013e-15,21038277631985.906,0.7416535167604024,0.7569005430201045,0.7310207997482139,0.7791073886426326
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,0,2.359733485562498e-15,2.384185791015625e-07,2.3735176037236787e-15,2.682209014892578e-07,2.359733485562498e-15,1.0,0.8393413964436642,0.8393413990133411,0.8389098799051867,0.8389098820809049
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,1,8.637556406791662e-06,0.023851513862609863,8.694484203914492e-06,0.020286083221435547,2.359733485562498e-15,3660394896.1349325,0.2916626780954429,0.2919760720408908,0.2983264599426575,0.29860897126082264
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,2,1.2789495769890893e-05,0.030342042446136475,1.2304313486435049e-05,0.024115055799484253,2.359733485562498e-15,5419889935.9358015,0.2894342111379918,0.2896872156573757,0.2961218630615393,0.2964867736953016
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,5,0.0001109501670895346,0.10106444358825684,0.00011154032126006955,0.07467901706695557,2.359733485562498e-15,47018092411.010994,0.283268994156099,0.2838418444039158,0.2928030574514851,0.29356766517849914
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,10,0.002556435902136009,0.6367160677909851,0.002605793253823599,0.595550000667572,2.359733485562498e-15,1083357895193.2456,0.2989455615823131,0.2979992244430711,0.3052720044036536,0.30391474932280366
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,20,0.009608740756028487,0.9454221725463867,0.010038951627594737,0.915867805480957,2.359733485562498e-15,4071960166187.165,0.33588220523440543,0.33247368355834306,0.3423769658725266,0.33308789068300204
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,50,0.02574823840256798,0.9935365915298462,0.029886201600073336,0.9920691251754761,2.359733485562498e-15,10911502743891.555,0.4595227438434904,0.4305696558752577,0.4709184542037402,0.4487981278182882
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,100,0.04090704746344003,0.9994521141052246,0.04371939929980905,0.9993422627449036,2.359733485562498e-15,17335452377872.611,0.6563253492592814,0.6019769894890088,0.6565017562959888,0.5986063810823447
bank_marketing_subscription,classification,ft_transformer,8101,fp32,2,2,2,200,0.04954407285434134,0.9997681975364685,0.05164455270239509,0.9996889233589172,2.359733485562498e-15,20995622241861.5,0.7677002851264709,0.7569005430201045,0.7724416627549898,0.7791073886426326
bank_marketing_subscription,classification,ft_transformer,8101,fp32,3,3,3,0,2.3568357568098822e-15,2.980232238769531e-07,2.382455371742335e-15,2.384185791015625e-07,2.3568357568098822e-15,1.0,0.8393413993869936,0.8393413990133411,0.8389098823223224,0.8389098820809049
bank_marketing_subscription,classification,ft_transformer,8101,fp32,3,3,3,1,8.441470700587981e-06,0.023859649896621704,8.495128737719243e-06,0.02049177885055542,2.3568357568098822e-15,3581696635.498273,0.2916681365048717,0.2919760720408908,0.29832888106021926,0.29860897126082264
bank_marketing_subscription,classification,ft_transformer,8101,fp32,3,3,3,2,9.369696288961111e-06,0.021164536476135254,8.948482508785908e-06,0.021471291780471802,2.3568357568098822e-15,3975540621.313194,0.2896223340665467,0.2896872156573757,0.2964689187910747,0.2964867736953016
bank_marketing_subscription,classification,ft_transformer,8101,fp32,3,3,3,5,0.00010571852004495799,0.10179203748703003,0.00010966855503008848,0.08960309624671936,2.3568357568098822e-15,44856125311.02053,0.2838378944531175,0.2838418444039158,0.2933037832943123,0.29356766517849914
bank_marketing_subscription,classification,ft_transformer,8101,fp32,3,3,3,10,0.002851236419022154,0.6167712211608887,0.0032763050815736664,0.6547966003417969,2.3568357568098822e-15,1209773065765.7166,0.2972196417321044,0.2979992244430711,0.3084842043988701,0.30391474932280366
