dataset,model,seed,fp32,iea64,relative_loss_change
bank_marketing_subscription,ft_transformer,8101,0.7791073886426326,0.7166145885636396,-0.0802107655375577
bank_marketing_subscription,ft_transformer,8202,0.720281764381425,0.7181519829651027,-0.0029568726040861233
bank_marketing_subscription,ft_transformer,8303,0.7221783361906153,0.7834301550489075,0.08481536455577783
bank_marketing_subscription,ft_transformer,8404,0.7138543989046781,0.7375916499482773,0.03325223053891823
bank_marketing_subscription,mlp,8101,0.48454696267644426,0.48454731069291973,7.182306407385121e-07
bank_marketing_subscription,mlp,8202,0.5032151869095058,0.5032152290090443,8.366110464491097e-08
bank_marketing_subscription,mlp,8303,0.5103364454169771,0.5103339971023597,-4.7974520326007826e-06
bank_marketing_subscription,mlp,8404,0.4933738029187709,0.49337375888247065,-8.925544893633689e-08
bank_marketing_subscription,resnet,8101,0.8218263088040602,0.8456086106362629,0.028938355437673063
bank_marketing_subscription,resnet,8202,0.8466852850523113,0.8131242690748125,-0.03963812359798518
bank_marketing_subscription,resnet,8303,0.8370234660796312,0.8863228631000662,0.058898464640828735
bank_marketing_subscription,resnet,8404,0.8143152871978782,0.8399964779224056,0.03153715904425474
credit_card_default,ft_transformer,8101,0.9306031471441705,0.9264761496047768,-0.004434755622800786
credit_card_default,ft_transformer,8202,0.8519279748490465,0.879957074410353,0.03290078549923542
credit_card_default,ft_transformer,8303,0.8888048835902306,0.9001273256395045,0.012738951212259472
credit_card_default,ft_transformer,8404,0.8550404260060948,0.8819943761904575,0.03152359744002399
credit_card_default,mlp,8101,0.5491420773569295,0.5491420925550308,2.7676082108147915e-08
credit_card_default,mlp,8202,0.5189644883473793,0.518964330891375,-3.034041979393154e-07
credit_card_default,mlp,8303,0.5361385887684784,0.5361384620607872,-2.3633383957529374e-07
credit_card_default,mlp,8404,0.5414396660983403,0.5414397535660936,1.6154662993909912e-07
credit_card_default,resnet,8101,1.1024850425488166,1.095751045207176,-0.006108016963270986
credit_card_default,resnet,8202,1.1052514077198763,1.1333641280720652,0.025435588822442862
credit_card_default,resnet,8303,1.108353359988154,1.0998155357752348,-0.007703160852068438
credit_card_default,resnet,8404,1.0951083444123608,1.0827751520901001,-0.01126207501311548
fremtpl_claim_count,ft_transformer,8101,1.1402424708899666,1.136042637891054,-0.0036832806233174087
fremtpl_claim_count,ft_transformer,8202,1.2119644561301683,1.1485019449942306,-0.052363343508088536
fremtpl_claim_count,ft_transformer,8303,1.1041230817341612,1.1241615064663004,0.018148723691806555
fremtpl_claim_count,ft_transformer,8404,1.156224766582884,1.1119510948557174,-0.03829157877149902
fremtpl_claim_count,mlp,8101,1.0515266470743219,1.0515278911324542,1.1830971052892274e-06
fremtpl_claim_count,mlp,8202,1.0780922434952185,1.0780934073602135,1.079559752023616e-06
fremtpl_claim_count,mlp,8303,1.0468079864307192,1.0468094972906998,1.443301923814771e-06
fremtpl_claim_count,mlp,8404,1.058794834823028,1.0587943448035317,-4.6280873328496556e-07
fremtpl_claim_count,resnet,8101,1.095409280911338,1.0949148773082324,-0.00045134144079395875
fremtpl_claim_count,resnet,8202,1.1294587088921815,1.1240403546990496,-0.004797301707865353
fremtpl_claim_count,resnet,8303,1.0791870766518294,1.0718266511370653,-0.006820342528192419
fremtpl_claim_count,resnet,8404,1.0991226418964024,1.1012005176676374,0.0018904858220824654
