dataset,task,model,seed,precision,action,feature_view,category_view,checkpoint,validation_prediction_mse,validation_max_gap,test_prediction_mse,test_max_gap,initial_validation_mse,amplification,validation_loss,reference_validation_loss,test_loss,reference_test_loss
bank_marketing_subscription,classification,ft_transformer,6101,fp32,1,1,1,0,2.7243832190215755e-15,1.7881393432617188e-07,2.444225377651321e-15,1.7881393432617188e-07,2.7243832190215755e-15,1.0,0.6116508355622738,0.6116508374340426,0.6110140156406183,0.6110140184326843
bank_marketing_subscription,classification,ft_transformer,6101,fp32,1,1,1,1,8.666027964676637e-16,1.1920928955078125e-07,9.884129105464101e-16,1.1920928955078125e-07,2.7243832190215755e-15,0.31809137217446676,0.3591480054582987,0.3591479964116314,0.360681472463367,0.3606814763191941
bank_marketing_subscription,classification,ft_transformer,6101,fp32,1,1,1,2,1.0355757050495296e-15,1.1920928955078125e-07,9.737219711092315e-16,1.1920928955078125e-07,2.7243832190215755e-15,0.3801138172556511,0.3463583116721274,0.34635831549256263,0.3505815789371395,0.3505815840657531
bank_marketing_subscription,classification,ft_transformer,6101,fp32,1,1,1,5,1.5469866734190221e-12,5.900859832763672e-06,2.082886096130103e-12,7.987022399902344e-06,2.7243832190215755e-15,567.8300551177969,0.3003540063978991,0.3003539190960146,0.3222738118426372,0.32227369880360635
bank_marketing_subscription,classification,ft_transformer,6101,fp32,1,1,1,10,1.807068875587706e-07,0.0038698315620422363,1.4822666098774826e-07,0.00323486328125,2.7243832190215755e-15,66329467.27063933,0.3292667756816496,0.32936246680475056,0.33638758732959884,0.33643826573058067
bank_marketing_subscription,classification,ft_transformer,6101,fp32,1,1,1,20,0.005969880024784726,0.867860734462738,0.005041153438508257,0.46143925189971924,2.7243832190215755e-15,2191277637853.2847,0.40113441830545415,0.4222669324910172,0.41230172141851185,0.42384400371351655
bank_marketing_subscription,classification,ft_transformer,6101,fp32,2,2,2,0,2.6272387043668743e-15,1.7881393432617188e-07,2.4346843985334488e-15,1.7881393432617188e-07,2.6272387043668743e-15,1.0,0.6116508406140726,0.6116508374340426,0.6110140165935593,0.6110140184326843
bank_marketing_subscription,classification,ft_transformer,6101,fp32,2,2,2,1,1.2079559106453752e-09,0.00010305643081665039,1.1082905336198302e-09,0.0001125633716583252,2.6272387043668743e-15,459781.5602509079,0.35914326376745676,0.3591479964116314,0.36067714647718785,0.3606814763191941
bank_marketing_subscription,classification,ft_transformer,6101,fp32,2,2,2,2,4.8886246361776187e-08,0.0009319186210632324,4.805612667996067e-08,0.0007281899452209473,2.6272387043668743e-15,18607462.763288215,0.34636707697620295,0.34635831549256263,0.3505757972826137,0.3505815840657531
bank_marketing_subscription,classification,ft_transformer,6101,fp32,2,2,2,5,1.4871368598555013e-06,0.00811728835105896,1.2787085658071807e-06,0.006170809268951416,2.6272387043668743e-15,566045581.3868954,0.30022213811643533,0.3003539190960146,0.3223801578251929,0.32227369880360635
bank_marketing_subscription,classification,ft_transformer,6101,fp32,2,2,2,10,6.7336611217452e-05,0.06008821725845337,6.554503298567669e-05,0.07883858680725098,2.6272387043668743e-15,25630183928.673176,0.3333135460391144,0.32936246680475056,0.338242109883371,0.33643826573058067
bank_marketing_subscription,classification,ft_transformer,6101,fp32,2,2,2,20,0.006413690854941236,0.8557236194610596,0.008583187187921776,0.7763857245445251,2.6272387043668743e-15,2441228824880.1665,0.4396461619100512,0.4222669324910172,0.4258610444045139,0.42384400371351655
bank_marketing_subscription,classification,ft_transformer,6101,fp32,3,3,3,0,2.6966276434059466e-15,1.7881393432617188e-07,2.7451999007332972e-15,1.7881393432617188e-07,2.6966276434059466e-15,1.0,0.6116508421723107,0.6116508374340426,0.6110140188292745,0.6110140184326843
bank_marketing_subscription,classification,ft_transformer,6101,fp32,3,3,3,1,1.2080168836276807e-09,0.00010297447443008423,1.1082514057934173e-09,0.00011252611875534058,2.6966276434059466e-15,447973.18850514636,0.3591432576055901,0.3591479964116314,0.36067714709940046,0.3606814763191941
bank_marketing_subscription,classification,ft_transformer,6101,fp32,3,3,3,2,4.888767468933875e-08,0.0009319186210632324,4.8058181857982794e-08,0.000728219747543335,2.6966276434059466e-15,18129189.91944757,0.3463670771985014,0.34635831549256263,0.35057579838902597,0.3505815840657531
bank_marketing_subscription,classification,ft_transformer,6101,fp32,3,3,3,5,1.487161180451738e-06,0.008117377758026123,1.2787027531770454e-06,0.006170809268951416,2.6966276434059466e-15,551489258.8482832,0.30022213465975767,0.3003539190960146,0.32238016179967255,0.32227369880360635
bank_marketing_subscription,classification,ft_transformer,6101,fp32,3,3,3,10,6.733645992011776e-05,0.060088008642196655,6.554485582179727e-05,0.07883849740028381,2.6966276434059466e-15,24970618425.86067,0.33331354744843356,0.32936246680475056,0.3382421171371861,0.33643826573058067
bank_marketing_subscription,classification,ft_transformer,6101,fp32,3,3,3,20,0.006413658093117017,0.8557230830192566,0.008583200846373894,0.7763857841491699,2.6966276434059466e-15,2378399594323.047,0.43964626341810453,0.4222669324910172,0.42586114573599965,0.42384400371351655
bank_marketing_subscription,classification,ft_transformer,6101,iea64,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116508362503066,0.6116508362503066,0.6110140133497344,0.6110140133497344
bank_marketing_subscription,classification,ft_transformer,6101,iea64,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3591432635103683,0.3591432635103683,0.3606771479557992,0.3606771479557992
bank_marketing_subscription,classification,ft_transformer,6101,iea64,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.34636707876891937,0.34636707876891937,0.35057579786989396,0.35057579786989396
bank_marketing_subscription,classification,ft_transformer,6101,iea64,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.30022210944305205,0.30022210944305205,0.3223801689892264,0.3223801689892264
bank_marketing_subscription,classification,ft_transformer,6101,iea64,1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.33327903389655206,0.33327903389655206,0.3382543777300404,0.3382543777300404
bank_marketing_subscription,classification,ft_transformer,6101,iea64,1,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.4144948679901286,0.4144948679901286,0.417378916328941,0.417378916328941
bank_marketing_subscription,classification,ft_transformer,6101,iea64,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116508362503066,0.6116508362503066,0.6110140133497344,0.6110140133497344
bank_marketing_subscription,classification,ft_transformer,6101,iea64,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3591432635103683,0.3591432635103683,0.3606771479557992,0.3606771479557992
bank_marketing_subscription,classification,ft_transformer,6101,iea64,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.34636707876891937,0.34636707876891937,0.35057579786989396,0.35057579786989396
bank_marketing_subscription,classification,ft_transformer,6101,iea64,2,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.30022210944305205,0.30022210944305205,0.3223801689892264,0.3223801689892264
bank_marketing_subscription,classification,ft_transformer,6101,iea64,2,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.33327903389655206,0.33327903389655206,0.3382543777300404,0.3382543777300404
bank_marketing_subscription,classification,ft_transformer,6101,iea64,2,2,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.4144948679901286,0.4144948679901286,0.417378916328941,0.417378916328941
