domain,seed,schema,method,train_mse,val_mse,test_mse,best_epoch,epochs_ran,parameter_count
cycle,20260920,0,ple,0.017206113785505295,0.015277093276381493,1.5637274980545044,117,148,5569
cycle,20260920,0,periodic,0.02445693500339985,0.025278588756918907,1.4505070447921753,74,105,5569
cycle,20260920,0,code_rbf,0.01714780554175377,0.01530879270285368,1.914239525794983,135,166,5569
cycle,20260920,0,u_ple,0.017144301906228065,0.015334025025367737,1.5236479043960571,162,193,5569
cycle,20260920,0,mpe_native,0.017666196450591087,0.015383007936179638,0.02021675743162632,69,100,5569
cycle,20260920,0,mpe_corrupt,0.017251966521143913,0.015282096341252327,3.1567094326019287,167,198,5569
cycle,20260920,1,ple,0.017136622220277786,0.015384403988718987,1.298614501953125,298,300,5569
cycle,20260920,1,periodic,0.06951846927404404,0.04777826368808746,1.4827699661254883,92,123,5569
cycle,20260920,1,code_rbf,0.01744806580245495,0.015438094735145569,1.7156587839126587,158,189,5569
cycle,20260920,1,u_ple,0.017171673476696014,0.015287177637219429,1.5851784944534302,244,275,5569
cycle,20260920,1,mpe_native,0.017666196450591087,0.015383007936179638,0.02021675743162632,69,100,5569
cycle,20260920,1,mpe_corrupt,0.017251966521143913,0.015282096341252327,3.1567094326019287,167,198,5569
cycle,20260920,2,ple,0.017139820381999016,0.01532225776463747,1.4828959703445435,177,208,5569
cycle,20260920,2,periodic,0.0890321210026741,0.10200471431016922,1.5760735273361206,99,130,5569
cycle,20260920,2,code_rbf,0.01713809184730053,0.015375354327261448,1.60421884059906,299,300,5569
cycle,20260920,2,u_ple,0.01718488149344921,0.01532283890992403,1.4401769638061523,166,197,5569
cycle,20260920,2,mpe_native,0.017666196450591087,0.015383007936179638,0.02021675743162632,69,100,5569
cycle,20260920,2,mpe_corrupt,0.017251966521143913,0.015282096341252327,3.1567094326019287,167,198,5569
cycle,20260920,3,ple,0.017325738444924355,0.015110144391655922,0.9728898406028748,238,269,5569
cycle,20260920,3,periodic,0.09081754833459854,0.0900249183177948,1.3044100999832153,60,91,5569
cycle,20260920,3,code_rbf,0.01713760755956173,0.015328211709856987,1.6412349939346313,187,218,5569
cycle,20260920,3,u_ple,0.017396241426467896,0.015207240357995033,2.0387461185455322,215,246,5569
cycle,20260920,3,mpe_native,0.017666196450591087,0.015383007936179638,0.02021675743162632,69,100,5569
cycle,20260920,3,mpe_corrupt,0.017251966521143913,0.015282096341252327,3.1567094326019287,167,198,5569
cycle,20260921,0,ple,0.01606353186070919,0.017441125586628914,0.5302677750587463,277,300,5569
cycle,20260921,0,periodic,0.036279141902923584,0.03947901725769043,0.5895715951919556,92,123,5569
cycle,20260921,0,code_rbf,0.016026915982365608,0.01746477745473385,0.6342182755470276,195,226,5569
cycle,20260921,0,u_ple,0.01600203849375248,0.017482619732618332,0.4438510239124298,173,204,5569
