dataset,model,seed,method,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
uci-bike-hourly,mlp,20260930,qple,102,29825,30,0.0552314892411232,0.07217007130384445,0.0879514217376709,0.37119059749835515,0.40976969189799206,0.2391938716173172,8.016528129577637,0.017523624002933502,2.725815779995173
uci-bike-hourly,mlp,20260930,periodic,102,29825,16,0.05131661146879196,0.06320372223854065,0.08368014544248581,0.34736795657198627,0.39969583000768694,0.20437787473201752,7.300830364227295,0.017523914575576782,1.6772716040723026
uci-bike-hourly,mlp,20260930,code_rbf,102,29825,14,0.0665065348148346,0.0911184623837471,0.09669677168130875,0.41708213628353974,0.4296594747413849,0.1535712480545044,8.270833015441895,0.01752444915473461,1.5374573201406747
uci-bike-hourly,mlp,20260930,mpe_ring,102,29825,38,0.05110751464962959,0.07249727845191956,0.08845184743404388,0.3720311291730809,0.4109338027369347,0.15370815992355347,9.81096076965332,0.01752385124564171,2.797808364033699
uci-bike-hourly,mlp,20260930,mmpe_ring,102,29825,26,0.053395770490169525,0.0810442566871643,0.09385916590690613,0.3933503347102203,0.42330829683706384,0.15324486792087555,9.234285354614258,0.01752428710460663,2.2919640520121902
uci-bike-hourly,mlp,20260930,mpe_corrupt,102,29825,37,0.10917991399765015,0.14356127381324768,0.15402857959270477,0.5235245688709256,0.5422743713653517,0.1483580619096756,11.824658393859863,0.01752420701086521,2.6335495009552687
uci-bike-hourly,mlp,20260931,qple,102,29825,24,0.05764394998550415,0.07916585355997086,0.10240263491868973,0.3887651710099931,0.4421544153998411,0.26957470178604126,7.711480617523193,0.017533477395772934,1.9473285442218184
uci-bike-hourly,mlp,20260931,periodic,102,29825,18,0.05065590888261795,0.05932655930519104,0.07970021665096283,0.3365448964997313,0.3900750530682444,0.22476491332054138,7.386018753051758,0.01753377914428711,1.6586006139405072
uci-bike-hourly,mlp,20260931,code_rbf,102,29825,12,0.08853282034397125,0.08480866253376007,0.10673487931489944,0.40238197356077876,0.4514104348645276,0.20075547695159912,8.148713111877441,0.017534378916025162,1.1848468680400401
uci-bike-hourly,mlp,20260931,mpe_ring,102,29825,29,0.056469835340976715,0.06871645152568817,0.08063007891178131,0.3622002604932675,0.3923439368006427,0.19994041323661804,9.384537696838379,0.017534540966153145,2.5817056791856885
