domain,seed,schema,method,dimension,alpha,train_mse,val_mse,test_mse
interval,20260880,0,ple_local,16,1.0,0.05472105240852039,0.057913065659715,0.06094588848758985
interval,20260880,0,ple_whitened,16,10.0,0.05477817654770792,0.057877154993428215,0.06094361687626735
interval,20260880,0,u_ple,16,10.0,0.05879302583205837,0.06377651954471374,0.06445492091683418
interval,20260880,1,ple_local,16,1.0,0.05622933246129425,0.058378926436276776,0.06176955673131431
interval,20260880,1,ple_whitened,16,10.0,0.05628589696237403,0.058365101241916476,0.061762686394383336
interval,20260880,1,u_ple,16,1.0,0.10832622333689755,0.11626503013769295,0.11310841368210428
interval,20260880,2,ple_local,16,1.0,0.05797174711368121,0.05960160865617915,0.06324033694216556
interval,20260880,2,ple_whitened,16,10.0,0.05802781459386827,0.05959064056885169,0.06322026384704761
interval,20260880,2,u_ple,16,1.0,0.1357994871592894,0.1358132793336698,0.13552809045101252
interval,20260880,3,ple_local,16,1.0,0.05523072088186685,0.05918557982477887,0.061807671439279614
interval,20260880,3,ple_whitened,16,10.0,0.055288103903852366,0.059119322203926045,0.06180010772976692
interval,20260880,3,u_ple,16,1.0,0.058624545029843995,0.06485708116964631,0.06626694744777287
interval,20260880,4,ple_local,16,1.0,0.05475824948912468,0.0581730576773818,0.06096936014704312
interval,20260880,4,ple_whitened,16,10.0,0.05481470386244581,0.058132790075764974,0.06096302214699248
interval,20260880,4,u_ple,16,1e-06,0.09946227028451847,0.09278561409199579,0.0999788028257498
interval,20260880,5,ple_local,16,1.0,0.054721672966953544,0.05793693053382933,0.06103352742252708
interval,20260880,5,ple_whitened,16,10.0,0.054779113767526665,0.05789670200247234,0.061036194867492406
interval,20260880,5,u_ple,16,1e-06,0.08849567372880726,0.08834510848091544,0.09261999002932697
interval,20260880,6,ple_local,16,1.0,0.054810181707394476,0.057715397795725494,0.060967605392654806
interval,20260880,6,ple_whitened,16,10.0,0.05486879525410688,0.057689134037923175,0.06095949749689746
interval,20260880,6,u_ple,16,1.0,0.07855469310736071,0.07876102371700616,0.08256781319938203
interval,20260880,7,ple_local,16,1.0,0.056318032875908045,0.058698516033459554,0.06287258081468891
interval,20260880,7,ple_whitened,16,10.0,0.05638079542147032,0.05865882720637883,0.06287455314315428
interval,20260880,7,u_ple,16,1e-06,0.09968744060436141,0.10018996050002381,0.11181628707296369
interval,20260881,0,ple_local,16,10.0,0.06139251360932621,0.06711785142218218,0.071057259229785
interval,20260881,0,ple_whitened,16,0.1,0.0607881564171619,0.06724316703501981,0.07063546826228657
interval,20260881,0,u_ple,16,1e-06,0.05983442924804734,0.06727892562515747,0.067188951033877
interval,20260881,1,ple_local,16,10.0,0.06275173193579157,0.06719972612636244,0.07162161561676056
interval,20260881,1,ple_whitened,16,1e-06,0.06211930326007815,0.06728984118237809,0.07116293691382422
interval,20260881,1,u_ple,16,1e-06,0.1217918133069049,0.12685100190274062,0.11424415329623173
interval,20260881,2,ple_local,16,1.0,0.06366667457666991,0.06815327375403718,0.07245174401583547
interval,20260881,2,ple_whitened,16,1e-06,0.06365645791387216,0.06821788724561913,0.07245837401844722
interval,20260881,2,u_ple,16,1e-06,0.14780551588456045,0.15373870606248377,0.15195992149740395
interval,20260881,3,ple_local,16,10.0,0.06191424385333569,0.0683615087088802,0.07230900635113892
interval,20260881,3,ple_whitened,16,1e-06,0.06133121249770601,0.06848094043091311,0.07192062767500763
interval,20260881,3,u_ple,16,1e-06,0.06187099792044307,0.0648391566732219,0.07088918968946341
interval,20260881,4,ple_local,16,10.0,0.06093347460085669,0.06612221766069018,0.07037796756534875
interval,20260881,4,ple_whitened,16,1e-06,0.06028896452605823,0.0661976711285607,0.06987729575228921
interval,20260881,4,u_ple,16,1.0,0.10131379520319386,0.11239168508173199,0.09986112942912607
interval,20260881,5,ple_local,16,10.0,0.061641650776178655,0.06799152018396688,0.07165209910946282
interval,20260881,5,ple_whitened,16,1.0,0.06105829988630859,0.06814200116875625,0.0712616797019174
interval,20260881,5,u_ple,16,10.0,0.09781437631003825,0.09228263879706594,0.0934049300815322
interval,20260881,6,ple_local,16,10.0,0.06214102602180312,0.06781913903281446,0.0716452496763537
interval,20260881,6,ple_whitened,16,1.0,0.06163138825263339,0.06802712903289197,0.07139184030317554
interval,20260881,6,u_ple,16,1e-06,0.08389800872150609,0.0825469140447851,0.08760604886555433
interval,20260881,7,ple_local,16,10.0,0.06276051923722428,0.06896798195971987,0.07334445007167169
interval,20260881,7,ple_whitened,16,1.0,0.06257577080876113,0.06921841480316633,0.07353248374178707
interval,20260881,7,u_ple,16,1.0,0.10920120046787554,0.09879454154120476,0.10636694579911041
interval,20260882,0,ple_local,16,1e-06,0.054762582688397905,0.06155290945768975,0.053810517935958965
interval,20260882,0,ple_whitened,16,10.0,0.054827143675851744,0.06115801801120565,0.05398861165470848
interval,20260882,0,u_ple,16,1e-06,0.06171348423632112,0.06422372500107182,0.060018278598322185
interval,20260882,1,ple_local,16,1e-06,0.056284099654752236,0.06438345460749295,0.05435409540129486
interval,20260882,1,ple_whitened,16,10.0,0.05634855672054999,0.06403281734425435,0.054535862243545785
interval,20260882,1,u_ple,16,10.0,0.10484899724050983,0.14076550205144966,0.09642701891564168
interval,20260882,2,ple_local,16,1e-06,0.05812512639494145,0.06809120160461207,0.05546397701506962
interval,20260882,2,ple_whitened,16,10.0,0.058189457716135706,0.06775166162267406,0.05564421263275807
interval,20260882,2,u_ple,16,1e-06,0.14291612042001856,0.14869613132297743,0.13394171499555363
interval,20260882,3,ple_local,16,1e-06,0.054822497395025885,0.06251994791803459,0.05447165301408451
interval,20260882,3,ple_whitened,16,10.0,0.05488705429022462,0.06206503668853445,0.054638792416464466
interval,20260882,3,u_ple,16,1.0,0.06387288437054885,0.06432091439881321,0.06021330935773586
interval,20260882,4,ple_local,16,1e-06,0.05527439446759116,0.062072145255501934,0.05435724655956833
interval,20260882,4,ple_whitened,16,10.0,0.055338920497611806,0.06168974882451426,0.054533726592273485
interval,20260882,4,u_ple,16,1.0,0.09474356050824721,0.11259759532031702,0.08699879597931028
interval,20260882,5,ple_local,16,1e-06,0.05442695699661916,0.06133197463714996,0.05367406380521145
interval,20260882,5,ple_whitened,16,10.0,0.05449154090775932,0.06091290035740785,0.05384933683358646
interval,20260882,5,u_ple,16,10.0,0.09157782704651152,0.10616234042161292,0.09300334512910681
interval,20260882,6,ple_local,16,1e-06,0.05445842902174462,0.061227820687184645,0.05292283775415144
interval,20260882,6,ple_whitened,16,10.0,0.054523010783303134,0.06084551511877742,0.0531106250536483
interval,20260882,6,u_ple,16,1.0,0.07999103949440683,0.10316846035904619,0.07480121912327355
interval,20260882,7,ple_local,16,1.0,0.05592280387343595,0.06394539068320343,0.05457911766653631
interval,20260882,7,ple_whitened,16,10.0,0.05598521357169111,0.0635429462866657,0.05479730437530377
interval,20260882,7,u_ple,16,10.0,0.10893496507394343,0.1225650581192937,0.11367081352379178
interval,20260883,0,ple_local,16,1e-06,0.06273422802050135,0.05611325847742119,0.0640210282679715
interval,20260883,0,ple_whitened,16,1e-06,0.06273422802050135,0.05611325842546959,0.06402102819985572
interval,20260883,0,u_ple,16,1.0,0.06275610067298562,0.05614637400698703,0.0630457655091167
interval,20260883,1,ple_local,16,1e-06,0.06329109271200334,0.05758332181879654,0.0655201855150659
interval,20260883,1,ple_whitened,16,1e-06,0.06329109271200332,0.05758332176485096,0.0655201854425119
interval,20260883,1,u_ple,16,1.0,0.1239719757682478,0.12001594161338244,0.12696755053773617
interval,20260883,2,ple_local,16,1e-06,0.0643003857054584,0.05928553757162138,0.067101233128372
interval,20260883,2,ple_whitened,16,1e-06,0.0643003857054584,0.0592855375162522,0.06710123305205648
interval,20260883,2,u_ple,16,1.0,0.15046215172833838,0.1571463120338359,0.146935012487405
