domain,seed,schema,method,dimension,alpha,train_mse,val_mse,test_mse
interval,20260883,3,ple_local,16,1e-06,0.06358384127807612,0.05607714763556577,0.0644218603105993
interval,20260883,3,ple_whitened,16,1e-06,0.06358384127807612,0.05607714758376591,0.06442186024445803
interval,20260883,3,u_ple,16,1.0,0.06299649798936248,0.06335600649178262,0.0641807445451409
interval,20260883,4,ple_local,16,1e-06,0.06228085493333849,0.05592419668429684,0.06353518680155108
interval,20260883,4,ple_whitened,16,1e-06,0.0622808549333385,0.05592419663138971,0.06353518672952059
interval,20260883,4,u_ple,16,1.0,0.10592726819813018,0.1082556061900119,0.10692467265040025
interval,20260883,5,ple_local,16,1e-06,0.06313356087375382,0.056082674380667,0.06437920474490726
interval,20260883,5,ple_whitened,16,1e-06,0.06313356087375382,0.056082674329253825,0.06437920467882419
interval,20260883,5,u_ple,16,1.0,0.09768614362358329,0.09125295563631156,0.0953082415024331
interval,20260883,6,ple_local,16,1e-06,0.06315311575297552,0.05681032346382995,0.06435053943430827
interval,20260883,6,ple_whitened,16,1e-06,0.06315311575297552,0.05681032341379799,0.0643505393759054
interval,20260883,6,u_ple,16,1.0,0.08849173868489539,0.08815061638045474,0.09129221200014644
interval,20260883,7,ple_local,16,1e-06,0.0638429273954554,0.057465500614260055,0.06494146315357445
interval,20260883,7,ple_whitened,16,1e-06,0.06384292739545538,0.05746550058105202,0.06494146314723499
interval,20260883,7,u_ple,16,1.0,0.1264940333032649,0.11085752295827919,0.10381849808691367
interval,20260884,0,ple_local,16,1.0,0.06406994959417264,0.05905765910195578,0.05880032189880694
interval,20260884,0,ple_whitened,16,10.0,0.06412327809159639,0.059145883707865735,0.059041406152264185
interval,20260884,0,u_ple,16,1.0,0.06531131552620657,0.05969800156721927,0.0615161582604402
interval,20260884,1,ple_local,16,1.0,0.06624726724349841,0.05996694225218481,0.06001487975536341
interval,20260884,1,ple_whitened,16,1.0,0.06623665420120943,0.06006915192729096,0.060108699089638847
interval,20260884,1,u_ple,16,1.0,0.12091716769817291,0.1146811409180598,0.11692148574313256
interval,20260884,2,ple_local,16,1.0,0.0684386742096255,0.061500286729743586,0.06200547307422523
interval,20260884,2,ple_whitened,16,1.0,0.06842749773372687,0.06160805949231607,0.06210376688336346
interval,20260884,2,u_ple,16,1.0,0.15087552845502109,0.1433020319535036,0.1530334612611406
interval,20260884,3,ple_local,16,1.0,0.0639501411519916,0.059823873418719226,0.05973956687821417
interval,20260884,3,ple_whitened,16,10.0,0.06400388861311876,0.059897455983545046,0.05998184961379046
interval,20260884,3,u_ple,16,1.0,0.06794825356024617,0.061792630380172964,0.06486095723533238
interval,20260884,4,ple_local,16,1.0,0.06473224900067152,0.05962600836813642,0.05957446899790053
interval,20260884,4,ple_whitened,16,10.0,0.06478456620466214,0.05972549310176317,0.0598195639509701
interval,20260884,4,u_ple,16,1.0,0.10392656171046023,0.10356404339281484,0.10751262482487779
interval,20260884,5,ple_local,16,1.0,0.06361522136129831,0.058856138526232386,0.05854388872347485
interval,20260884,5,ple_whitened,16,10.0,0.06366903198165746,0.05893489146963644,0.05878525288493195
interval,20260884,5,u_ple,16,1e-06,0.09797493885123333,0.08710771332196138,0.08455596068278164
interval,20260884,6,ple_local,16,1.0,0.06334649345613447,0.05824682231247343,0.05742812660529161
interval,20260884,6,ple_whitened,16,10.0,0.06340203672492212,0.058319067243859116,0.057652549668157096
interval,20260884,6,u_ple,16,1e-06,0.09170586249137018,0.08591442968269301,0.08701802023606212
interval,20260884,7,ple_local,16,1.0,0.06452462234775214,0.06005901846636913,0.05746110558585171
interval,20260884,7,ple_whitened,16,1.0,0.06452303134547979,0.06005877940680954,0.05747938973525527
interval,20260884,7,u_ple,16,1.0,0.11381784257382392,0.12378492129423516,0.10198957634906887
interval,20260885,0,ple_local,16,1.0,0.0533457025836724,0.06110799557389467,0.04951968464174294
interval,20260885,0,ple_whitened,16,1e-06,0.0533387893094685,0.061147487859246195,0.04950703828673191
interval,20260885,0,u_ple,16,1.0,0.0588499527762439,0.06931698956162269,0.0533924360347611
interval,20260885,1,ple_local,16,1.0,0.05440631477177414,0.06251590902420937,0.05058170113630309
interval,20260885,1,ple_whitened,16,1e-06,0.05439901298529856,0.06255592078780989,0.05056941700498498
interval,20260885,1,u_ple,16,1e-06,0.11328903667870001,0.1145499927892558,0.09585161579300783
interval,20260885,2,ple_local,16,1.0,0.056047527682568585,0.06413218793102221,0.052015772483030576
interval,20260885,2,ple_whitened,16,1e-06,0.05603993099547145,0.06417217415802372,0.05200293161127626
interval,20260885,2,u_ple,16,1.0,0.1387466044270031,0.14844114536576572,0.13269790010900218
interval,20260885,3,ple_local,16,1.0,0.05408771072887885,0.060733930310139,0.04995685461250706
interval,20260885,3,ple_whitened,16,1e-06,0.054081068427290664,0.060770694463621364,0.04994420739883077
interval,20260885,3,u_ple,16,1.0,0.06049545169998036,0.06638258148176027,0.055416805133334135
interval,20260885,4,ple_local,16,1.0,0.05379370643069805,0.061765414352188894,0.049961645901865775
interval,20260885,4,ple_whitened,16,1e-06,0.053786274779885894,0.06180525587321792,0.04994610799874274
interval,20260885,4,u_ple,16,1e-06,0.0991178226919592,0.10456163066287286,0.0859948269996711
interval,20260885,5,ple_local,16,1.0,0.053183880963635265,0.060578163521151696,0.04930148362447377
interval,20260885,5,ple_whitened,16,1e-06,0.05317721515554848,0.06061673218826782,0.04928975419266422
interval,20260885,5,u_ple,16,1.0,0.09241978676605998,0.10233312684538338,0.08134049218255932
interval,20260885,6,ple_local,16,1.0,0.0526735219388,0.06061194784141341,0.04904479034786038
interval,20260885,6,ple_whitened,16,1e-06,0.05266782510561742,0.060652597779862115,0.04904064819512369
interval,20260885,6,u_ple,16,1.0,0.08311229540008444,0.08555086591884858,0.0719120304923698
interval,20260885,7,ple_local,16,1.0,0.054015715606143835,0.060897614895608035,0.049709646305325525
interval,20260885,7,ple_whitened,16,1e-06,0.054013906803313166,0.0609225406404353,0.04972146761358731
interval,20260885,7,u_ple,16,1e-06,0.10790661335720254,0.1157926774520617,0.089371837252296
interval,20260886,0,ple_local,16,1.0,0.06108842675447603,0.06018574926668307,0.06480383448325018
interval,20260886,0,ple_whitened,16,1e-06,0.06107944872331976,0.06026435102992758,0.06468670937237456
interval,20260886,0,u_ple,16,1e-06,0.06194563005015264,0.06101005926307413,0.06542144121038625
interval,20260886,1,ple_local,16,1.0,0.06102900892694926,0.0594923754326415,0.06442673704648878
interval,20260886,1,ple_whitened,16,1e-06,0.06101967463858334,0.05957029265979559,0.06430434732731892
interval,20260886,1,u_ple,16,0.1,0.11526884319638704,0.12683514885922645,0.12319961390039458
interval,20260886,2,ple_local,16,1.0,0.06145382707626807,0.059496490655882736,0.06448010291937062
interval,20260886,2,ple_whitened,16,1e-06,0.06144421195556418,0.059573069657537905,0.06435299182005168
interval,20260886,2,u_ple,16,1e-06,0.1452516716728583,0.1548811375876007,0.15064814213734437
interval,20260886,3,ple_local,16,1.0,0.0618102580037474,0.061219652165804314,0.06567762039948595
interval,20260886,3,ple_whitened,16,1e-06,0.061801463054976497,0.061297766364051105,0.06556269132400717
interval,20260886,3,u_ple,16,1e-06,0.06388330052271642,0.06334382952147238,0.06715962624050427
interval,20260886,4,ple_local,16,1.0,0.06057829592531896,0.05969577010066013,0.06406942618999852
interval,20260886,4,ple_whitened,16,1e-06,0.06056890859387337,0.059773612172947625,0.06394824099279513
interval,20260886,4,u_ple,16,1e-06,0.10058480480863605,0.11027985160884513,0.1021719795020496
interval,20260886,5,ple_local,16,1.0,0.06161198682618952,0.06081702453187811,0.06544520649646714
interval,20260886,5,ple_whitened,16,1e-06,0.06160320739014608,0.060896014696338555,0.06533029981197394
interval,20260886,5,u_ple,16,1e-06,0.09770355623833676,0.09634306539579718,0.10873277872594099
interval,20260886,6,ple_local,16,10.0,0.06177801072100581,0.060226655938133006,0.06667932187196962
interval,20260886,6,ple_whitened,16,1e-06,0.06121458445623831,0.06034509988636896,0.06519634128260819
interval,20260886,6,u_ple,16,1e-06,0.08958891739392572,0.08829348230848169,0.09882909212823206
interval,20260886,7,ple_local,16,10.0,0.06286141450776328,0.060485916748273194,0.0680298424217976
interval,20260886,7,ple_whitened,16,1e-06,0.06259280298114113,0.060798118426637196,0.06715554511635423
interval,20260886,7,u_ple,16,1e-06,0.1232901877334155,0.12288355577713644,0.13084472590471805
interval,20260887,0,ple_local,16,0.1,0.05798736934870286,0.05405981306662792,0.055663722004463644
interval,20260887,0,ple_whitened,16,10.0,0.058051639523646704,0.053768857230564626,0.055366045876617954
interval,20260887,0,u_ple,16,10.0,0.0643229518594625,0.056242854539191915,0.0580519234833428
interval,20260887,1,ple_local,16,0.1,0.05988165481064018,0.05532413256799049,0.05798173277572966
interval,20260887,1,ple_whitened,16,10.0,0.05994579131296688,0.055045514353064436,0.05766908478460915
interval,20260887,1,u_ple,16,10.0,0.1014893362407507,0.10843031697112795,0.10564577320343295
interval,20260887,2,ple_local,16,0.1,0.06210455084476083,0.057281411005887295,0.060654547409972136
interval,20260887,2,ple_whitened,16,10.0,0.0621685320341232,0.05700740994230521,0.060336495836762816
interval,20260887,2,u_ple,16,1e-06,0.13123214197610542,0.12576370648493052,0.13410252209683804
interval,20260887,3,ple_local,16,0.1,0.0583750926374154,0.05487847089982543,0.05611856644403146
interval,20260887,3,ple_whitened,16,10.0,0.05843933917814605,0.054577009812543625,0.055837863721198935
interval,20260887,3,u_ple,16,1.0,0.06279267993105482,0.055545974034292775,0.05676303419551237
interval,20260887,4,ple_local,16,0.1,0.058351191403834095,0.05432095278647294,0.05599305185668913
interval,20260887,4,ple_whitened,16,10.0,0.05841543038929236,0.05402819231850303,0.05568341284639298
interval,20260887,4,u_ple,16,1.0,0.08875146992153378,0.09094410523146682,0.09752638667604555
interval,20260887,5,ple_local,16,0.1,0.05772398037895068,0.05393042603778488,0.05542554864524246
interval,20260887,5,ple_whitened,16,10.0,0.057788271560864635,0.053637674474772384,0.05513905990016101
interval,20260887,5,u_ple,16,1.0,0.08963444508783923,0.08970624779575445,0.09162634919582154
interval,20260887,6,ple_local,16,0.01,0.05784590556786455,0.054068579322497694,0.055711465981285443
interval,20260887,6,ple_whitened,16,10.0,0.05791025539384716,0.05378536371137067,0.05543274934265234
interval,20260887,6,u_ple,16,1.0,0.07760446890324622,0.07895135274592001,0.07928749298497602
interval,20260887,7,ple_local,16,1e-06,0.05930268835986598,0.05671570439708141,0.05716520037852149
interval,20260887,7,ple_whitened,16,10.0,0.05936693925199357,0.056436436666723766,0.05689509596622325
interval,20260887,7,u_ple,16,10.0,0.1112109809734864,0.134329815962624,0.11511264202518305
interval,20260888,0,ple_local,16,1.0,0.05744402664202488,0.05715025892079297,0.05460524924382864
interval,20260888,0,ple_whitened,16,10.0,0.05750156680175755,0.05709235462885795,0.054562295437874046
interval,20260888,0,u_ple,16,1e-06,0.06624213353885736,0.07132690779857814,0.0633100943071896
interval,20260888,1,ple_local,16,1.0,0.05918469669331807,0.05920755685123028,0.05631958701572496
interval,20260888,1,ple_whitened,16,10.0,0.05924181903156864,0.05915667399142235,0.05627856022635334
interval,20260888,1,u_ple,16,1e-06,0.11800779877741753,0.09886854132200774,0.11006663180517852
interval,20260888,2,ple_local,16,1.0,0.06137923012478651,0.06098365189861456,0.05845357084697132
interval,20260888,2,ple_whitened,16,10.0,0.06143596964451194,0.06094300644933952,0.058410932859783056
interval,20260888,2,u_ple,16,1.0,0.14756288245825241,0.13406105530685777,0.14684493494104392
interval,20260888,3,ple_local,16,1.0,0.057412428550892486,0.056869624713126295,0.05477630781276665
interval,20260888,3,ple_whitened,16,10.0,0.05747016929348625,0.056802845475684025,0.0547266943834366
interval,20260888,3,u_ple,16,1e-06,0.06561406051307064,0.07475898707508818,0.06513027661243144
interval,20260888,4,ple_local,16,1.0,0.05810562665438591,0.05715973507857658,0.05540639291945782
interval,20260888,4,ple_whitened,16,10.0,0.058162742126838654,0.057122262535419834,0.05536403656347619
interval,20260888,4,u_ple,16,1e-06,0.11002193846551715,0.09181707854005125,0.1037515747270281
interval,20260888,5,ple_local,16,10.0,0.057523523023054135,0.05699750187396189,0.05467311650339435
interval,20260888,5,ple_whitened,16,10.0,0.05711053397407246,0.05692988002237391,0.054159335190558565
interval,20260888,5,u_ple,16,1e-06,0.10190329294571804,0.09520123850095398,0.10576108864006532
interval,20260888,6,ple_local,16,10.0,0.05739046857197733,0.05782388647320784,0.05418802302146559
interval,20260888,6,ple_whitened,16,10.0,0.05702089459851623,0.05782474056776206,0.05374462679735897
interval,20260888,6,u_ple,16,10.0,0.08960781951721863,0.0941037876073869,0.09160445335088253
interval,20260888,7,ple_local,16,10.0,0.05855419441102865,0.05965428884459922,0.054640829373577386
interval,20260888,7,ple_whitened,16,10.0,0.05843806989838853,0.05980940098218266,0.054529496374564605
interval,20260888,7,u_ple,16,1e-06,0.1263746238359362,0.12429718569401052,0.11117847331539871
interval,20260889,0,ple_local,16,1e-06,0.059451502074561374,0.06355166486834983,0.06910276421072949
interval,20260889,0,ple_whitened,16,1e-06,0.059451502074561374,0.06355166482220478,0.06910276426469439
interval,20260889,0,u_ple,16,1e-06,0.0583645612804237,0.06021299593597074,0.07022998867533936
interval,20260889,1,ple_local,16,1e-06,0.06049924141866585,0.06472504861761305,0.06991750860514695
interval,20260889,1,ple_whitened,16,1e-06,0.06049924141866582,0.06472504857083962,0.06991750866590382
interval,20260889,1,u_ple,16,1.0,0.12015620569028514,0.12022760067160951,0.12761080815148665
interval,20260889,2,ple_local,16,1e-06,0.0619214696083188,0.06539161228999732,0.07075665168164448
interval,20260889,2,ple_whitened,16,1e-06,0.061921469608318784,0.06539161224270856,0.07075665174841471
interval,20260889,2,u_ple,16,1.0,0.14631839111489933,0.14852257789173748,0.15963243735594768
interval,20260889,3,ple_local,16,1e-06,0.06011770013683571,0.06316236896896926,0.06940274111379822
interval,20260889,3,ple_whitened,16,1e-06,0.06011770013683571,0.06316236892155316,0.06940274116331016
interval,20260889,3,u_ple,16,1e-06,0.06490999449622988,0.07148895805928857,0.07048572059097126
interval,20260889,4,ple_local,16,1e-06,0.05881097298159093,0.0628445607502394,0.06832977617626464
interval,20260889,4,ple_whitened,16,1e-06,0.05881097298159091,0.06284456070495574,0.06832977624005328
interval,20260889,4,u_ple,16,0.1,0.10193131120333061,0.10136385878378626,0.1066892112645399
interval,20260889,5,ple_local,16,1e-06,0.05991239467529494,0.0637631153931937,0.06956396209097089
interval,20260889,5,ple_whitened,16,1e-06,0.05991239467529494,0.06376311534652307,0.06956396214011303
interval,20260889,5,u_ple,16,1e-06,0.08077950678030951,0.08626569846196057,0.0975508837752318
interval,20260889,6,ple_local,16,1e-06,0.059943933539873415,0.06455620936502432,0.06991884745641755
interval,20260889,6,ple_whitened,16,1e-06,0.059943933539873415,0.06455620931780098,0.06991884748892936
interval,20260889,6,u_ple,16,1e-06,0.08264862084103147,0.08521270566584739,0.09101186550465601
interval,20260889,7,ple_local,16,1e-06,0.06041052111875165,0.06618965076244762,0.07125335510026541
interval,20260889,7,ple_whitened,16,1e-06,0.06041052111875165,0.06618965072662482,0.07125335508461764
interval,20260889,7,u_ple,16,1e-06,0.095238593788984,0.11502272084894365,0.11704190973101695
interval,20260890,0,ple_local,16,1e-06,0.05457067788491887,0.06080709623114353,0.06677881412773504
interval,20260890,0,ple_whitened,16,1e-06,0.05457067788491886,0.06080709621402478,0.06677881412791588
interval,20260890,0,u_ple,16,1.0,0.058046882364940655,0.0618307725233005,0.07095535875912806
interval,20260890,1,ple_local,16,1e-06,0.05484995465556378,0.061360677472990434,0.06657926541250682
interval,20260890,1,ple_whitened,16,1e-06,0.05484995465556377,0.061360677450757996,0.0665792654140132
interval,20260890,1,u_ple,16,1e-06,0.11469617459196475,0.12429400481478728,0.11076238416833514
interval,20260890,2,ple_local,16,1e-06,0.055420212154265444,0.06210164804691778,0.06678342506000347
interval,20260890,2,ple_whitened,16,1e-06,0.055420212154265416,0.06210164802150175,0.06678342506325596
interval,20260890,2,u_ple,16,1.0,0.13847625991141777,0.15049882707727452,0.1446199177500138
interval,20260890,3,ple_local,16,1e-06,0.0552347771738187,0.06139456916467563,0.06760547778695242
interval,20260890,3,ple_whitened,16,1e-06,0.0552347771738187,0.061394569151464636,0.06760547778694334
interval,20260890,3,u_ple,16,1e-06,0.056876987575960054,0.06263912609553673,0.06825614879727605
interval,20260890,4,ple_local,16,1e-06,0.054071616616442504,0.060657998634960235,0.06639107581745256
interval,20260890,4,ple_whitened,16,1e-06,0.05407161661644249,0.060657998615344336,0.06639107581837628
interval,20260890,4,u_ple,16,1.0,0.0978720976167826,0.10598041219580363,0.10341186659327815
interval,20260890,5,ple_local,16,1e-06,0.054981487779778876,0.06099140865018786,0.06714532645889891
interval,20260890,5,ple_whitened,16,1e-06,0.05498148777977886,0.060991408634980857,0.06714532645859551
interval,20260890,5,u_ple,16,1.0,0.08884895945156365,0.09726115881214323,0.1011739176499282
interval,20260890,6,ple_local,16,1e-06,0.05500694359617966,0.06090161685988372,0.06708040307270222
interval,20260890,6,ple_whitened,16,1e-06,0.05500694359617964,0.0609016168477938,0.06708040307257512
interval,20260890,6,u_ple,16,1e-06,0.08007112285891729,0.08890368469629388,0.08811545547212712
interval,20260890,7,ple_local,16,1e-06,0.05672530994797268,0.06347029542671782,0.0686843161282079
interval,20260890,7,ple_whitened,16,1e-06,0.05672530994797268,0.06347029543231225,0.06868431613422203
interval,20260890,7,u_ple,16,1e-06,0.10130800567137868,0.11617486927198849,0.1099654667654329
interval,20260891,0,ple_local,16,1e-06,0.05226735297015503,0.06090485221234136,0.05936509335242441
interval,20260891,0,ple_whitened,16,1e-06,0.05226735297015501,0.06090485218743691,0.05936509334680598
interval,20260891,0,u_ple,16,1e-06,0.06112353785178234,0.07125935577102877,0.06882276787639038
interval,20260891,1,ple_local,16,1e-06,0.053436282524687885,0.06090183491761285,0.059290244330318626
interval,20260891,1,ple_whitened,16,1e-06,0.05343628252468787,0.060901834895618935,0.05929024432184055
interval,20260891,1,u_ple,16,1e-06,0.11249546564218761,0.12071164312952697,0.12679117904925616
interval,20260891,2,ple_local,16,1e-06,0.05487635508406405,0.061692568781821215,0.059989649760526134
interval,20260891,2,ple_whitened,16,1e-06,0.05487635508406402,0.06169256876140655,0.05998964974901451
interval,20260891,2,u_ple,16,1e-06,0.13862551246367064,0.16893339429044368,0.1555919990543912
interval,20260891,3,ple_local,16,1e-06,0.05267132061396445,0.062290933748358326,0.060499938450516405
interval,20260891,3,ple_whitened,16,1e-06,0.052671320613964435,0.06229093372187448,0.06049993844498421
interval,20260891,3,u_ple,16,1e-06,0.06168475453530258,0.07255509079309568,0.06917615941348322
interval,20260891,4,ple_local,16,1e-06,0.05212953191025327,0.06071049880413633,0.05912702419025274
interval,20260891,4,ple_whitened,16,1e-06,0.05212953191025327,0.06071049878123462,0.05912702418224631
interval,20260891,4,u_ple,16,1e-06,0.09792767527833822,0.10837095390955032,0.10871555431207222
interval,20260891,5,ple_local,16,1e-06,0.05239510863593629,0.061389117807649864,0.05979322149178728
interval,20260891,5,ple_whitened,16,1e-06,0.052395108635936286,0.06138911778171887,0.059793221487335194
interval,20260891,5,u_ple,16,1e-06,0.09493448075684564,0.10555283071778529,0.09807829809603787
interval,20260891,6,ple_local,16,1e-06,0.05267851973449724,0.06096374177128384,0.05940504955263972
interval,20260891,6,ple_whitened,16,1e-06,0.05267851973449723,0.060963741741985114,0.05940504955177682
interval,20260891,6,u_ple,16,1.0,0.08528881818414663,0.09198030792299203,0.08753784863395729
interval,20260891,7,ple_local,16,1e-06,0.05361824829913042,0.06269287919172392,0.060438079376710994
interval,20260891,7,ple_whitened,16,1e-06,0.05361824829913042,0.06269287916113171,0.060438079386513986
interval,20260891,7,u_ple,16,1e-06,0.11428083304230961,0.1195769694795774,0.11515057156731104
cycle,20260880,0,ple_local,16,1e-06,0.28733655425367904,0.31194801653550897,1.2615514056094257
