domain,seed,schema,method,dimension,metric_distortion,test_scope,alpha,train_mse,val_mse,test_mse
interval,20260880,0,linear,16,1.1102230246251565e-16,all_states,10.0,0.6908440677012684,0.744943744242869,0.6698046567239289
interval,20260880,0,ple,16,1.1102230246251565e-16,all_states,1.0,0.05472456753937749,0.05784157959943764,0.06091418986865648
interval,20260880,0,periodic,16,1.1102230246251565e-16,all_states,10.0,0.05955815073679294,0.06132549998201335,0.06532473398111714
interval,20260880,0,code_rbf,16,1.1102230246251565e-16,all_states,1e-06,0.050206802840285294,0.05268576450444419,0.056624370766022135
interval,20260880,0,mpe_native,16,1.1102230246251565e-16,all_states,1e-06,0.050206802840285294,0.05268576450444419,0.056624370766022135
interval,20260880,0,mmpe_native,16,1.1102230246251565e-16,all_states,10.0,0.04794980050967767,0.048272623934917026,0.05326016741129047
interval,20260880,0,mpe_corrupt,16,1.1102230246251565e-16,all_states,0.01,0.9103379564988807,0.9154983872441447,0.8518569934500626
interval,20260880,1,linear,16,0.08233379471058866,all_states,10.0,0.7579817962700305,0.8188396192584005,0.731377586042052
interval,20260880,1,ple,16,0.08233379471058866,all_states,1.0,0.05623244872329033,0.05830256655526021,0.06173632273808096
interval,20260880,1,periodic,16,0.08233379471058866,all_states,10.0,0.0929363523243259,0.0967010254845202,0.09585652270072587
interval,20260880,1,code_rbf,16,0.08233379471058866,all_states,1e-06,0.0752589242716028,0.07445958529911667,0.07665751639429257
interval,20260880,1,mpe_native,16,0.08233379471058866,all_states,1e-06,0.050206802840285294,0.05268576450444419,0.056624370766022135
interval,20260880,1,mmpe_native,16,0.08233379471058866,all_states,10.0,0.04794980050967767,0.048272623934917026,0.05326016741129047
interval,20260880,1,mpe_corrupt,16,0.08233379471058866,all_states,0.01,0.9103379564988807,0.9154983872441447,0.8518569934500626
interval,20260880,2,linear,16,0.18900271873899122,all_states,10.0,0.8306745384511336,0.8954267016733206,0.7952044721713469
interval,20260880,2,ple,16,0.18900271873899122,all_states,1.0,0.05797454813945289,0.0595225541298299,0.06320831666016105
interval,20260880,2,periodic,16,0.18900271873899122,all_states,10.0,0.12560100582524925,0.12648218969768513,0.12822021630499641
